qnum,Question,Responses,Male,Female,Democrat,Republican,Independent,White,Black,Non-white,18-39,40-64,65+,White protestant evangelical,North,Atlanta exurbs,Atlanta metro,Southeast,Southwest,Under $50k,$50k - $100k,$100k +,No college degree,College grad
0,Do you approve or disapprove of the way Nathan Deal is handling his job as governor?,Approve,184,205,114,142,94,239,100,136,126,188,73,71,56,121,98,69,44,146,123,84,249,138
0,,,0.53,0.52,0.51,0.58,0.47,0.55,0.44,0.47,0.5,0.54,0.52,0.57,0.57,0.57,0.51,0.53,0.4,0.49,0.54,0.58,0.49,0.59
0,,Disapprove,122,123,84,69,77,128,94,108,72,122,49,43,36,62,67,36,43,104,77,41,174,68
0,,,0.35,0.31,0.38,0.28,0.39,0.29,0.41,0.37,0.29,0.35,0.35,0.35,0.37,0.29,0.34,0.28,0.38,0.35,0.34,0.28,0.34,0.29
0,,Don't know/no answer,43,69,24,33,28,66,36,45,52,40,20,10,6,28,29,24,24,49,28,21,83,28
0,,,0.12,0.17,0.11,0.13,0.14,0.15,0.16,0.16,0.21,0.12,0.14,0.08,0.06,0.13,0.15,0.19,0.22,0.17,0.12,0.14,0.16,0.12
1,Do you approve or disapprove of the way Johnny Isakson is handling his job in the U.S. Senate?,Approve,154,156,69,132,74,209,69,92,85,151,73,74,42,92,76,57,44,105,101,73,208,100
1,,,0.44,0.39,0.31,0.54,0.37,0.48,0.3,0.32,0.34,0.43,0.52,0.59,0.43,0.43,0.39,0.44,0.39,0.35,0.45,0.5,0.41,0.43
1,,Disapprove,87,102,72,43,57,90,72,89,57,103,28,18,22,53,56,24,34,76,55,33,132,55
1,,,0.25,0.26,0.32,0.18,0.29,0.21,0.31,0.31,0.23,0.29,0.2,0.15,0.22,0.25,0.29,0.18,0.3,0.25,0.24,0.22,0.26,0.24
1,,Don't know/no answer,107,139,81,69,68,135,89,108,109,96,40,33,35,68,62,49,34,118,72,40,166,79
1,,,0.31,0.35,0.36,0.28,0.34,0.31,0.39,0.37,0.44,0.28,0.28,0.26,0.35,0.32,0.32,0.38,0.3,0.39,0.31,0.27,0.33,0.34
2,"In your opinion, does Senator Isakson deserve to be re-elected to the Senate, or not?","Yes, deserves to be re-elected",165,152,72,133,72,209,75,98,87,156,73,76,45,95,70,60,47,113,105,69,224,91
2,,,0.47,0.38,0.32,0.54,0.36,0.48,0.33,0.34,0.35,0.44,0.51,0.6,0.46,0.45,0.36,0.46,0.42,0.38,0.46,0.47,0.44,0.39
2,,"No, doesNot deserve to be re-elected",105,136,95,56,71,118,96,114,80,122,37,25,28,64,79,35,35,104,69,41,161,78
2,,,0.3,0.34,0.43,0.23,0.35,0.27,0.42,0.39,0.32,0.35,0.26,0.2,0.29,0.3,0.41,0.27,0.31,0.35,0.3,0.28,0.32,0.33
2,,Don't know/no answer,79,109,56,56,56,106,59,78,82,72,32,24,26,54,45,34,30,81,54,36,121,66
2,,,0.23,0.28,0.25,0.23,0.28,0.24,0.25,0.27,0.33,0.21,0.23,0.2,0.26,0.25,0.23,0.27,0.27,0.27,0.24,0.25,0.24,0.28
3,And do you approve or disapprove of the way the Georgia Legislature is doing its job?,Approve,170,170,87,134,83,202,102,129,123,157,60,68,48,107,73,59,52,121,125,68,234,105
3,,,0.49,0.43,0.39,0.55,0.42,0.47,0.44,0.44,0.49,0.45,0.42,0.54,0.49,0.51,0.37,0.46,0.47,0.4,0.55,0.47,0.46,0.45
3,,Disapprove,143,170,111,73,95,168,104,132,99,156,55,42,42,82,94,54,40,135,79,61,202,107
3,,,0.41,0.43,0.5,0.3,0.48,0.39,0.45,0.45,0.4,0.45,0.39,0.33,0.43,0.39,0.49,0.42,0.36,0.45,0.35,0.42,0.4,0.46
3,,Don't know/no answer,36,58,24,38,21,63,24,30,28,37,28,16,9,22,27,16,19,43,23,16,71,22
3,,,0.1,0.15,0.11,0.15,0.11,0.14,0.1,0.1,0.11,0.11,0.19,0.13,0.09,0.1,0.14,0.13,0.17,0.14,0.1,0.11,0.14,0.09
4,Do you approve or disapprove of the way the U.S. Congress is doing its job?,Approve,70,88,63,36,44,59,81,93,65,69,24,15,8,45,58,31,16,70,48,19,123,35
4,,,0.2,0.22,0.28,0.15,0.22,0.14,0.35,0.32,0.26,0.2,0.17,0.12,0.09,0.21,0.3,0.24,0.15,0.23,0.21,0.13,0.24,0.15
4,,Disapprove,264,289,146,195,151,353,139,183,170,269,112,105,86,150,132,93,92,208,174,122,354,194
4,,,0.76,0.73,0.66,0.8,0.76,0.81,0.6,0.63,0.68,0.77,0.78,0.84,0.87,0.71,0.68,0.72,0.82,0.69,0.76,0.84,0.7,0.83
4,,Don't know/no answer,15,20,13,14,4,21,11,13,15,12,7,6,4,17,4,5,3,21,5,4,29,5
4,,,0.04,0.05,0.06,0.06,0.02,0.05,0.05,0.04,0.06,0.04,0.05,0.04,0.04,0.08,0.02,0.04,0.03,0.07,0.02,0.03,0.06,0.02
5,And do you approve or disapprove of the way your representative in Congress is doing his job?,Approve,177,190,106,137,88,203,121,149,122,176,67,67,42,111,108,58,47,132,132,68,260,104
5,,,0.51,0.48,0.48,0.56,0.44,0.47,0.53,0.51,0.49,0.5,0.47,0.53,0.42,0.52,0.56,0.45,0.43,0.44,0.58,0.47,0.51,0.44
5,,Disapprove,145,156,92,83,91,179,87,115,103,143,52,43,49,80,64,59,48,138,72,60,196,103
5,,,0.41,0.39,0.41,0.34,0.46,0.41,0.38,0.4,0.41,0.41,0.37,0.34,0.49,0.38,0.33,0.46,0.43,0.46,0.32,0.41,0.39,0.44
5,,Don't know/no answer,27,52,24,24,19,51,22,25,24,31,23,16,8,21,22,12,16,30,23,18,50,28
5,,,0.08,0.13,0.11,0.1,0.1,0.12,0.09,0.09,0.1,0.09,0.16,0.13,0.08,0.1,0.11,0.09,0.14,0.1,0.1,0.12,0.1,0.12
6," Overall, do you have a favorable or unfavorable impression of the Republican Party?",Unfavorable,194,226,179,67,128,201,178,211,144,198,77,56,58,93,141,68,60,178,129,72,276,141
6,,,0.56,0.57,0.8,0.27,0.65,0.46,0.77,0.73,0.58,0.56,0.54,0.45,0.58,0.44,0.73,0.52,0.54,0.6,0.57,0.49,0.54,0.6
6,,Don't know/no answer,26,19,16,6,16,18,13,21,18,18,9,5,-,16,9,11,9,20,16,6,29,15
6,,,0.07,0.05,0.07,0.02,0.08,0.04,0.06,0.07,0.07,0.05,0.06,0.04,- ,0.08,0.04,0.08,0.08,0.07,0.07,0.04,0.06,0.06
7,"Overall, do you have a favorable or unfavorable impression of the Democratic Party?",Favorable,141,156,194,10,75,88,173,204,120,128,48,18,20,57,127,54,38,126,94,49,198,96
7,,,0.4,0.39,0.87,0.04,0.38,0.2,0.75,0.71,0.48,0.37,0.34,0.15,0.21,0.27,0.65,0.42,0.34,0.42,0.41,0.34,0.39,0.41
7,,Unfavorable,186,219,19,232,105,329,44,65,111,204,88,101,77,138,59,67,64,156,116,91,278,125
7,,,0.53,0.55,0.08,0.95,0.53,0.76,0.19,0.22,0.44,0.58,0.62,0.81,0.77,0.65,0.31,0.52,0.57,0.52,0.51,0.62,0.55,0.53
7,,Don't know/no answer,22,22,9,3,18,16,13,20,20,18,6,6,2,17,8,8,9,17,17,6,30,13
7,,,0.06,0.05,0.04,0.01,0.09,0.04,0.06,0.07,0.08,0.05,0.04,0.04,0.02,0.08,0.04,0.06,0.08,0.06,0.08,0.04,0.06,0.06
8,"If the 2016 presidential election were being held today and the candidates were (Hillary Clinton, the Democrat) and (Donald Trump, the Republican) for whom would you vote, (Clinton) or (Trump)?",Clinton,135,174,191,15,78,84,186,220,109,151,47,20,23,60,131,50,45,137,93,48,208,99
8,,,0.39,0.44,0.86,0.06,0.39,0.19,0.81,0.76,0.44,0.43,0.33,0.16,0.24,0.28,0.68,0.39,0.4,0.46,0.41,0.33,0.41,0.42
8,,Trump,168,165,15,208,75,289,21,36,93,166,74,93,64,120,36,58,56,113,102,85,228,104
8,,,0.48,0.42,0.07,0.85,0.38,0.67,0.09,0.12,0.37,0.47,0.52,0.74,0.65,0.56,0.19,0.45,0.5,0.38,0.45,0.58,0.45,0.44
8,,Other candidate,6,3,-,3,3,7,-,2,7,2,*,*,-,8,1,*,*,6,1,-,5,4
8,,,0.02,0.01,- ,0.01,0.01,0.02,- ,0.01,0.03,0.01,* ,* ,- ,0.04,* ,* ,* ,0.02,0.01,- ,0.01,0.02
8,,Neither,24,31,8,10,26,31,15,22,25,18,13,5,6,12,19,9,9,25,19,9,36,19
8,,,0.07,0.08,0.03,0.04,0.13,0.07,0.07,0.08,0.1,0.05,0.09,0.04,0.06,0.06,0.1,0.07,0.08,0.08,0.08,0.06,0.07,0.08
8,,Would not vote,3,9,-,6,3,9,1,2,2,4,5,5,2,6,2,2,1,5,4,2,8,4
8,,,0.01,0.02,- ,0.02,0.02,0.02,* ,0.01,0.01,0.01,0.04,0.04,0.02,0.03,0.01,0.01,* ,0.02,0.02,0.01,0.02,0.02
8,,Don't know/no answer,13,14,9,3,13,14,6,8,15,9,3,1,3,7,5,10,1,14,8,2,21,6
8,,,0.04,0.04,0.04,0.01,0.06,0.03,0.03,0.03,0.06,0.03,0.02,0.01,0.03,0.03,0.03,0.08,0.01,0.05,0.04,0.01,0.04,0.02
9,"If the 2016 presidential election were being held today and the candidates were (Bernie Sanders, the Democrat) and (Donald Trump, the Republican) for whom would you vote, (Sanders) or (Trump)?",Sanders,163,188,187,31,96,109,193,235,148,150,51,18,28,75,141,58,50,160,102,56,239,109
9,,,0.47,0.47,0.84,0.13,0.48,0.25,0.84,0.81,0.59,0.43,0.36,0.15,0.28,0.35,0.72,0.45,0.45,0.54,0.45,0.39,0.47,0.46
9,,Trump,157,155,13,196,67,277,13,26,79,158,74,89,58,110,37,55,52,103,95,79,210,100
9,,,0.45,0.39,0.06,0.8,0.34,0.64,0.06,0.09,0.32,0.45,0.52,0.71,0.59,0.52,0.19,0.42,0.47,0.35,0.42,0.54,0.42,0.43
9,,Other candidate,1,8,3,1,2,4,3,3,1,4,3,1,-,4,3,-,1,2,2,2,4,4
9,,,* ,0.02,0.02,* ,0.01,0.01,0.01,0.01,* ,0.01,0.02,0.01,- ,0.02,0.02,- ,0.01,0.01,0.01,0.02,0.01,0.02
9,,Neither,14,22,7,3,22,21,8,13,9,19,8,9,8,4,6,11,6,19,12,2,22,13
9,,,0.04,0.05,0.03,0.01,0.11,0.05,0.04,0.05,0.03,0.05,0.06,0.07,0.09,0.02,0.03,0.08,0.06,0.06,0.05,0.01,0.04,0.06
9,,Would not vote,2,12,6,4,3,8,5,5,1,7,5,8,3,5,3,1,1,7,5,1,10,3
9,,,* ,0.03,0.03,0.02,0.01,0.02,0.02,0.02,* ,0.02,0.04,0.06,0.04,0.02,0.01,0.01,0.01,0.02,0.02,* ,0.02,0.01
9,,Don't know/no answer,13,14,6,10,9,14,7,9,12,13,2,*,1,14,5,5,1,7,11,6,21,5
9,,,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.05,0.04,0.01,* ,0.01,0.07,0.03,0.04,0.01,0.02,0.05,0.04,0.04,0.02
10,"Overall, do you have a favorable or unfavorable impression of Hillary Clinton?",Favorable,110,152,178,14,52,67,166,191,81,136,45,14,19,45,113,49,36,121,73,40,183,78
10,,,0.31,0.38,0.8,0.06,0.26,0.15,0.72,0.66,0.32,0.39,0.32,0.11,0.19,0.21,0.58,0.38,0.32,0.41,0.32,0.28,0.36,0.33
10,,Unfavorable,229,232,34,228,142,359,54,85,160,207,93,111,79,162,72,74,74,170,145,104,310,148
10,,,0.66,0.58,0.15,0.93,0.72,0.83,0.23,0.29,0.64,0.59,0.65,0.89,0.8,0.76,0.37,0.57,0.66,0.57,0.64,0.71,0.61,0.63
10,,Don't know/no answer,10,13,10,3,5,8,10,14,10,8,4,*,1,5,9,6,2,8,9,2,13,8
10,,,0.03,0.03,0.04,0.01,0.02,0.02,0.04,0.05,0.04,0.02,0.03,* ,0.01,0.02,0.05,0.05,0.01,0.03,0.04,0.01,0.03,0.04
11,"Overall, do you have a favorable or unfavorable impression of Bernie Sanders?",Favorable,162,194,161,55,100,143,166,202,157,142,55,34,37,91,117,63,49,157,106,59,239,115
11,,,0.47,0.49,0.72,0.22,0.5,0.33,0.72,0.7,0.63,0.4,0.39,0.27,0.37,0.43,0.6,0.48,0.44,0.53,0.46,0.41,0.47,0.49
11,,Unfavorable,170,160,42,167,89,257,44,62,80,175,74,80,55,101,64,57,53,110,103,82,226,102
