qnum,Question,Responses,Total,18-24,25-34,35-44,45-54,55-64,65+,Male,Female,No HS,HS GED,Some College,BA,Grad/Professional Degree,White,Black,Latino,"Under $15,000","$15,000 - $25,000","$25,000 - $35,000","$35,000 - $50,000","$50,000 - $75,000","$75,000 - $100,000","Over $100,000",Democrat,Republican,Independent
0,Class identification,Upper class,0.01,0.00,0.00,0.01,0.00,0.03,0.01,0.01,0.02,0.00,0.03,0.01,0.02,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.01,0.01,0.01
0,,Upper middle class,0.13,0.07,0.24,0.05,0.16,0.18,0.11,0.20,0.08,0.29,0.06,0.11,0.17,0.21,0.15,0.13,0.04,0.00,0.01,0.08,0.09,0.09,0.06,0.32,0.06,0.27,0.13
0,,Middle class,0.58,0.71,0.55,0.64,0.54,0.40,0.62,0.57,0.58,0.51,0.54,0.58,0.63,0.59,0.56,0.59,0.87,0.38,0.72,0.46,0.60,0.67,0.83,0.61,0.69,0.54,0.46
0,,Lower middle class,0.19,0.22,0.04,0.25,0.21,0.28,0.19,0.14,0.22,0.16,0.26,0.24,0.08,0.10,0.21,0.18,0.07,0.12,0.16,0.35,0.28,0.23,0.10,0.00,0.13,0.14,0.34
0,,Lower class,0.07,0.00,0.10,0.04,0.08,0.10,0.05,0.04,0.09,0.03,0.12,0.06,0.02,0.05,0.05,0.09,0.02,0.47,0.09,0.11,0.03,0.00,0.00,0.01,0.05,0.05,0.05
0,,DK,0.02,0.00,0.07,0.02,0.01,0.00,0.03,0.03,0.02,0.01,0.00,0.01,0.08,0.03,0.03,0.01,0.00,0.03,0.02,0.00,0.00,0.01,0.00,0.01,0.06,0.00,0.01
1,Self-description of financial situation,Live comfortably,0.25,0.36,0.21,0.14,0.34,0.27,0.29,0.27,0.22,0.14,0.27,0.17,0.32,0.34,0.25,0.25,0.34,0.09,0.02,0.13,0.09,0.21,0.35,0.74,0.24,0.30,0.25
1,,Have a little left over,0.32,0.39,0.45,0.50,0.11,0.21,0.23,0.36,0.29,0.32,0.33,0.27,0.35,0.48,0.39,0.25,0.15,0.00,0.31,0.29,0.37,0.39,0.42,0.21,0.28,0.28,0.35
1,,Just meeting expenses,0.24,0.26,0.17,0.14,0.18,0.40,0.34,0.17,0.31,0.19,0.24,0.31,0.22,0.11,0.17,0.34,0.47,0.19,0.28,0.36,0.45,0.27,0.23,0.01,0.29,0.20,0.22
1,,Not meeting basic expenses,0.17,0.00,0.10,0.22,0.37,0.12,0.11,0.16,0.17,0.34,0.17,0.24,0.03,0.05,0.17,0.16,0.04,0.72,0.38,0.22,0.09,0.12,0.00,0.02,0.14,0.22,0.17
1,,DK,0.02,0.00,0.07,0.00,0.00,0.00,0.04,0.03,0.01,0.01,0.00,0.01,0.08,0.02,0.03,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.05,0.01,0.01
2,"Where does ""middle class"" income start?","Less than $20,000",0.01,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.03,0.00,0.04,0.00,0.01,0.00,0.02,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03
2,,"$20,000",0.10,0.00,0.03,0.02,0.23,0.13,0.17,0.15,0.06,0.50,0.07,0.05,0.04,0.03,0.09,0.11,0.00,0.23,0.51,0.10,0.00,0.00,0.04,0.01,0.08,0.17,0.06
2,,"$30,000",0.15,0.30,0.11,0.17,0.12,0.12,0.17,0.13,0.17,0.03,0.23,0.17,0.13,0.05,0.14,0.18,0.49,0.13,0.04,0.58,0.15,0.11,0.08,0.05,0.25,0.06,0.16
2,,"$40,000",0.12,0.03,0.07,0.08,0.22,0.18,0.20,0.11,0.14,0.19,0.09,0.13,0.15,0.13,0.14,0.10,0.11,0.23,0.01,0.17,0.22,0.08,0.15,0.23,0.13,0.18,0.10
2,,"$50,000",0.25,0.29,0.23,0.44,0.13,0.21,0.17,0.22,0.28,0.00,0.26,0.35,0.18,0.43,0.28,0.20,0.22,0.03,0.37,0.07,0.42,0.40,0.28,0.18,0.23,0.20,0.27
2,,"$75,000",0.15,0.01,0.33,0.15,0.13,0.15,0.07,0.14,0.16,0.28,0.08,0.11,0.21,0.16,0.15,0.15,0.00,0.00,0.04,0.00,0.21,0.21,0.23,0.14,0.09,0.27,0.15
2,,"$100,000",0.09,0.15,0.12,0.09,0.07,0.08,0.04,0.11,0.06,0.00,0.07,0.12,0.12,0.10,0.06,0.15,0.16,0.00,0.00,0.00,0.00,0.16,0.11,0.31,0.11,0.04,0.11
2,,"$250,000 or more",0.04,0.03,0.01,0.04,0.02,0.09,0.00,0.05,0.03,0.00,0.04,0.01,0.03,0.07,0.02,0.08,0.02,0.13,0.00,0.08,0.00,0.00,0.09,0.07,0.03,0.03,0.01
2,,DK,0.09,0.19,0.10,0.01,0.03,0.05,0.18,0.09,0.08,0.00,0.12,0.07,0.14,0.03,0.10,0.03,0.00,0.03,0.04,0.00,0.00,0.04,0.02,0.01,0.09,0.05,0.11
3,"Where does ""upper class"" income start?","Less than $20,000",0.02,0.00,0.00,0.02,0.00,0.02,0.06,0.02,0.01,0.07,0.02,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.06,0.00,0.04,0.00,0.00,0.00,0.01,0.00,0.00
3,,"$20,000",0.01,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.02,0.00,0.04,0.00,0.00,0.00,0.01,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03
3,,"$30,000",0.02,0.00,0.03,0.00,0.00,0.03,0.07,0.02,0.02,0.04,0.04,0.01,0.00,0.00,0.00,0.06,0.00,0.13,0.06,0.04,0.00,0.00,0.00,0.00,0.01,0.01,0.02
3,,"$40,000",0.07,0.00,0.03,0.01,0.25,0.06,0.04,0.10,0.05,0.35,0.06,0.04,0.02,0.02,0.08,0.07,0.00,0.19,0.33,0.04,0.03,0.02,0.00,0.01,0.02,0.16,0.06
3,,"$50,000",0.09,0.22,0.00,0.16,0.00,0.14,0.09,0.06,0.11,0.05,0.15,0.06,0.05,0.05,0.08,0.14,0.23,0.06,0.03,0.31,0.14,0.01,0.06,0.00,0.17,0.01,0.12
3,,"$75,000",0.13,0.04,0.13,0.20,0.15,0.09,0.16,0.15,0.11,0.03,0.12,0.20,0.15,0.08,0.14,0.11,0.18,0.03,0.06,0.28,0.18,0.27,0.09,0.06,0.20,0.12,0.13
3,,"$100,000",0.20,0.23,0.21,0.12,0.34,0.17,0.17,0.19,0.21,0.14,0.08,0.30,0.19,0.41,0.19,0.19,0.21,0.09,0.04,0.13,0.45,0.31,0.17,0.26,0.17,0.31,0.19
3,,"$250,000 or more",0.27,0.26,0.48,0.43,0.14,0.17,0.15,0.27,0.27,0.28,0.28,0.25,0.36,0.26,0.31,0.23,0.32,0.00,0.36,0.04,0.06,0.32,0.51,0.49,0.24,0.27,0.26
