qnum,Question,Responses,Total,White,Black,Other,Male,Female,"Under $25,000","$25,000-$49,999","$50,000-$74,999","$75,000-$99,999","$100,000-$149,999","Over $150,000",High School or Less,Some College,Vocational or Tech. School,College Graduate,Graduate Study,18-30,31-45,46-64,65+,Democrat,Independent,Republican
0,There is a Democratic Primary coming up in May. How much thought have you given to this election?,Quite a lot,126.13,33.00,88.00,5.00,52.00,74.00,11.00,8.00,19.00,26.00,27.00,17.00,17.00,15.00,10.00,49.00,34.00,5.00,17.00,55.00,44.00,111.00,4.00,4.00
0,,,0.27,0.21,0.30,0.20,0.28,0.26,0.31,0.14,0.20,0.31,0.33,0.28,0.28,0.19,0.43,0.28,0.27,0.17,0.22,0.31,0.27,0.29,0.11,0.15
0,,Some,109.62,41.00,62.00,7.00,51.00,59.00,3.00,19.00,18.00,16.00,23.00,22.00,3.00,26.00,7.00,41.00,30.00,2.00,19.00,46.00,37.00,93.00,11.00,3.00
0,,,0.23,0.27,0.21,0.28,0.28,0.20,0.08,0.33,0.19,0.19,0.28,0.36,0.05,0.32,0.30,0.24,0.24,0.07,0.24,0.26,0.22,0.24,0.29,0.11
0,,Only a little,139.58,53.00,78.00,8.00,47.00,93.00,7.00,18.00,33.00,21.00,22.00,17.00,19.00,18.00,4.00,51.00,46.00,10.00,27.00,46.00,52.00,111.00,11.00,12.00
0,,,0.30,0.34,0.27,0.32,0.26,0.32,0.19,0.32,0.35,0.25,0.27,0.28,0.32,0.22,0.17,0.29,0.37,0.33,0.35,0.26,0.32,0.29,0.29,0.44
0,,None,95.29,27.00,63.00,5.00,31.00,64.00,15.00,12.00,23.00,20.00,11.00,5.00,21.00,22.00,2.00,31.00,16.00,13.00,15.00,32.00,31.00,70.00,11.00,8.00
0,,,0.20,0.18,0.22,0.20,0.17,0.22,0.42,0.21,0.25,0.24,0.13,0.08,0.35,0.27,0.09,0.18,0.13,0.43,0.19,0.18,0.19,0.18,0.29,0.30
0,,Don't know,2.37,0.00,2.00,0.00,2.00,0.00,,,,,,,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00
0,,,0.01,0.00,0.01,0.00,0.01,0.00,,,,,,,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.03,0.00
1,How closely have you been following news about the candidates running for office?,Very closely,62.99,13.00,48.00,2.00,26.00,37.00,4.00,9.00,10.00,8.00,13.00,7.00,9.00,7.00,5.00,28.00,14.00,3.00,7.00,24.00,25.00,57.00,3.00,0.00
1,,,0.13,0.08,0.16,0.08,0.14,0.13,0.11,0.16,0.11,0.10,0.16,0.11,0.15,0.09,0.22,0.16,0.11,0.10,0.09,0.13,0.15,0.15,0.08,0.00
1,,Somewhat closely,174.54,58.00,107.00,9.00,65.00,110.00,15.00,20.00,35.00,32.00,29.00,23.00,20.00,28.00,11.00,71.00,42.00,7.00,26.00,74.00,61.00,149.00,12.00,5.00
1,,,0.37,0.37,0.37,0.35,0.35,0.38,0.42,0.36,0.37,0.39,0.35,0.38,0.32,0.35,0.48,0.41,0.33,0.23,0.33,0.41,0.37,0.39,0.31,0.18
1,,Not very closely,146.33,57.00,83.00,7.00,58.00,88.00,5.00,18.00,28.00,27.00,22.00,23.00,13.00,27.00,5.00,53.00,48.00,10.00,29.00,54.00,51.00,119.00,12.00,13.00
1,,,0.31,0.37,0.28,0.27,0.32,0.30,0.14,0.32,0.30,0.33,0.27,0.38,0.21,0.33,0.22,0.30,0.38,0.32,0.37,0.30,0.31,0.31,0.31,0.46
1,,Not at all,87.52,25.00,54.00,8.00,35.00,52.00,12.00,9.00,20.00,16.00,17.00,8.00,20.00,18.00,2.00,22.00,23.00,11.00,17.00,27.00,27.00,59.00,12.00,10.00
1,,,0.19,0.16,0.18,0.31,0.19,0.18,0.33,0.16,0.21,0.19,0.21,0.13,0.32,0.22,0.09,0.13,0.18,0.35,0.22,0.15,0.16,0.15,0.31,0.36
1,,Don't know,1.61,2.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,,,,,2.00,0.00,0.00
1,,,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.01,0.00,0.01,0.00,,,,,0.01,0.00,0.00
