qnum,Question,Responses,Total,"Under $25,000","$25,000-$49,999","$50,000-$74,999","$75,000-$99,999","$100,000-$149,999","Over $150,000",Male,Female,Democrat,Independent,Republican,White,Non-white,18-30,31-45,46-64,65+,High School or Less,Some College,Vocational or Tech. School,College Graduate,Graduate Study
0,There is a Democratic Primary coming up in May. How much thought have you given to this election?,Quite a lot,114.07,3.00,12.00,15.00,23.00,28.00,15.00,60.00,54.00,6.00,11.00,97.00,103.00,11.00,3.00,12.00,44.00,52.00,23.00,24.00,8.00,36.00,23.00
0,,,0.22,0.13,0.23,0.19,0.27,0.26,0.18,0.24,0.21,0.29,0.33,0.22,0.22,0.32,0.10,0.16,0.24,0.25,0.31,0.21,0.24,0.19,0.24
0,,Some,151.52,5.00,12.00,23.00,28.00,31.00,31.00,82.00,70.00,5.00,8.00,135.00,145.00,7.00,9.00,21.00,56.00,62.00,16.00,42.00,8.00,57.00,28.00
0,,,0.30,0.21,0.23,0.29,0.33,0.28,0.38,0.33,0.27,0.24,0.24,0.31,0.31,0.21,0.31,0.28,0.31,0.30,0.22,0.37,0.24,0.30,0.29
0,,Only a little,171.94,12.00,19.00,34.00,23.00,34.00,25.00,82.00,90.00,9.00,7.00,149.00,160.00,12.00,8.00,26.00,64.00,71.00,27.00,36.00,16.00,62.00,30.00
0,,,0.34,0.50,0.37,0.44,0.27,0.31,0.30,0.33,0.35,0.43,0.21,0.34,0.34,0.35,0.28,0.35,0.35,0.34,0.36,0.31,0.47,0.33,0.32
0,,None,69.47,4.00,9.00,6.00,11.00,16.00,11.00,27.00,43.00,1.00,7.00,58.00,66.00,4.00,9.00,16.00,19.00,23.00,8.00,13.00,2.00,33.00,14.00
0,,,0.14,0.17,0.17,0.08,0.13,0.15,0.13,0.11,0.17,0.05,0.21,0.13,0.14,0.12,0.31,0.21,0.10,0.11,0.11,0.11,0.06,0.18,0.15
1,How closely have you been following news about the candidates running for office?,Very closely,58.68,1.00,3.00,7.00,13.00,15.00,8.00,30.00,28.00,5.00,4.00,49.00,51.00,8.00,2.00,10.00,19.00,27.00,11.00,12.00,1.00,21.00,11.00
1,,,0.12,0.04,0.06,0.09,0.15,0.14,0.10,0.12,0.11,0.25,0.12,0.11,0.11,0.24,0.07,0.13,0.10,0.13,0.15,0.11,0.03,0.11,0.12
