qnum,Question,Responses,Total,Male,Female,High School or less,Some college,Vocational/Tech. School,College Graduate,Graduate Study,"$Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other race,18-29,30-44,45-64,65+,Democrat,Independent,Republican,Protestant,Catholic,Jewish,Muslim,Non-Religious,Atlanta Metro,North Georgia,South Georgia
0,Do you have a favorable or unfavorable impression of Governor Brian Kemp?,Favorable,356,197,159,58,61,26,146,63,19,36,52,66,73,70,278,49,29,57,84,119,87,39,26,276,208,59,5,4,19,120,168,68
0,,,0.460,0.550,0.380,0.563,0.540,0.684,0.452,0.326,0.528,0.409,0.364,0.493,0.521,0.470,0.612,0.210,0.341,0.341,0.435,0.478,0.588,0.117,0.292,0.865,0.542,0.584,0.238,0.571,0.176,0.326,0.604,0.531
0,,Unfavorable,302,113,190,28,35,7,134,96,10,38,68,48,45,61,114,145,42,81,86,87,43,236,43,13,115,30,15,2,70,194,65,43
0,,,0.390,0.316,0.455,0.272,0.310,0.184,0.415,0.497,0.278,0.432,0.476,0.358,0.321,0.409,0.251,0.622,0.494,0.485,0.446,0.349,0.291,0.709,0.483,0.041,0.299,0.297,0.714,0.286,0.648,0.527,0.234,0.336
0,,Don't know,116,48,69,17,17,5,43,34,7,14,23,20,22,18,62,39,14,29,23,43,18,58,20,30,61,12,1,1,19,54,45,17
0,,,0.150,0.134,0.165,0.165,0.150,0.132,0.133,0.176,0.194,0.159,0.161,0.149,0.157,0.121,0.137,0.167,0.165,0.174,0.119,0.173,0.122,0.174,0.225,0.094,0.159,0.119,0.048,0.143,0.176,0.147,0.162,0.133
1,Do you have a favorable or unfavorable impression of U.S. Senator David Perdue?,Favorable,362,183,179,55,60,25,152,69,25,32,48,64,67,74,239,79,45,64,85,116,88,84,41,226,194,62,6,1,28,144,152,67
1,,,0.468,0.514,0.429,0.539,0.531,0.641,0.471,0.358,0.694,0.364,0.336,0.474,0.479,0.497,0.524,0.338,0.523,0.386,0.438,0.466,0.599,0.253,0.456,0.711,0.505,0.614,0.286,0.143,0.257,0.390,0.547,0.523
1,,Unfavorable,193,80,112,13,23,5,76,74,4,16,38,39,41,45,89,92,12,29,53,72,34,139,23,18,79,10,7,0,45,121,51,21
1,,,0.249,0.225,0.269,0.127,0.204,0.128,0.235,0.383,0.111,0.182,0.266,0.289,0.293,0.302,0.195,0.393,0.140,0.175,0.273,0.289,0.231,0.419,0.256,0.057,0.206,0.099,0.333,0.000,0.413,0.328,0.183,0.164
1,,Don't know,219,93,126,34,30,9,95,50,7,40,57,32,32,30,128,63,29,73,56,61,25,109,26,74,111,29,8,6,36,104,75,40
1,,,0.283,0.261,0.302,0.333,0.265,0.231,0.294,0.259,0.194,0.455,0.399,0.237,0.229,0.201,0.281,0.269,0.337,0.440,0.289,0.245,0.170,0.328,0.289,0.233,0.289,0.287,0.381,0.857,0.330,0.282,0.270,0.313
2,Do you have a favorable or unfavorable impression of former gubernatorial candidate Stacey Abrams?,Favorable,347,126,221,36,49,8,136,116,18,39,72,62,60,63,113,193,41,80,107,99,52,273,44,18,143,30,15,4,68,207,87,54
2,,,0.448,0.353,0.530,0.350,0.430,0.211,0.422,0.601,0.500,0.448,0.503,0.463,0.429,0.423,0.248,0.828,0.477,0.482,0.552,0.398,0.351,0.820,0.489,0.056,0.372,0.297,0.714,0.500,0.630,0.561,0.314,0.422
2,,Unfavorable,348,191,157,49,57,27,151,62,13,39,58,62,70,66,295,22,30,58,73,127,83,32,29,275,199,59,3,4,27,120,161,66
2,,,0.449,0.535,0.376,0.476,0.500,0.711,0.469,0.321,0.361,0.448,0.406,0.463,0.500,0.443,0.648,0.094,0.349,0.349,0.376,0.510,0.561,0.096,0.322,0.859,0.518,0.584,0.143,0.500,0.250,0.325,0.581,0.516
2,,Don't know,79,40,39,18,8,3,35,15,5,9,13,10,10,20,47,18,15,28,14,23,13,28,17,27,42,12,3,0,13,42,29,8
2,,,0.103,0.112,0.094,0.175,0.070,0.079,0.109,0.078,0.139,0.103,0.091,0.075,0.071,0.134,0.103,0.077,0.174,0.169,0.072,0.092,0.088,0.084,0.189,0.084,0.109,0.119,0.143,0.000,0.120,0.114,0.105,0.063
3,Do you have a favorable or unfavorable impression of the Georgia Legislature?,Favorable,313,157,157,47,48,20,130,68,19,30,58,58,61,50,214,65,34,62,75,94,75,69,44,189,185,46,5,0,16,121,125,68
3,,,0.405,0.440,0.376,0.456,0.425,0.526,0.402,0.351,0.528,0.341,0.406,0.433,0.436,0.338,0.470,0.279,0.400,0.371,0.387,0.376,0.507,0.208,0.489,0.592,0.482,0.455,0.238,0.000,0.147,0.328,0.451,0.531
3,,Unfavorable,269,120,149,25,37,8,118,79,7,33,52,35,48,66,126,115,28,59,73,96,37,179,28,49,116,23,15,1,60,158,89,22
3,,,0.348,0.336,0.356,0.243,0.327,0.211,0.365,0.407,0.194,0.375,0.364,0.261,0.343,0.446,0.277,0.494,0.329,0.353,0.376,0.384,0.250,0.539,0.311,0.154,0.302,0.228,0.714,0.143,0.550,0.428,0.321,0.172
3,,Don't know,191,80,112,31,28,10,75,47,10,25,33,41,31,32,115,53,23,46,46,60,36,84,18,81,83,32,1,6,33,90,63,38
3,,,0.247,0.224,0.268,0.301,0.248,0.263,0.232,0.242,0.278,0.284,0.231,0.306,0.221,0.216,0.253,0.227,0.271,0.275,0.237,0.240,0.243,0.253,0.200,0.254,0.216,0.317,0.048,0.857,0.303,0.244,0.227,0.297
4,Do you have a favorable or unfavorable impression of President Donald Trump?,Favorable,305,165,140,47,54,26,125,53,15,38,43,51,62,56,260,14,32,38,68,110,83,7,18,266,189,46,2,4,18,89,152,64
4,,,0.395,0.462,0.336,0.461,0.474,0.684,0.387,0.275,0.417,0.432,0.301,0.381,0.443,0.376,0.570,0.060,0.372,0.228,0.351,0.442,0.561,0.021,0.200,0.834,0.492,0.455,0.095,0.500,0.165,0.241,0.549,0.500
4,,Unfavorable,432,172,260,50,58,11,180,130,18,49,90,78,69,86,166,215,51,122,119,126,56,321,63,35,176,52,17,4,85,266,109,56
4,,,0.558,0.482,0.624,0.490,0.509,0.289,0.557,0.674,0.500,0.557,0.629,0.582,0.493,0.577,0.364,0.919,0.593,0.731,0.613,0.506,0.378,0.967,0.700,0.110,0.458,0.515,0.810,0.500,0.780,0.721,0.394,0.438
4,,Don't know,37,20,17,5,2,1,18,10,3,1,10,5,9,7,30,5,3,7,7,13,9,4,9,18,19,3,2,0,6,14,16,8
4,,,0.048,0.056,0.041,0.049,0.018,0.026,0.056,0.052,0.083,0.011,0.070,0.037,0.064,0.047,0.066,0.021,0.035,0.042,0.036,0.052,0.061,0.012,0.100,0.056,0.049,0.030,0.095,0.000,0.055,0.038,0.058,0.063
5,"Do you think abortion should be legal in all cases, legal in most cases, illegal in most cases or illegal in all cases?",Legal in all cases,174,65,110,18,21,4,78,52,9,21,46,20,20,44,67,83,24,58,55,40,19,122,22,19,72,19,7,0,45,109,44,21
5,,,0.225,0.182,0.263,0.176,0.184,0.100,0.242,0.269,0.243,0.239,0.324,0.147,0.142,0.293,0.147,0.356,0.279,0.347,0.285,0.160,0.128,0.367,0.244,0.059,0.188,0.188,0.333,0.000,0.413,0.295,0.159,0.163
5,,Legal in most cases,274,122,152,25,43,11,111,84,4,22,47,58,58,57,148,101,25,49,73,98,47,145,43,78,121,35,12,5,51,151,83,40
5,,,0.354,0.342,0.363,0.245,0.377,0.275,0.345,0.435,0.108,0.250,0.331,0.426,0.411,0.380,0.325,0.433,0.291,0.293,0.378,0.392,0.318,0.437,0.478,0.244,0.315,0.347,0.571,0.714,0.468,0.409,0.300,0.310
5,,Illegal in most cases,208,115,93,36,25,16,90,41,5,25,31,38,49,37,164,23,21,43,44,69,48,35,9,154,127,28,1,2,11,71,98,39
5,,,0.268,0.322,0.222,0.353,0.219,0.400,0.280,0.212,0.135,0.284,0.218,0.279,0.348,0.247,0.360,0.099,0.244,0.257,0.228,0.276,0.324,0.105,0.100,0.481,0.331,0.277,0.048,0.286,0.101,0.192,0.354,0.302
5,,Illegal in all cases,84,34,50,14,19,8,32,9,15,15,8,19,10,6,58,14,12,10,12,30,29,16,7,59,49,14,0,0,1,24,35,25
5,,,0.108,0.095,0.119,0.137,0.167,0.200,0.099,0.047,0.405,0.170,0.056,0.140,0.071,0.040,0.127,0.060,0.140,0.060,0.062,0.120,0.196,0.048,0.078,0.184,0.128,0.139,0.000,0.000,0.009,0.065,0.126,0.194
5,,Don't know,35,21,14,9,6,1,11,7,4,5,10,1,4,6,18,12,4,7,9,13,5,14,9,10,15,5,1,0,1,14,17,4
5,,,0.045,0.059,0.033,0.088,0.053,0.025,0.034,0.036,0.108,0.057,0.070,0.007,0.028,0.040,0.040,0.052,0.047,0.042,0.047,0.052,0.034,0.042,0.100,0.031,0.039,0.050,0.048,0.000,0.009,0.038,0.061,0.031
