qnum,Question,Responses,Total,Male,Female,High School or less,Some college,College graduate,"Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Other race,18-29,30-44,45-64,65+,Liberal,Moderate,Conservative,Republican,Democrat,Independent
0,"If the election to choose a Republican candidate for Governor were being held today, for whom would you vote? ",Brian Kemp,471.9597807,236,236,147,144,179,21,57,74,72,85,99,451,21,28,49,161,224,17,54,390,446,4,17
0,,,0.532685983,0.559241706,0.50862069,0.501706485,0.523636364,0.566455696,0.446808511,0.52293578,0.521126761,0.5625,0.508982036,0.585798817,0.532467532,0.538461538,0.518518519,0.462264151,0.519354839,0.568527919,0.548387097,0.683544304,0.520694259,0.541262136,0.235294118,0.607142857
0,,David Perdue,237.8704649,120,118,84,71,83,15,25,39,28,48,55,228,10,9,33,92,100,4,10,215,232,0,3
0,,,0.268476823,0.28436019,0.254310345,0.28668942,0.258181818,0.262658228,0.319148936,0.229357798,0.274647887,0.21875,0.28742515,0.325443787,0.26918536,0.256410256,0.166666667,0.311320755,0.296774194,0.253807107,0.129032258,0.126582278,0.287049399,0.281553398,0,0.107142857
0,,Kandiss Taylor,31.68833812,13,19,10,13,9,2,8,6,6,7,2,31,1,8,7,10,5,1,1,29,29,1,1
0,,,0.035765619,0.030805687,0.040948276,0.034129693,0.047272727,0.028481013,0.042553191,0.073394495,0.042253521,0.046875,0.041916168,0.01183432,0.036599764,0.025641026,0.148148148,0.066037736,0.032258065,0.012690355,0.032258065,0.012658228,0.038718291,0.035194175,0.058823529,0.035714286
0,,Catherine Davis,5.831342197,2,4,0,1,5,0,1,2,0,1,2,6,0,1,2,2,1,2,2,2,3,3,0
0,,,0.00658165,0.004739336,0.00862069,0,0.003636364,0.015822785,0,0.009174312,0.014084507,0,0.005988024,0.01183432,0.007083825,0,0.018518519,0.018867925,0.006451613,0.002538071,0.064516129,0.025316456,0.002670227,0.003640777,0.176470588,0
0,,Tom Williams,2.125392465,0,2,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,1
0,,,0.002398863,0,0.004310345,0,0.003636364,0.003164557,0,0,0,0,0,0,0.002361275,0,0,0,0,0.002538071,0,0,0.001335113,0.001213592,0,0.035714286
0,,Don't know,136.5246817,51,85,52,45,39,9,18,21,22,26,11,129,7,8,15,45,63,7,12,112,113,9,6
0,,,0.154091063,0.120853081,0.183189655,0.177474403,0.163636364,0.123417722,0.191489362,0.165137615,0.147887324,0.171875,0.155688623,0.065088757,0.152302243,0.179487179,0.148148148,0.141509434,0.14516129,0.159898477,0.225806452,0.151898734,0.14953271,0.137135922,0.529411765,0.214285714
1,"If the election to choose a Republican candidate for U.S. Senate were being held today, for whom would you vote?",Herschel Walker,583.7955773,310,274,199,174,210,23,73,87,91,121,113,564,20,28,76,214,257,15,36,528,565,0,12
1,,,0.658911487,0.736342043,0.590517241,0.683848797,0.635036496,0.660377358,0.5,0.663636364,0.608391608,0.7109375,0.720238095,0.664705882,0.666666667,0.512820513,0.518518519,0.723809524,0.692556634,0.647355164,0.441176471,0.455696203,0.704,0.685679612,0,0.413793103
1,,Gary Black,59.0538143,31,28,18,19,21,0,7,16,5,8,20,56,3,9,3,17,29,2,10,45,54,2,4
1,,,0.066652161,0.073634204,0.060344828,0.06185567,0.069343066,0.066037736,0,0.063636364,0.111888112,0.0390625,0.047619048,0.117647059,0.066193853,0.076923077,0.166666667,0.028571429,0.055016181,0.073047859,0.058823529,0.126582278,0.06,0.065533981,0.105263158,0.137931034
1,,Josh Clark,7.489580804,1,6,2,1,4,0,0,2,2,0,2,6,1,0,2,1,4,1,1,6,6,0,1
1,,,0.008453251,0.002375297,0.012931034,0.006872852,0.003649635,0.012578616,0,0,0.013986014,0.015625,0,0.011764706,0.007092199,0.025641026,0,0.019047619,0.003236246,0.010075567,0.029411765,0.012658228,0.008,0.007281553,0,0.034482759
1,,Kelvin King ,10.97065423,3,8,3,1,7,0,1,1,0,4,2,8,3,0,0,4,7,0,3,8,11,0,0
1,,,0.012382228,0.007125891,0.017241379,0.010309278,0.003649635,0.022012579,0,0.009090909,0.006993007,0,0.023809524,0.011764706,0.009456265,0.076923077,0,0,0.012944984,0.017632242,0,0.037974684,0.010666667,0.013349515,0,0
1,,Jon McColumn,4.898876988,1,4,0,1,4,0,0,1,1,2,1,5,0,1,0,3,1,0,0,5,5,0,0
1,,,0.005529207,0.002375297,0.00862069,0,0.003649635,0.012578616,0,0,0.006993007,0.0078125,0.011904762,0.005882353,0.005910165,0,0.018518519,0,0.009708738,0.002518892,0,0,0.006666667,0.006067961,0,0
1,,Latham Saddler,17.05839487,11,6,4,5,8,0,1,4,3,4,6,15,2,0,1,11,4,1,3,12,12,1,2
1,,,0.019253267,0.026128266,0.012931034,0.013745704,0.018248175,0.025157233,0,0.009090909,0.027972028,0.0234375,0.023809524,0.035294118,0.017730496,0.051282051,0,0.00952381,0.035598706,0.010075567,0.029411765,0.037974684,0.016,0.014563107,0.052631579,0.068965517
1,,Don't know,202.7331016,64,138,65,73,64,23,28,32,26,29,26,192,10,16,23,59,95,15,26,146,171,16,10
1,,,0.228818399,0.152019002,0.297413793,0.223367698,0.266423358,0.201257862,0.5,0.254545455,0.223776224,0.203125,0.172619048,0.152941176,0.226950355,0.256410256,0.296296296,0.219047619,0.190938511,0.23929471,0.441176471,0.329113924,0.194666667,0.207524272,0.842105263,0.344827586
2,"If the election to choose a Republican candidate for Lieutenant Governor  were being held today, for whom would you vote?",Burt Jones,235.5996718,126,109,69,83,83,11,25,32,46,39,50,228,7,24,19,67,119,6,16,210,226,2,3
2,,,0.265913851,0.298578199,0.235421166,0.235494881,0.301818182,0.261829653,0.239130435,0.229357798,0.225352113,0.362204724,0.234939759,0.292397661,0.26918536,0.189189189,0.452830189,0.180952381,0.216129032,0.301265823,0.176470588,0.2,0.280373832,0.274271845,0.111111111,0.111111111
2,,Mack McGregor,49.80025082,27,23,19,13,18,0,8,8,4,12,14,48,2,0,6,24,19,2,7,41,48,1,1
2,,,0.056207958,0.063981043,0.049676026,0.064846416,0.047272727,0.056782334,0,0.073394495,0.056338028,0.031496063,0.072289157,0.081871345,0.056670602,0.054054054,0,0.057142857,0.077419355,0.048101266,0.058823529,0.0875,0.054739653,0.058252427,0.055555556,0.037037037
2,,Butch Miller,122.3726233,67,56,40,36,47,8,12,34,13,26,20,118,4,9,14,47,50,2,17,102,115,0,5
2,,,0.138118085,0.158767773,0.120950324,0.136518771,0.130909091,0.148264984,0.173913043,0.110091743,0.23943662,0.102362205,0.156626506,0.116959064,0.13931523,0.108108108,0.169811321,0.133333333,0.151612903,0.126582278,0.058823529,0.2125,0.136181575,0.139563107,0,0.185185185
2,,Jeanne Seaver,13.81331901,4,9,2,5,6,2,0,0,2,2,6,12,1,1,0,8,5,1,2,8,9,0,2
2,,,0.015590654,0.009478673,0.019438445,0.006825939,0.018181818,0.018927445,0.043478261,0,0,0.015748031,0.012048193,0.035087719,0.014167651,0.027027027,0.018867925,0,0.025806452,0.012658228,0.029411765,0.025,0.010680908,0.01092233,0,0.074074074
2,,Don't know,464.4141351,198,266,163,138,163,25,64,68,62,87,81,441,23,19,66,164,202,23,38,388,426,15,16
2,,,0.524169453,0.469194313,0.574514039,0.556313993,0.501818182,0.514195584,0.543478261,0.587155963,0.478873239,0.488188976,0.524096386,0.473684211,0.520661157,0.621621622,0.358490566,0.628571429,0.529032258,0.511392405,0.676470588,0.475,0.518024032,0.516990291,0.833333333,0.592592593
3,"If the election to choose a Republican candidate for Lieutenant Governor  were being held today, for whom would you vote?",Brad Raffensperger,249.0473765,137,112,74,72,103,2,29,43,32,55,61,239,10,11,28,91,114,16,38,188,223,9,11
