qnum,Question,Responses,Total,Male,Female,High School or less,Some college,College graduate,"Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Other race,18-29,30-44,45-64,65+,Liberal,Moderate,Conservative,Republican,Democrat,Independent
0,"If the 2024 Republican primary for president were being held today, for whom would you vote?",Donald Trump,455.6559808,210,245,183,161,112,24,73,73,65,76,59,439,17,29,43,155,216,12,42,388,432,1,13
0,,,0.564629468,0.545454545,0.579196217,0.685393258,0.641434263,0.390243902,0.631578947,0.760416667,0.5703125,0.575221239,0.608,0.355421687,0.567917206,0.472222222,0.591836735,0.443298969,0.553571429,0.59833795,0.3,0.40776699,0.597842835,0.595862069,0.043478261,0.361111111
0,,Ron DeSantis ,117.9390002,62,56,32,33,53,0,12,15,19,12,39,114,4,6,11,50,50,2,15,99,111,0,2
0,,,0.146144982,0.161038961,0.132387707,0.119850187,0.131474104,0.18466899,0,0.125,0.1171875,0.168141593,0.096,0.234939759,0.147477361,0.111111111,0.12244898,0.113402062,0.178571429,0.138504155,0.05,0.145631068,0.152542373,0.153103448,0,0.055555556
0,,Mike Pence ,29.25985098,10,19,6,5,17,1,3,4,7,5,5,27,3,0,0,10,18,1,7,21,26,1,2
0,,,0.03625756,0.025974026,0.044917258,0.02247191,0.019920319,0.059233449,0.026315789,0.03125,0.03125,0.061946903,0.04,0.030120482,0.034928849,0.083333333,0,0,0.035714286,0.049861496,0.025,0.067961165,0.032357473,0.035862069,0.043478261,0.055555556
0,,Nikki Haley ,20.19220501,13,8,5,4,11,0,0,4,2,6,7,19,1,5,4,6,5,7,5,8,11,6,3
0,,,0.02502132,0.033766234,0.01891253,0.018726592,0.015936255,0.038327526,0,0,0.03125,0.017699115,0.048,0.042168675,0.02457956,0.027777778,0.102040816,0.041237113,0.021428571,0.013850416,0.175,0.048543689,0.012326656,0.015172414,0.260869565,0.083333333
0,,Tim Scott ,22.26449295,12,10,0,11,11,1,1,5,4,4,6,21,2,0,5,8,9,0,6,16,19,1,2
0,,,0.027589211,0.031168831,0.023640662,0,0.043824701,0.038327526,0.026315789,0.010416667,0.0390625,0.03539823,0.032,0.036144578,0.027166882,0.055555556,0,0.051546392,0.028571429,0.024930748,0,0.058252427,0.024653313,0.026206897,0.043478261,0.055555556
