qnum,Question,Responses,Male,Female,Democrat,Republican,Independent,White,Black,Non-white,18-39,40-64,65+,White Protestant Evangelical,North,Atlanta exurbs,Atlanta metro,Southeast,Southwest,,
0,Do you approve or disapprove of the way Nathan Deal is handling his job as governor?,Approve,196,201,100,145,99,263,98,130,133,191,74,75,76,110,73,74,64,,
0,,,0.51,0.50,0.38,0.73,0.46,0.56,0.40,0.42,0.51,0.51,0.48,0.67,0.65,0.51,0.39,0.53,0.50,,
0,,Disapprove,125,147,128,33,77,134,110,134,77,132,61,24,33,72,91,37,39,,
0,,,0.32,0.37,0.49,0.17,0.36,0.29,0.44,0.43,0.29,0.36,0.40,0.21,0.28,0.33,0.49,0.26,0.31,,
0,,No answer,64,54,34,20,37,69,39,46,52,48,19,12,9,34,21,29,25,,
0,,,0.17,0.13,0.13,0.10,0.17,0.15,0.16,0.15,0.20,0.13,0.12,0.11,0.08,0.16,0.11,0.21,0.20,,
1,Do you approve or disapprove of the way Johnny Isakson is handling his job in the U.S. Senate?,Approve,146,127,74,90,76,176,70,95,68,145,60,57,44,83,56,42,48,,
1,,,0.38,0.32,0.28,0.45,0.36,0.38,0.28,0.31,0.26,0.39,0.39,0.51,0.37,0.38,0.30,0.30,0.38,,
1,,Disapprove,116,127,94,50,65,125,92,113,81,119,43,27,35,61,74,41,33,,
1,,,0.30,0.32,0.36,0.25,0.30,0.27,0.37,0.36,0.31,0.32,0.28,0.25,0.30,0.28,0.40,0.29,0.26,,
1,,No answer,122,148,95,58,73,166,86,102,112,107,49,27,38,73,55,58,46,,
1,,,0.32,0.37,0.36,0.29,0.34,0.35,0.35,0.33,0.43,0.29,0.32,0.24,0.33,0.34,0.30,0.41,0.36,,
2,Do you approve or disapprove of the way the Georgia legislature is doing its job?,Approve,183,162,97,117,89,222,97,119,119,167,58,60,59,99,55,64,67,,
2,,,0.48,0.40,0.37,0.59,0.42,0.48,0.39,0.38,0.46,0.45,0.38,0.54,0.50,0.46,0.30,0.46,0.53,,
2,,Disapprove,154,178,133,50,95,178,113,148,104,158,69,36,49,83,106,54,40,,
2,,,0.40,0.44,0.51,0.25,0.45,0.38,0.46,0.48,0.40,0.43,0.45,0.32,0.42,0.38,0.57,0.39,0.31,,
2,,No answer,48,63,32,30,30,66,37,43,38,46,26,16,10,35,23,22,21,,
2,,,0.12,0.16,0.12,0.15,0.14,0.14,0.15,0.14,0.15,0.12,0.17,0.14,0.08,0.16,0.13,0.15,0.16,,
3,How satisfied are you with the way things are going in Georgia today?,Very satisfied,47,17,17,22,15,44,11,20,15,32,16,12,9,25,8,13,8,,
3,,,0.12,0.04,0.06,0.11,0.07,0.10,0.04,0.06,0.06,0.09,0.11,0.11,0.08,0.12,0.04,0.09,0.07,,
3,,Somewhat satisfied,202,190,110,125,110,261,107,128,137,182,72,60,59,126,72,69,66,,
3,,,0.52,0.47,0.42,0.63,0.51,0.56,0.43,0.41,0.52,0.49,0.47,0.54,0.50,0.58,0.39,0.49,0.51,,
3,,Somewhat dissatisfied,81,130,93,31,53,114,79,94,68,100,43,32,35,40,61,36,39,,
3,,,0.21,0.32,0.35,0.16,0.25,0.24,0.32,0.30,0.26,0.27,0.28,0.28,0.30,0.19,0.33,0.26,0.31,,
3,,Very dissatisfied,51,59,39,17,33,40,50,66,41,49,19,7,15,20,41,21,15,,
3,,,0.13,0.15,0.15,0.08,0.15,0.09,0.20,0.21,0.16,0.13,0.13,0.06,0.12,0.09,0.22,0.15,0.11,,
3,,No answer,4,6,4,3,3,7,,3,*,7,3,*,,5,3,1,-,,
3,,,0.01,0.02,0.01,0.01,0.01,0.01,,0.01,*,0.02,0.02,*,,0.02,0.02,0.01,- ,,
4,Would you describe the state of Georgia's economy these days?,Excellent,16,5,8,6,3,13,5,8,6,9,6,5,4,7,5,3,2,,
4,,,0.04,0.01,0.03,0.03,0.02,0.03,0.02,0.03,0.02,0.02,0.04,0.04,0.03,0.03,0.03,0.02,0.02,,
4,,Good,215,181,114,103,115,268,96,124,144,180,70,57,68,112,101,67,48,,
4,,,0.56,0.45,0.43,0.52,0.54,0.57,0.39,0.40,0.55,0.49,0.46,0.51,0.58,0.52,0.55,0.48,0.38,,
4,,Not so good,113,160,114,61,67,140,113,130,84,132,56,41,32,73,61,47,59,,
4,,,0.29,0.40,0.44,0.31,0.31,0.30,0.46,0.42,0.32,0.36,0.36,0.37,0.27,0.34,0.33,0.34,0.46,,
4,,Poor,33,53,23,23,27,37,30,44,25,42,19,8,14,20,17,20,14,,
4,,,0.09,0.13,0.09,0.11,0.13,0.08,0.12,0.14,0.10,0.11,0.12,0.07,0.12,0.09,0.09,0.14,0.11,,
4,,No answer,8,4,3,5,1,8,3,4,2,7,2,*,-,4,1,3,4,,
4,,,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.02,*,-,0.02,* ,0.02,0.03,,
5,What is the single most important issue facing Georgia today?,Economy/jobs,117,112,78,57,63,138,70,87,70,117,42,36,33,77,39,34,46,,
5,,,0.30,0.28,0.30,0.29,0.30,0.30,0.28,0.28,0.27,0.32,0.27,0.32,0.28,0.36,0.21,0.24,0.36,,
5,,Taxes,9,11,9,3,7,9,10,11,3,10,7,3,4,8,-,5,3,,
5,,,0.02,0.03,0.03,0.02,0.03,0.02,0.04,0.03,0.01,0.03,0.04,0.03,0.03,0.04,- ,0.04,0.02,,
5,,Workforce,19,11,8,14,7,19,8,12,14,12,5,2,2,7,3,9,10,,
5,,,0.05,0.03,0.03,0.07,0.03,0.04,0.03,0.04,0.05,0.03,0.03,0.02,0.02,0.03,0.02,0.06,0.08,,
5,,Quality Of Public Schools/education,35,57,37,16,29,50,31,42,39,40,14,10,11,16,42,13,10,,
5,,,0.09,0.14,0.14,0.08,0.14,0.11,0.12,0.14,0.15,0.11,0.09,0.09,0.09,0.08,0.23,0.10,0.08,,
5,,Transportation,28,13,12,16,10,25,11,16,15,19,6,5,9,15,13,4,-,,
5,,,0.07,0.03,0.05,0.08,0.05,0.05,0.05,0.05,0.06,0.05,0.04,0.04,0.08,0.07,0.07,0.03,- ,,
5,,Crime/public safety,25,44,35,11,13,23,42,44,21,34,13,8,7,9,22,18,14,,
5,,,0.06,0.11,0.13,0.06,0.06,0.05,0.17,0.14,0.08,0.09,0.09,0.07,0.06,0.04,0.12,0.13,0.11,,
5,,Quality Of life,6,2,7,*,-,3,3,6,5,1,2,-,-,-,6,-,3,,
5,,,0.02,0.01,0.03,* ,- ,0.01,0.01,0.02,0.02,* ,0.01,- ,- ,- ,0.03,- ,0.02,,
5,,Moral issues,7,4,5,1,2,8,2,3,6,1,4,4,4,3,3,1,-,,
5,,,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.02,* ,0.02,0.03,0.04,0.01,0.02,0.01,- ,,
5,,State leadership,6,5,*,2,5,6,5,5,4,4,3,3,*,6,2,*,1,,
5,,,0.02,0.01,* ,0.01,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.02,* ,0.03,0.01,* ,0.01,,
5,,Healthcare,15,25,14,9,10,28,6,12,7,25,9,5,6,14,8,9,3,,
5,,,0.04,0.06,0.05,0.05,0.05,0.06,0.02,0.04,0.03,0.07,0.06,0.05,0.05,0.07,0.04,0.06,0.02,,
5,,Immigration/illegal immigration,27,18,6,16,14,35,9,9,15,24,5,7,10,17,10,4,3,,
5,,,0.07,0.04,0.02,0.08,0.07,0.08,0.04,0.03,0.06,0.06,0.04,0.06,0.09,0.08,0.06,0.03,0.02,,
5,,Something else,76,77,46,41,41,96,46,54,37,76,39,25,23,35,32,26,35,,
5,,,0.20,0.19,0.18,0.21,0.19,0.21,0.19,0.17,0.14,0.21,0.25,0.23,0.20,0.16,0.17,0.19,0.28,,
5,,No answer,16,22,4,9,13,27,5,11,26,7,5,4,9,9,5,16,-,,
5,,,0.04,0.06,0.02,0.05,0.06,0.06,0.02,0.04,0.10,0.02,0.03,0.04,0.07,0.04,0.03,0.11,- ,,
6,"Lawmakers are considering a religious liberty bill that supporters say will prevent state and local governments from interfering with an individual's right to  practice their religion. Supporters say the bill would protect people of any religion from government interference. Opponents worry it could lead to discrimination against gays and lesbians. Do you think the Georgia legislature should approve this religious liberty bill, or not?"," Yes, should approve bill",200,217,114,128,107,246,122,167,148,197,71,68,71,121,82,73,69,,
6,,,0.52,0.54,0.43,0.65,0.50,0.53,0.49,0.54,0.56,0.53,0.47,0.61,0.60,0.56,0.44,0.52,0.54,,
6,,No should not approve bill,155,158,131,49,97,183,109,126,102,144,67,33,42,82,90,56,42,,
6,,,0.40,0.39,0.50,0.25,0.46,0.39,0.44,0.41,0.39,0.39,0.44,0.30,0.36,0.38,0.49,0.40,0.33,,
6,,No answer,30,27,17,21,9,38,15,17,12,30,15,9,4,13,13,11,16,,
6,,,0.08,0.07,0.07,0.10,0.04,0.08,0.06,0.06,0.05,0.08,0.10,0.08,0.04,0.06,0.07,0.08,0.13,,
