qnum,Question,Responses,Registered voters,Male,Female,Democrat,Republican,Independent,White,Black,18-39,40-64,65+,White Protestant Evangelical,North,Atlanta Exurbs,Atlanta Metro,Southeast,Southwest
0,Do you approve or disapprove of the way Nathan Deal is handling his job as governor?,Approve,440,220,220,88,184,134,301,94,131,218,89,99,59,51,180,79,70
0,,,0.52,0.56,0.49,0.37,0.71,0.54,0.62,0.37,0.47,0.56,0.55,0.67,0.43,0.63,0.49,0.57,0.59
0,,Disapprove,218,90,129,100,32,56,90,106,71,104,42,25,39,16,107,31,25
0,,,0.26,0.23,0.29,0.41,0.12,0.23,0.18,0.42,0.25,0.26,0.26,0.17,0.29,0.19,0.29,0.23,0.21
0,,Don't know/no answer,182,83,100,53,43,59,97,56,78,70,31,25,38,14,79,28,23
0,,,0.22,0.21,0.22,0.22,0.17,0.24,0.2,0.22,0.28,0.18,0.19,0.17,0.28,0.17,0.22,0.2,0.2
1,Do you approve or disapprove of the way the Georgia legislature is doing its job?,Approve,420,216,204,87,179,114,283,100,136,199,84,96,75,47,159,77,62
1,,,0.5,0.55,0.45,0.36,0.69,0.46,0.58,0.39,0.49,0.51,0.52,0.64,0.55,0.58,0.44,0.56,0.52
1,,Disapprove,295,121,175,127,45,92,124,127,96,147,51,31,42,24,145,40,44
1,,,0.35,0.31,0.39,0.53,0.17,0.37,0.25,0.5,0.34,0.37,0.31,0.21,0.31,0.3,0.39,0.29,0.38
1,,Don't know/no answer,125,56,70,27,36,43,81,29,48,47,28,22,20,10,62,21,12
1,,,0.15,0.14,0.16,0.11,0.14,0.17,0.17,0.11,0.17,0.12,0.17,0.15,0.14,0.13,0.17,0.15,0.1
2,Do you approve or disapprove of the way Barack Obama is handling his job as president?,Approve,419,167,251,222,25,129,121,238,174,188,55,12,50,27,223,57,61
2,,,0.5,0.43,0.56,0.92,0.1,0.52,0.25,0.93,0.62,0.48,0.34,0.08,0.37,0.34,0.61,0.41,0.52
2,,Disapprove,395,213,182,18,228,109,350,14,97,194,102,133,79,52,132,77,54
2,,,0.47,0.54,0.41,0.07,0.88,0.44,0.72,0.06,0.35,0.49,0.63,0.89,0.58,0.64,0.36,0.56,0.46
2,,Don't know/no answer,27,12,15,2,7,11,17,4,9,11,5,4,7,2,11,4,3
2,,,0.03,0.03,0.03,0.01,0.03,0.04,0.03,0.02,0.03,0.03,0.03,0.03,0.05,0.02,0.03,0.03,0.02
3,Do you have a favorable or unfavorable impression of the Republican party?,Favorable,344,175,169,27,209,84,280,35,92,161,89,107,75,47,115,55,51
3,,,0.41,0.45,0.38,0.11,0.8,0.34,0.57,0.14,0.33,0.41,0.55,0.72,0.55,0.58,0.32,0.4,0.43
3,,Unfavorable,414,177,237,197,42,130,164,196,158,194,60,34,48,24,217,68,58
3,,,0.49,0.45,0.53,0.82,0.16,0.52,0.34,0.76,0.56,0.5,0.37,0.23,0.35,0.3,0.59,0.49,0.49
3,,Don't know/no answer,82,40,42,17,9,35,45,26,30,37,14,8,13,10,34,16,9
3,,,0.1,0.1,0.09,0.07,0.04,0.14,0.09,0.1,0.11,0.09,0.08,0.06,0.1,0.12,0.09,0.11,0.08
4,Do you have a favorable or unfavorable impression of the Democratic party?,Favorable,311,129,182,195,14,71,96,177,116,145,50,15,32,24,167,46,43
4,,,0.37,0.33,0.41,0.81,0.05,0.28,0.2,0.69,0.41,0.37,0.31,0.1,0.23,0.29,0.46,0.33,0.36
4,,Unfavorable,467,230,237,43,235,146,353,70,137,219,107,127,86,56,178,82,65
4,,,0.56,0.59,0.53,0.18,0.9,0.59,0.72,0.27,0.49,0.56,0.66,0.86,0.63,0.69,0.49,0.59,0.55
4,,Don't know/no answer,63,33,29,4,10,32,39,10,27,29,6,7,19,1,21,12,11
