qnum,Question,Responses,Total,Male,Female,Democrat,Independent,Republican,White,Black,18-30,31-45,46-64,65+,Atlanta,North GA,South GA,Protestant,Catholic,Jewish,Muslim,Secular/Atheist
0,Do you approve or disapprove of the way Nathan Deal is handling his job as governor?,Approve,496.00,261.00,235.00,138.00,55.00,276.00,324.00,105.00,79.00,104.00,192.00,104.00,183.00,196.00,115.00,271.00,62.00,6.00,10.00,61.00
0,,,0.53,0.61,0.46,0.35,0.46,0.76,0.62,0.39,0.41,0.46,0.61,0.60,0.45,0.62,0.52,0.57,0.67,0.55,0.83,0.39
0,,Disapprove,217.00,85.00,132.00,160.00,27.00,18.00,73.00,100.00,51.00,58.00,70.00,31.00,111.00,49.00,57.00,104.00,17.00,2.00,1.00,44.00
0,,,0.23,0.20,0.26,0.40,0.22,0.05,0.14,0.37,0.26,0.26,0.22,0.18,0.28,0.16,0.26,0.22,0.18,0.18,0.08,0.28
0,,Don't know,227.00,81.00,146.00,99.00,39.00,68.00,128.00,63.00,64.00,62.00,53.00,38.00,109.00,69.00,50.00,102.00,14.00,3.00,1.00,50.00
0,,,0.24,0.19,0.29,0.25,0.32,0.19,0.24,0.24,0.33,0.28,0.17,0.22,0.27,0.22,0.23,0.21,0.15,0.27,0.08,0.32
1,Do you approve or disapprove of the way in which the Georgia Legislature is doing its job?,Approve,428.00,200.00,227.00,127.00,44.00,229.00,268.00,103.00,77.00,97.00,156.00,86.00,154.00,166.00,106.00,226.00,53.00,6.00,9.00,48.00
1,,,0.46,0.47,0.44,0.32,0.36,0.63,0.51,0.38,0.40,0.43,0.50,0.50,0.38,0.53,0.48,0.47,0.57,0.55,0.75,0.31
1,,Disapprove,342.00,160.00,182.00,207.00,52.00,65.00,151.00,124.00,82.00,75.00,111.00,58.00,174.00,96.00,72.00,165.00,29.00,4.00,2.00,72.00
1,,,0.36,0.38,0.36,0.52,0.43,0.18,0.29,0.46,0.42,0.33,0.35,0.34,0.43,0.31,0.32,0.34,0.31,0.36,0.17,0.47
1,,Don't know,170.00,67.00,103.00,63.00,26.00,68.00,106.00,43.00,35.00,53.00,48.00,29.00,75.00,52.00,44.00,88.00,11.00,1.00,1.00,35.00
1,,,0.18,0.16,0.20,0.16,0.21,0.19,0.20,0.16,0.18,0.24,0.15,0.17,0.19,0.17,0.20,0.18,0.12,0.09,0.08,0.23
2,Do you approve or disapprove of the way Donald Trump is handling his job as president?,Approve,345.00,190.00,155.00,4.00,31.00,293.00,304.00,9.00,30.00,78.00,128.00,90.00,90.00,156.00,97.00,216.00,38.00,3.00,2.00,32.00
2,,,0.37,0.44,0.30,0.01,0.26,0.81,0.58,0.03,0.16,0.35,0.41,0.52,0.22,0.50,0.44,0.45,0.41,0.30,0.17,0.21
2,,Disapprove,551.00,220.00,331.00,385.00,84.00,48.00,199.00,253.00,143.00,142.00,177.00,74.00,297.00,134.00,120.00,244.00,53.00,7.00,10.00,109.00
2,,,0.59,0.51,0.65,0.97,0.69,0.13,0.38,0.94,0.74,0.63,0.56,0.43,0.74,0.43,0.54,0.51,0.57,0.70,0.83,0.70
2,,Don't know,44.00,18.00,26.00,7.00,6.00,21.00,23.00,7.00,20.00,4.00,10.00,9.00,15.00,24.00,4.00,18.00,2.00,0.00,0.00,14.00
2,,,0.05,0.04,0.05,0.02,0.05,0.06,0.04,0.03,0.10,0.02,0.03,0.05,0.04,0.08,0.02,0.04,0.02,0.00,0.00,0.09
