qnum,Question,Responses,Total,Male,Female,High School or less,Some college,Vocational/Tech. School,College Graduate,Graduate Study,"$Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other race,18-29,30-44,45-64,65+,Democrat,Independent,Republican,Protestant,Catholic,Jewish,Muslim,Non-Religious,Atlanta Metro,North Georgia,South Georgia
0,Do you have a favorable or unfavorable impression of Governor Brian Kemp? ,Favorable,261,142,116,41,74,10,96,37,9,45,64,36,49,31,208,21,31,49,41,85,72,10,25,201,155,29,1,0,14,58,124,79
0,,, 0.372 ,0.438271605,0.311827957,0.38317757,0.5,0.23255814,0.387096774,0.25,0.264705882,0.420560748,0.387878788,0.349514563,0.422413793,0.303921569,0.55026455,0.099526066,0.274336283,0.324503311,0.232954545,0.414634146,0.533333333,0.033670034,0.337837838,0.770114943,0.46686747,0.34939759,0.076923077,0,0.127272727,0.203508772,0.449275362,0.560283688
0,,Unfavorable,328,129,198,60,48,23,108,86,20,53,69,56,46,52,113,153,62,85,103,81,43,247,33,17,124,40,10,5,79,165,116,47
0,,, 0.467 ,0.398148148,0.532258065,0.560747664,0.324324324,0.534883721,0.435483871,0.581081081,0.588235294,0.495327103,0.418181818,0.54368932,0.396551724,0.509803922,0.298941799,0.725118483,0.548672566,0.562913907,0.585227273,0.395121951,0.318518519,0.831649832,0.445945946,0.0651341,0.373493976,0.481927711,0.769230769,0.833333333,0.718181818,0.578947368,0.420289855,0.333333333
0,,Don't know,113,53,58,6,26,10,44,25,5,9,32,11,21,19,57,37,20,17,32,39,20,40,16,43,53,14,2,1,17,62,36,15
0,,, 0.161 ,0.163580247,0.155913978,0.056074766,0.175675676,0.23255814,0.177419355,0.168918919,0.147058824,0.08411215,0.193939394,0.106796117,0.181034483,0.18627451,0.150793651,0.17535545,0.17699115,0.112582781,0.181818182,0.190243902,0.148148148,0.134680135,0.216216216,0.164750958,0.159638554,0.168674699,0.153846154,0.166666667,0.154545455,0.21754386,0.130434783,0.106382979
1,Do you have a favorable or unfavorable impression of Senator Davide Perdue?,Favorable,319,168,148,49,76,18,118,54,15,51,78,41,57,46,227,44,48,65,67,90,79,65,29,191,177,41,4,3,28,84,160,74
1,,, 0.454 ,0.518518519,0.397849462,0.453703704,0.513513514,0.418604651,0.473895582,0.364864865,0.454545455,0.481132075,0.469879518,0.398058252,0.487179487,0.455445545,0.600529101,0.208530806,0.428571429,0.430463576,0.382857143,0.43902439,0.589552239,0.218120805,0.397260274,0.731800766,0.53313253,0.5,0.285714286,0.5,0.256880734,0.295774648,0.579710145,0.524822695
1,,Unfavorable,217,96,121,47,25,15,73,57,13,40,34,40,37,30,70,107,39,53,58,62,34,151,31,15,82,26,5,2,50,115,70,32
1,,, 0.309 ,0.296296296,0.325268817,0.435185185,0.168918919,0.348837209,0.293172691,0.385135135,0.393939394,0.377358491,0.204819277,0.388349515,0.316239316,0.297029703,0.185185185,0.507109005,0.348214286,0.350993377,0.331428571,0.302439024,0.253731343,0.506711409,0.424657534,0.057471264,0.246987952,0.317073171,0.357142857,0.333333333,0.458715596,0.404929577,0.253623188,0.226950355
1,,Don't know,166,60,103,12,47,10,58,37,5,15,54,22,23,25,81,60,25,33,50,53,21,82,13,55,73,15,5,1,31,85,46,35
1,,, 0.237 ,0.185185185,0.27688172,0.111111111,0.317567568,0.23255814,0.232931727,0.25,0.151515152,0.141509434,0.325301205,0.213592233,0.196581197,0.247524752,0.214285714,0.28436019,0.223214286,0.218543046,0.285714286,0.258536585,0.156716418,0.275167785,0.178082192,0.210727969,0.219879518,0.182926829,0.357142857,0.166666667,0.28440367,0.299295775,0.166666667,0.24822695
2,Do you have a favorable or unfavorable impression of former gubernatorial candidate Stacey Abrams? ,Favorable,364,145,217,57,62,23,122,97,14,61,81,58,51,61,108,191,65,88,114,90,52,273,42,14,141,43,11,5,79,195,120,49
2,,, 0.519 ,0.448916409,0.58490566,0.527777778,0.418918919,0.534883721,0.489959839,0.659863946,0.424242424,0.575471698,0.487951807,0.563106796,0.435897436,0.603960396,0.286472149,0.90521327,0.575221239,0.582781457,0.651428571,0.43902439,0.388059701,0.916107383,0.567567568,0.053846154,0.423423423,0.524390244,0.785714286,0.833333333,0.711711712,0.686619718,0.433212996,0.35
2,,Unfavorable,283,147,133,49,58,15,113,45,15,36,70,39,51,39,238,9,35,46,47,104,73,14,22,226,172,34,3,1,20,66,138,78
2,,, 0.403 ,0.455108359,0.358490566,0.453703704,0.391891892,0.348837209,0.453815261,0.306122449,0.454545455,0.339622642,0.421686747,0.378640777,0.435897436,0.386138614,0.631299735,0.042654028,0.309734513,0.304635762,0.268571429,0.507317073,0.544776119,0.046979866,0.297297297,0.869230769,0.516516517,0.414634146,0.214285714,0.166666667,0.18018018,0.232394366,0.498194946,0.557142857
2,,Don't know,55,31,21,2,28,5,14,5,4,9,15,6,15,1,31,11,13,17,14,11,9,11,10,20,20,5,0,0,12,23,19,13
2,,, 0.078 ,0.095975232,0.056603774,0.018518519,0.189189189,0.11627907,0.0562249,0.034013605,0.121212121,0.08490566,0.090361446,0.058252427,0.128205128,0.00990099,0.082228117,0.052132701,0.115044248,0.112582781,0.08,0.053658537,0.067164179,0.036912752,0.135135135,0.076923077,0.06006006,0.06097561,0,0,0.108108108,0.080985915,0.068592058,0.092857143
3,Do you have a favorable or unfavorable impression of former Governor Nathan Deal? ,Favorable,399,210,185,60,78,23,155,78,15,65,98,52,67,61,259,86,55,70,75,137,94,107,42,207,210,51,6,5,36,138,178,83
3,,, 0.569 ,0.650154799,0.497311828,0.555555556,0.527027027,0.534883721,0.625,0.530612245,0.454545455,0.607476636,0.590361446,0.504854369,0.572649573,0.603960396,0.685185185,0.405660377,0.486725664,0.463576159,0.428571429,0.671568627,0.701492537,0.359060403,0.567567568,0.796153846,0.630630631,0.614457831,0.461538462,0.833333333,0.327272727,0.485915493,0.642599278,0.588652482
3,,Unfavorable,184,61,123,34,33,11,58,48,11,29,36,35,33,20,65,85,34,52,57,41,25,130,22,18,76,21,5,0,45,89,70,25
3,,, 0.262 ,0.188854489,0.330645161,0.314814815,0.222972973,0.255813953,0.233870968,0.326530612,0.333333333,0.271028037,0.21686747,0.339805825,0.282051282,0.198019802,0.171957672,0.400943396,0.300884956,0.344370861,0.325714286,0.200980392,0.186567164,0.436241611,0.297297297,0.069230769,0.228228228,0.253012048,0.384615385,0,0.409090909,0.313380282,0.252707581,0.177304965
