qnum,Question,Responses,Total,Male,Female,High School or less,Some college,College Graduate,Graduate Study,"Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other race,18-29,30-44,45-64,65+,Republican,Democrat,Independent
0,"Do you strongly approve, somewhat approve, somewhat disapprove, or strongly disapprove of the way Donald Trump is handling his job as president?",Strongly approve,355,196,159,121,134,72,29,20,35,55,67,80,42,323,18,14,39,59,160,95,316,12,22
0,,,0.347,0.411,0.290,0.358,0.415,0.314,0.216,0.250,0.223,0.314,0.390,0.497,0.290,0.514,0.054,0.230,0.174,0.230,0.476,0.480,0.685,0.030,0.162
0,,Somewhat approve,171,100,71,75,40,38,17,7,17,30,38,22,36,136,25,10,52,56,44,18,111,21,36
0,,,0.167,0.210,0.130,0.222,0.124,0.166,0.127,0.088,0.108,0.171,0.221,0.137,0.248,0.216,0.075,0.164,0.232,0.218,0.131,0.091,0.241,0.053,0.265
0,,Somewhat disapprove,64,32,32,27,20,12,6,8,10,14,8,8,8,25,33,6,9,29,14,12,8,42,11
0,,,0.062,0.067,0.058,0.080,0.062,0.052,0.045,0.100,0.064,0.080,0.047,0.050,0.055,0.040,0.099,0.098,0.040,0.113,0.042,0.061,0.017,0.105,0.081
0,,Strongly disapprove,426,144,282,111,129,104,81,43,95,76,57,50,57,142,257,27,122,111,116,71,23,322,65
0,,,0.416,0.302,0.515,0.328,0.399,0.454,0.604,0.538,0.605,0.434,0.331,0.311,0.393,0.226,0.767,0.443,0.545,0.432,0.345,0.359,0.050,0.807,0.478
0,,Don't know,9,5,4,4,0,3,1,2,0,0,2,1,2,3,2,4,2,2,2,2,3,2,2
0,,,0.009,0.010,0.007,0.012,0.000,0.013,0.007,0.025,0.000,0.000,0.012,0.006,0.014,0.005,0.006,0.066,0.009,0.008,0.006,0.010,0.007,0.005,0.015
1,"Do you strongly approve, somewhat approve, somewhat disapprove, or strongly disapprove of the way Brian Kemp is handling his job as governor?",Strongly approve,241,134,107,82,89,46,24,14,22,38,41,44,35,193,37,12,38,44,98,60,195,25,17
1,,,0.235,0.280,0.195,0.242,0.276,0.200,0.179,0.177,0.140,0.217,0.237,0.273,0.245,0.306,0.111,0.197,0.168,0.171,0.293,0.303,0.424,0.063,0.125
1,,Somewhat approve,366,172,195,138,103,87,38,24,55,73,55,67,57,265,80,21,63,111,120,69,195,116,47
1,,,0.357,0.360,0.356,0.407,0.319,0.378,0.284,0.304,0.350,0.417,0.318,0.416,0.399,0.421,0.240,0.344,0.279,0.430,0.358,0.348,0.424,0.291,0.346
1,,Somewhat disapprove,174,79,95,54,51,37,32,10,48,20,34,23,25,72,93,9,57,37,50,28,29,112,30
