qnum,Question,Responses,Total,Male,Female,High School or less,Some college,College graduate,"Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other race,18-29,30-44,45-64,65+,Liberal,Moderate,Conservative,Republican,Democrat,Independent
0,Do you approve of the way Donald Trump handled his job as president?,Strongly approve,247.58,132.00,115.00,101.00,90.00,56.00,23.00,30.00,56.00,38.00,33.00,41.00,222.00,6.00,19.00,44.00,40.00,97.00,61.00,14.00,23.00,202.00,209.00,1.00,31.00
0,,,0.29,0.33,0.25,0.36,0.33,0.19,0.26,0.21,0.31,0.29,0.30,0.30,0.44,0.02,0.25,0.23,0.18,0.36,0.37,0.06,0.11,0.54,0.66,0.00,0.30
0,,Somewhat approve,97.04,67.00,30.00,28.00,41.00,28.00,7.00,16.00,20.00,12.00,12.00,24.00,80.00,8.00,8.00,26.00,28.00,30.00,12.00,3.00,29.00,62.00,59.00,0.00,19.00
0,,,0.11,0.17,0.07,0.10,0.15,0.09,0.08,0.11,0.11,0.09,0.11,0.18,0.16,0.03,0.11,0.14,0.13,0.11,0.07,0.01,0.14,0.17,0.19,0.00,0.19
0,,Somewhat disapprove,77.62,36.00,41.00,28.00,14.00,35.00,7.00,20.00,20.00,10.00,7.00,8.00,41.00,31.00,6.00,41.00,13.00,12.00,11.00,17.00,32.00,28.00,20.00,34.00,10.00
0,,,0.09,0.09,0.09,0.10,0.05,0.12,0.08,0.14,0.11,0.08,0.06,0.06,0.08,0.11,0.08,0.21,0.06,0.05,0.07,0.07,0.15,0.08,0.06,0.09,0.10
0,,Strongly disapprove,410.76,158.00,253.00,113.00,118.00,177.00,47.00,72.00,81.00,70.00,57.00,59.00,146.00,226.00,39.00,79.00,124.00,121.00,81.00,197.00,116.00,69.00,28.00,337.00,36.00
0,,,0.48,0.40,0.55,0.40,0.44,0.59,0.54,0.50,0.45,0.53,0.52,0.43,0.29,0.82,0.51,0.41,0.57,0.45,0.49,0.84,0.56,0.19,0.09,0.88,0.35
0,,Don't know,25.00,7.00,18.00,13.00,7.00,3.00,3.00,7.00,2.00,3.00,0.00,4.00,15.00,6.00,4.00,1.00,14.00,6.00,0.00,4.00,9.00,10.00,2.00,12.00,6.00
0,,,0.03,0.02,0.04,0.05,0.03,0.01,0.03,0.05,0.01,0.02,0.00,0.03,0.03,0.02,0.05,0.01,0.06,0.02,0.00,0.02,0.04,0.03,0.01,0.03,0.06
1,Do you approve of the way Brian Kemp is handling his job as governor?,Strongly approve,90.06,44.00,46.00,41.00,27.00,22.00,10.00,13.00,16.00,12.00,19.00,12.00,57.00,24.00,10.00,6.00,28.00,36.00,18.00,8.00,18.00,62.00,62.00,18.00,8.00
1,,,0.10,0.11,0.10,0.14,0.10,0.07,0.11,0.09,0.09,0.09,0.17,0.09,0.11,0.09,0.13,0.03,0.13,0.14,0.11,0.03,0.09,0.17,0.20,0.05,0.08
1,,Somewhat approve,271.15,129.00,142.00,102.00,81.00,87.00,30.00,29.00,59.00,32.00,47.00,51.00,184.00,69.00,19.00,54.00,63.00,98.00,54.00,53.00,65.00,143.00,129.00,90.00,46.00
1,,,0.32,0.32,0.31,0.36,0.30,0.29,0.34,0.20,0.33,0.24,0.42,0.38,0.36,0.25,0.25,0.28,0.29,0.37,0.33,0.23,0.31,0.39,0.41,0.23,0.46
1,,Somewhat disapprove,189.37,88.00,101.00,55.00,64.00,70.00,20.00,40.00,51.00,27.00,12.00,30.00,111.00,66.00,13.00,56.00,39.00,53.00,36.00,59.00,46.00,76.00,56.00,104.00,16.00
1,,,0.22,0.22,0.22,0.19,0.24,0.23,0.23,0.28,0.28,0.20,0.11,0.22,0.22,0.24,0.17,0.29,0.18,0.20,0.22,0.25,0.22,0.20,0.18,0.27,0.16
1,,Strongly disapprove,249.77,116.00,134.00,61.00,83.00,103.00,16.00,44.00,45.00,53.00,32.00,39.00,122.00,99.00,28.00,60.00,74.00,69.00,42.00,104.00,57.00,72.00,58.00,154.00,27.00
1,,,0.29,0.29,0.29,0.21,0.31,0.35,0.18,0.31,0.25,0.40,0.29,0.29,0.24,0.36,0.36,0.31,0.34,0.26,0.25,0.44,0.27,0.19,0.18,0.40,0.27
1,,Don't know,57.65,24.00,33.00,25.00,15.00,16.00,11.00,18.00,8.00,10.00,1.00,3.00,31.00,20.00,7.00,15.00,14.00,10.00,15.00,10.00,23.00,18.00,12.00,18.00,4.00
1,,,0.07,0.06,0.07,0.09,0.06,0.05,0.13,0.13,0.04,0.07,0.01,0.02,0.06,0.07,0.09,0.08,0.06,0.04,0.09,0.04,0.11,0.05,0.04,0.05,0.04
2,Do you approve of the way Secretary of State Brad Raffensperger is handling his job as Secretary of State?,Strongly approve,184.93,83.00,102.00,53.00,48.00,83.00,16.00,26.00,29.00,26.00,31.00,46.00,86.00,86.00,13.00,14.00,61.00,67.00,41.00,54.00,54.00,63.00,46.00,119.00,18.00
2,,,0.22,0.21,0.22,0.19,0.18,0.28,0.18,0.18,0.16,0.19,0.28,0.34,0.17,0.31,0.17,0.07,0.28,0.25,0.25,0.23,0.26,0.17,0.14,0.31,0.18
2,,Somewhat approve,213.28,98.00,115.00,77.00,61.00,74.00,25.00,33.00,44.00,41.00,20.00,36.00,115.00,76.00,22.00,39.00,52.00,75.00,44.00,74.00,56.00,76.00,76.00,111.00,24.00
2,,,0.25,0.24,0.25,0.27,0.23,0.25,0.29,0.23,0.24,0.31,0.18,0.26,0.23,0.27,0.29,0.20,0.24,0.28,0.27,0.32,0.27,0.20,0.24,0.29,0.24
2,,Somewhat disapprove,110.85,57.00,54.00,33.00,38.00,40.00,10.00,20.00,25.00,15.00,14.00,13.00,77.00,22.00,12.00,34.00,22.00,35.00,16.00,45.00,11.00,54.00,47.00,48.00,11.00
2,,,0.13,0.14,0.12,0.12,0.14,0.13,0.11,0.14,0.14,0.11,0.13,0.10,0.15,0.08,0.16,0.18,0.10,0.13,0.10,0.19,0.05,0.15,0.15,0.13,0.11
2,,Strongly disapprove,167.07,89.00,78.00,54.00,59.00,53.00,8.00,16.00,41.00,34.00,29.00,24.00,129.00,27.00,11.00,45.00,33.00,49.00,36.00,31.00,21.00,107.00,96.00,29.00,32.00
2,,,0.19,0.22,0.17,0.19,0.22,0.18,0.09,0.11,0.23,0.25,0.26,0.18,0.26,0.10,0.14,0.24,0.15,0.18,0.22,0.13,0.10,0.29,0.30,0.08,0.31
2,,Don't know,181.87,76.00,106.00,66.00,64.00,48.00,28.00,49.00,41.00,18.00,17.00,17.00,98.00,66.00,18.00,59.00,50.00,39.00,28.00,29.00,67.00,71.00,54.00,76.00,17.00
2,,,0.21,0.19,0.23,0.23,0.24,0.16,0.32,0.34,0.23,0.13,0.15,0.13,0.19,0.24,0.24,0.31,0.23,0.15,0.17,0.12,0.32,0.19,0.17,0.20,0.17
3,Do you approve of the way the Georgia General Assembly is handling its job?,Strongly approve,76.67,40.00,37.00,30.00,22.00,24.00,19.00,11.00,11.00,14.00,8.00,10.00,22.00,48.00,7.00,10.00,24.00,25.00,16.00,28.00,18.00,27.00,22.00,47.00,5.00
3,,,0.09,0.10,0.08,0.11,0.08,0.08,0.22,0.08,0.06,0.10,0.07,0.07,0.04,0.17,0.09,0.05,0.11,0.09,0.10,0.12,0.09,0.07,0.07,0.12,0.05
3,,Somewhat approve,284.04,121.00,163.00,105.00,81.00,97.00,19.00,60.00,67.00,40.00,27.00,49.00,158.00,101.00,25.00,71.00,60.00,91.00,58.00,73.00,81.00,119.00,84.00,146.00,40.00
3,,,0.33,0.30,0.36,0.37,0.30,0.33,0.22,0.42,0.37,0.30,0.25,0.36,0.31,0.36,0.32,0.37,0.28,0.34,0.35,0.31,0.39,0.32,0.26,0.38,0.40
3,,Somewhat disapprove,166.84,86.00,81.00,46.00,53.00,67.00,15.00,22.00,31.00,33.00,27.00,27.00,113.00,42.00,12.00,57.00,35.00,46.00,22.00,59.00,36.00,71.00,78.00,65.00,22.00
3,,,0.19,0.21,0.18,0.16,0.20,0.22,0.17,0.15,0.17,0.25,0.25,0.20,0.22,0.15,0.16,0.30,0.16,0.17,0.13,0.25,0.17,0.19,0.25,0.17,0.22
3,,Strongly disapprove,148.19,71.00,78.00,51.00,55.00,42.00,12.00,20.00,28.00,30.00,20.00,24.00,95.00,35.00,19.00,12.00,42.00,55.00,37.00,22.00,26.00,86.00,76.00,45.00,19.00
3,,,0.17,0.18,0.17,0.18,0.20,0.14,0.14,0.14,0.16,0.22,0.18,0.18,0.19,0.13,0.25,0.06,0.19,0.21,0.22,0.09,0.12,0.23,0.24,0.12,0.19
