qnum,Question,Responses,Total,Male,Female,High School or less,Some college,College graduate,"Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other race,18-29,30-44,45-64,65+,Liberal,Moderate,Conservative,Republican,Democrat,Independent
0,"Do you think things in the nation are generally headed in the right direction, or do you think things are off on the wrong track?",Right direction,140.8295794,77,63,38,36,67,5,8,22,21,32,31,51,81,8,25,28,50,37,68,33,33,24,89,26
0,,,0.163755325,0.19201995,0.137554585,0.133802817,0.132352941,0.221854305,0.096153846,0.076190476,0.145695364,0.153284672,0.219178082,0.196202532,0.100591716,0.287234043,0.112676056,0.141242938,0.127272727,0.192307692,0.20441989,0.258555133,0.175531915,0.088948787,0.060759494,0.26969697,0.262626263
0,,Wrong track,596.230073,266,330,218,187,189,36,72,108,103,93,107,408,138,51,117,155,181,125,135,117,317,358,167,55
0,,,0.693290783,0.663341646,0.720524017,0.767605634,0.6875,0.625827815,0.692307692,0.685714286,0.715231788,0.751824818,0.636986301,0.67721519,0.804733728,0.489361702,0.718309859,0.661016949,0.704545455,0.696153846,0.690607735,0.513307985,0.622340426,0.854447439,0.906329114,0.506060606,0.555555556
0,,Mixed,87.99827376,42,46,12,39,37,6,20,15,7,15,18,39,42,7,31,23,23,8,45,28,14,11,54,14
0,,,0.102323574,0.104738155,0.100436681,0.042253521,0.143382353,0.122516556,0.115384615,0.19047619,0.099337748,0.051094891,0.102739726,0.113924051,0.076923077,0.14893617,0.098591549,0.175141243,0.104545455,0.088461538,0.044198895,0.171102662,0.14893617,0.037735849,0.027848101,0.163636364,0.141414141
0,,Don't know,87.99827376,16,19,16,10,9,5,5,6,6,6,2,9,21,5,4,14,6,11,15,10,7,2,20,4
0,,,0.102323574,0.039900249,0.041484716,0.056338028,0.036764706,0.029801325,0.096153846,0.047619048,0.039735099,0.04379562,0.04109589,0.012658228,0.017751479,0.074468085,0.070422535,0.02259887,0.063636364,0.023076923,0.060773481,0.057034221,0.053191489,0.018867925,0.005063291,0.060606061,0.04040404
1,"In reference to Georgia specifically, do you think things in the state are generally headed in the right direction, or do you think things are off on the wrong track?",Right direction,384.3220915,198,187,136,119,129,18,32,74,57,82,74,246,112,26,57,98,123,99,85,87,193,205,124,43
1,,,0.446886153,0.491315136,0.407407407,0.478873239,0.439114391,0.428571429,0.352941176,0.304761905,0.490066225,0.419117647,0.561643836,0.465408805,0.485207101,0.397163121,0.361111111,0.320224719,0.449541284,0.473076923,0.55,0.324427481,0.46031746,0.521621622,0.520304569,0.374622356,0.43
1,,Wrong track,288.6573679,112,177,82,86,118,17,37,50,55,40,60,136,124,29,68,74,83,51,129,52,95,86,154,36
1,,,0.335648102,0.277915633,0.385620915,0.288732394,0.317343173,0.392026578,0.333333333,0.352380952,0.331125828,0.404411765,0.273972603,0.377358491,0.268244576,0.439716312,0.402777778,0.382022472,0.339449541,0.319230769,0.283333333,0.492366412,0.275132275,0.256756757,0.218274112,0.465256798,0.36
1,,Mixed,139.2168594,70,70,46,49,43,13,24,14,22,18,21,93,35,12,39,41,35,21,38,38,61,81,39,14
1,,,0.161880069,0.17369727,0.152505447,0.161971831,0.180811808,0.142857143,0.254901961,0.228571429,0.092715232,0.161764706,0.123287671,0.132075472,0.183431953,0.124113475,0.166666667,0.219101124,0.188073394,0.134615385,0.116666667,0.145038168,0.201058201,0.164864865,0.205583756,0.117824773,0.14
1,,Don't know,47.80368121,23,25,20,17,11,3,12,13,2,6,4,32,11,5,14,5,19,9,10,12,21,22,14,7
1,,,0.055585676,0.05707196,0.054466231,0.070422535,0.062730627,0.03654485,0.058823529,0.114285714,0.086092715,0.014705882,0.04109589,0.025157233,0.063116371,0.039007092,0.069444444,0.078651685,0.02293578,0.073076923,0.05,0.038167939,0.063492063,0.056756757,0.055837563,0.042296073,0.07
2,What is the single most important issue facing Georgia today? ,Economy/jobs,197.7068285,90,108,65,66,66,11,22,35,34,36,28,140,47,10,46,43,57,49,27,34,128,135,37,21
2,,,0.229891661,0.223880597,0.234782609,0.228873239,0.243542435,0.218543046,0.203703704,0.20952381,0.230263158,0.248175182,0.248275862,0.176100629,0.276134122,0.167857143,0.14084507,0.259887006,0.196347032,0.22007722,0.267759563,0.103053435,0.180851064,0.345013477,0.342639594,0.112121212,0.212121212
2,,Taxes,36.89264534,21,16,9,20,7,7,4,8,6,3,4,21,11,5,11,9,11,5,13,7,13,21,15,1
2,,,0.042898425,0.052238806,0.034782609,0.031690141,0.073800738,0.023178808,0.12962963,0.038095238,0.052631579,0.04379562,0.020689655,0.025157233,0.041420118,0.039285714,0.070422535,0.062146893,0.04109589,0.042471042,0.027322404,0.049618321,0.037234043,0.035040431,0.053299492,0.045454545,0.01010101
2,,Public Education (K-12),83.10073782,32,51,14,20,49,2,11,13,8,21,22,49,23,11,12,28,25,15,33,22,27,34,31,14
2,,,0.096628765,0.07960199,0.110869565,0.049295775,0.073800738,0.162251656,0.037037037,0.104761905,0.085526316,0.058394161,0.144827586,0.13836478,0.096646943,0.082142857,0.154929577,0.06779661,0.127853881,0.096525097,0.081967213,0.125954198,0.117021277,0.07277628,0.086294416,0.093939394,0.141414141
2,,Transportation,16.25510282,10,7,3,4,10,1,0,2,2,3,9,10,3,2,4,2,8,3,6,2,8,7,6,3
2,,,0.018901282,0.024875622,0.015217391,0.01056338,0.014760148,0.033112583,0.018518519,0,0.013157895,0.01459854,0.020689655,0.056603774,0.019723866,0.010714286,0.028169014,0.02259887,0.00913242,0.030888031,0.016393443,0.022900763,0.010638298,0.021563342,0.017766497,0.018181818,0.03030303
2,,Crime/public safety,165.8361386,81,85,69,48,49,12,12,37,23,28,26,77,69,19,31,35,41,52,41,45,69,71,64,27
