qnum,Question,Responses,Total,Male,Female,High School or less,Some college,College graduate,"Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other race,18-29,30-44,45-64,65+,Liberal,Moderate,Conservative,Republican,Democrat,Independent
0,"All in all, do you think things in the nation are generally headed in the right direction, or do you think things are off on the wrong track?",Right direction,151.1349409,69,82,17,51,83,7,15,25,23,33,42,73,68,10,8,30,57,52,75,51,22,16,107,25
0,,,0.15008435,0.146808511,0.152700186,0.054313099,0.163987138,0.21957672,0.166666667,0.103448276,0.132275132,0.131428571,0.173684211,0.229508197,0.123728814,0.197101449,0.136986301,0.038461538,0.1171875,0.185667752,0.240740741,0.29296875,0.200787402,0.047722343,0.034188034,0.312865497,0.157232704
0,,Wrong track,744.156904,352,392,271,224,246,31,115,139,122,144,126,467,221,57,177,188,223,144,149,150,419,443,171,104
0,,,0.738984016,0.74893617,0.729981378,0.865814696,0.720257235,0.650793651,0.738095238,0.793103448,0.735449735,0.697142857,0.757894737,0.68852459,0.791525424,0.64057971,0.780821918,0.850961538,0.734375,0.726384365,0.666666667,0.58203125,0.590551181,0.908893709,0.946581197,0.5,0.65408805
0,,Mixed,44.64050791,21,24,13,11,21,3,3,14,13,3,4,22,22,1,12,12,11,8,7,33,3,2,29,12
0,,,0.044330197,0.044680851,0.044692737,0.041533546,0.035369775,0.055555556,0.071428571,0.020689655,0.074074074,0.074285714,0.015789474,0.021857923,0.037288136,0.063768116,0.01369863,0.057692308,0.046875,0.035830619,0.037037037,0.02734375,0.12992126,0.006507592,0.004273504,0.084795322,0.075471698
0,,Don't know ,67.06764718,28,39,12,25,28,1,12,11,17,10,11,28,34,5,11,26,16,12,25,20,17,7,35,18
0,,,0.066601437,0.059574468,0.072625698,0.038338658,0.080385852,0.074074074,0.023809524,0.082758621,0.058201058,0.097142857,0.052631579,0.06010929,0.047457627,0.098550725,0.068493151,0.052884615,0.1015625,0.052117264,0.055555556,0.09765625,0.078740157,0.036876356,0.014957265,0.102339181,0.113207547
1,"In reference to Georgia specifically, do you think things in the state are generally headed in the right direction, or do you think things are off on the wrong track?",Right direction,381.1848464,188,193,92,120,167,11,38,64,74,82,87,242,119,20,59,92,129,89,82,110,185,198,111,60
1,,,0.378535101,0.400852878,0.359404097,0.292993631,0.38585209,0.440633245,0.255813953,0.262068966,0.338624339,0.422857143,0.433862434,0.478021978,0.410865874,0.345930233,0.277777778,0.283653846,0.359375,0.42019544,0.412037037,0.321568627,0.434782609,0.402173913,0.42217484,0.324561404,0.377358491
1,,Wrong track,433.3139374,189,244,149,135,149,24,66,97,68,69,68,227,171,35,112,111,129,79,138,87,180,180,152,87
1,,,0.430301825,0.402985075,0.454376164,0.474522293,0.434083601,0.393139842,0.558139535,0.455172414,0.513227513,0.388571429,0.365079365,0.373626374,0.385398981,0.497093023,0.486111111,0.538461538,0.43359375,0.42019544,0.365740741,0.541176471,0.343873518,0.391304348,0.383795309,0.444444444,0.547169811
1,,Mixed,92.55706393,45,47,31,26,36,3,18,14,20,21,14,64,18,10,25,17,30,17,17,30,44,43,39,7
1,,,0.091913668,0.095948827,0.087523277,0.098726115,0.083601286,0.094986807,0.069767442,0.124137931,0.074074074,0.114285714,0.111111111,0.076923077,0.108658744,0.052325581,0.138888889,0.120192308,0.06640625,0.09771987,0.078703704,0.066666667,0.118577075,0.095652174,0.091684435,0.114035088,0.044025157
1,,Don't know ,99.94415227,47,53,42,30,27,5,23,14,13,17,13,56,36,7,12,36,19,31,18,26,51,48,40,5
1,,,0.099249406,0.10021322,0.098696462,0.133757962,0.096463023,0.071240106,0.11627907,0.15862069,0.074074074,0.074285714,0.08994709,0.071428571,0.095076401,0.104651163,0.097222222,0.057692308,0.140625,0.061889251,0.143518519,0.070588235,0.102766798,0.110869565,0.102345416,0.116959064,0.031446541
2,"As you think about the next 12 months, do you expect the strength of the U.S. economy to be better or worse as compared to the way you see it now? ",Better,358.3886513,165,193,100,96,162,12,46,49,68,75,80,190,152,17,68,70,128,82,111,119,112,105,188,53
2,,,0.35589737,0.35106383,0.359404097,0.318471338,0.308681672,0.427440633,0.279069767,0.319444444,0.260638298,0.386363636,0.396825397,0.43956044,0.322033898,0.441860465,0.232876712,0.326923077,0.2734375,0.415584416,0.381395349,0.437007874,0.468503937,0.244008715,0.223880597,0.549707602,0.335443038
2,,Worse,522.9519563,233,290,163,183,174,27,72,114,88,94,83,316,157,50,105,155,149,107,122,107,277,287,131,85
2,,,0.519316739,0.495744681,0.540037244,0.51910828,0.588424437,0.459102902,0.627906977,0.5,0.606382979,0.5,0.497354497,0.456043956,0.53559322,0.456395349,0.684931507,0.504807692,0.60546875,0.483766234,0.497674419,0.480314961,0.421259843,0.603485839,0.611940299,0.383040936,0.537974684
2,,Same,34.89574202,22,13,8,10,17,0,2,5,7,9,8,27,6,2,4,10,10,10,9,8,17,17,10,5
2,,,0.03465317,0.046808511,0.024208566,0.025477707,0.032154341,0.044854881,0,0.013888889,0.026595745,0.039772727,0.047619048,0.043956044,0.045762712,0.01744186,0.02739726,0.019230769,0.0390625,0.032467532,0.046511628,0.035433071,0.031496063,0.037037037,0.036247335,0.029239766,0.03164557
2,,Don't know ,90.76365031,50,41,43,22,26,4,24,20,13,11,11,57,29,4,31,21,21,16,12,20,53,60,13,15
