qnum,Question,Responses,Total,Male,Female,High School or less,Some college,College graduate,"Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other race,18-29,30-44,45-64,65+,Liberal,Moderate,Conservative,Democrat,Republican,Independent
0,"If the election for governor were being held today, and the candidates were Republican Brian Kemp, Democrat Stacey Abrams, Libertarian Shane Hazel and Independent Al Bartel, for whom would you vote?",Brian Kemp,433.9558784,230,204,192,121,120,27,45,60,80,81,77,385,25,24,39,90,168,120,6,139,279,11,382,26
0,,,0.481104078,0.572139303,0.408,0.635761589,0.423076923,0.38585209,0.421875,0.36,0.41958042,0.655737705,0.512658228,0.455621302,0.673076923,0.09469697,0.358208955,0.291044776,0.426540284,0.54368932,0.535714286,0.036809816,0.390449438,0.830357143,0.028720627,0.93398533,0.329113924
0,,Stacey Abrams,388.9606701,134,255,85,143,160,31,67,70,39,63,76,149,211,30,81,94,123,85,150,185,34,348,7,24
0,,,0.431220255,0.333333333,0.51,0.281456954,0.5,0.514469453,0.484375,0.536,0.48951049,0.319672131,0.398734177,0.449704142,0.26048951,0.799242424,0.447761194,0.604477612,0.44549763,0.398058252,0.379464286,0.920245399,0.519662921,0.101190476,0.908616188,0.017114914,0.303797468
0,,Shane Hazel,6.128452352,5,1,0,4,2,1,0,3,0,0,2,6,0,0,3,2,1,0,4,1,2,0,1,6
0,,,0.006794293,0.012437811,0.002,0,0.013986014,0.006430868,0.015625,0,0.020979021,0,0,0.01183432,0.01048951,0,0,0.02238806,0.009478673,0.003236246,0,0.024539877,0.002808989,0.005952381,0,0.002444988,0.075949367
0,,Al Bartel ,8.075793061,0,8,6,1,1,1,0,1,0,0,1,0,7,1,0,6,1,0,0,1,1,7,1,1
0,,,0.008953207,0,0.016,0.01986755,0.003496503,0.003215434,0.015625,0,0.006993007,0,0,0.00591716,0,0.026515152,0.014925373,0,0.028436019,0.003236246,0,0,0.002808989,0.00297619,0.018276762,0.002444988,0.012658228
0,,Don't know,64.87920615,33,32,19,17,28,4,13,9,3,14,13,32,21,12,11,19,16,19,3,30,20,17,18,22
0,,,0.071928166,0.082089552,0.064,0.062913907,0.059440559,0.090032154,0.0625,0.104,0.062937063,0.024590164,0.088607595,0.076923077,0.055944056,0.079545455,0.179104478,0.082089552,0.090047393,0.051779935,0.084821429,0.018404908,0.084269663,0.05952381,0.044386423,0.04400978,0.278481013
1,"If the election for U.S. Senate were being held today, and the candidates were Republican Herschel Walker, Democrat Raphael Warnock and Libertarian Chase Oliver, for whom would you vote?",Herschel Walker,383.7760967,206,178,166,117,99,25,40,56,67,77,70,334,24,26,32,85,151,103,5,95,275,11,338,21
1,,,0.425472391,0.512437811,0.355289421,0.547854785,0.409090909,0.319354839,0.390625,0.322580645,0.394366197,0.549180328,0.487341772,0.411764706,0.582897033,0.091254753,0.388059701,0.23880597,0.402843602,0.49025974,0.457777778,0.030674847,0.267605634,0.820895522,0.028795812,0.828431373,0.265822785
1,,Raphael Warnock,415.5488763,141,275,99,139,177,30,73,73,41,65,84,162,223,31,74,105,133,96,147,207,33,358,11,30
