qnum,Question,Responses,Total,   Male,   Female,   Democrat,   Republican,   Independent,   White,   Non-white,   18-39,   40-64,   65+, White Protestant Evangelical,   <$50K,   $50K-<$100K,   $100K+,   Less than college,  College graduate,
0,"If the special election for the U.S. House of Representatives were being held today and the candidates were  Jon Ossoff, the Democrat and Karen Handel, the Republican, for whom would you vote, lean toward or have voted for?",Jon Ossoff,378,146,232,209,26,125,248,119,77,233,63,13,55,79,201,57,321,
0,,,0.51,0.41,0.60,0.96,0.13,0.50,0.44,0.78,0.61,0.51,0.41,0.13,0.61,0.49,0.53,0.43,0.53,
0,,Karen Handel,327,185,141,6,174,109,295,20,47,199,78,85,30,73,168,65,261,
0,,,0.44,0.52,0.36,0.03,0.85,0.44,0.52,0.13,0.37,0.44,0.51,0.84,0.33,0.46,0.44,0.49,0.43,
0,,Other candidate,1,1,-,-,-,1,1,-,-,1,-,-,-,-,1,-,1,
0,,,* ,* ,- ,- ,- ,0.01,* ,- ,- ,* ,- ,- ,- ,- ,* ,- ,* ,
0,,Don't know/no answer,34,20,14,2,4,11,16,13,3,18,10,1,5,8,4,10,24,
0,,,0.05,0.06,0.04,0.01,0.02,0.04,0.03,0.08,0.02,0.04,0.07,0.01,0.06,0.05,0.01,0.08,0.04,
1,"Will Jon Ossoff's residence outside of the 6th Congressional District borders be a major factor in your vote, a minor factor or not a factor?",Major factor,235,126,109,13,120,80,205,22,19,148,67,58,21,50,113,56,179,
1,,,0.32,0.35,0.28,0.06,0.58,0.32,0.36,0.14,0.15,0.33,0.44,0.58,0.24,0.31,0.3,0.42,0.29,
1,,Minor factor,139,77,62,31,51,47,113,22,34,82,21,27,20,30,70,28,111,
1,,,0.19,0.22,0.16,0.14,0.25,0.19,0.2,0.14,0.27,0.18,0.14,0.27,0.22,0.19,0.19,0.21,0.18,
1,,Not a factor,365,151,214,173,35,120,242,107,73,222,64,16,48,76,194,47,318,
1,,,0.49,0.42,0.55,0.8,0.17,0.48,0.43,0.7,0.57,0.49,0.41,0.15,0.54,0.47,0.51,0.35,0.52,
1,,Don't know/no answer,7,3,4,-,-,3,3,2,2,3,2,-,*,4,-,3,3,
1,,,0.01,0.01,0.01,- ,- ,0.01,0.01,0.01,0.01,0.01,0.01,- ,* ,0.02,- ,0.02,0.01,
2,"Will Karen Handel's lack of a college degree be a major factor in your vote, a minor factor or not a factor?",Major factor,84,36,48,42,4,32,58,19,19,44,20,4,7,12,53,14,70,
2,,,0.11,0.1,0.12,0.19,0.02,0.13,0.1,0.12,0.15,0.1,0.13,0.04,0.07,0.07,0.14,0.1,0.11,
2,,Minor factor,159,79,81,47,39,57,115,40,28,110,19,16,17,40,77,21,139,
2,,,0.21,0.22,0.21,0.22,0.19,0.23,0.2,0.27,0.22,0.24,0.12,0.16,0.19,0.25,0.2,0.15,0.23,
2,,Not a factor,492,239,253,125,160,158,387,87,79,297,111,79,65,104,246,98,394,
2,,,0.66,0.67,0.65,0.58,0.78,0.63,0.69,0.57,0.62,0.65,0.72,0.79,0.73,0.65,0.65,0.73,0.64,
2,,Don't know/no answer,11,4,7,3,1,2,3,6,2,4,3,1,1,4,2,2,9,
2,,,0.01,0.01,0.02,0.01,0.01,0.01,* ,0.04,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0.01,
3,"Will one reason for your vote for congress be to express support for President Trump, opposition to President Trump, or is President Trump not a factor in your choice?",Support for Trump,107,53,54,3,72,27,96,8,7,60,40,31,12,30,44,26,82,
3,,,0.14,0.15,0.14,0.01,0.35,0.11,0.17,0.05,0.06,0.13,0.26,0.31,0.13,0.19,0.12,0.19,0.13,
3,,Opposition to Trump,291,111,180,167,20,92,191,90,54,179,55,11,45,54,159,45,246,
3,,,0.39,0.31,0.46,0.77,0.1,0.37,0.34,0.59,0.43,0.39,0.36,0.11,0.5,0.34,0.42,0.33,0.4,
3,,Trump not a factor,339,189,150,45,112,129,271,52,66,212,57,58,32,75,171,64,275,
3,,,0.45,0.53,0.38,0.21,0.55,0.52,0.48,0.34,0.51,0.47,0.37,0.57,0.36,0.47,0.45,0.48,0.45,
3,,Don't know/no answer,9,3,5,2,2,1,4,2,-,5,2,*,*,*,3,-,9,
3,,,0.01,0.01,0.01,0.01,0.01,* ,0.01,0.01,- ,0.01,0.01,* ,* ,* ,0.01,- ,0.01,
4,"If a candidate for U.S. congress has experience in public elected office, would that make you more likely to support that candidate,  more likely to oppose that candidate or wouldn't it make much difference in your vote?",More likely to support,181,96,85,43,77,48,141,36,40,98,41,31,23,35,97,44,136,
4,,,0.24,0.27,0.22,0.2,0.37,0.19,0.25,0.24,0.31,0.22,0.27,0.31,0.26,0.22,0.26,0.33,0.22,
4,,More likely to oppose,27,13,15,5,6,10,20,6,7,14,6,1,6,7,13,5,23,
4,,,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.05,0.03,0.04,0.01,0.06,0.04,0.03,0.04,0.04,
4,,Wouldn't make much difference,527,241,286,166,121,188,394,110,81,338,101,66,58,115,267,84,443,
4,,,0.71,0.68,0.74,0.77,0.59,0.75,0.7,0.72,0.63,0.74,0.66,0.66,0.65,0.72,0.71,0.63,0.72,
4,,Don't know/no answer,10,7,3,3,2,3,8,-,-,5,5,2,2,3,1,1,9,
4,,,0.01,0.02,0.01,0.01,0.01,0.01,0.01,- ,- ,0.01,0.03,0.02,0.03,0.02,* ,0.01,0.01,
5,How important will the issue of healthcare be in your vote?,Very important,605,264,342,203,155,190,438,143,100,371,127,72,76,139,293,112,494,
5,,,0.81,0.74,0.88,0.94,0.76,0.76,0.78,0.94,0.78,0.81,0.83,0.72,0.85,0.87,0.78,0.83,0.81,
5,,Less important,137,92,45,13,48,58,123,10,28,84,25,28,13,20,84,22,115,
5,,,0.18,0.26,0.12,0.06,0.24,0.23,0.22,0.06,0.22,0.18,0.16,0.28,0.15,0.13,0.22,0.16,0.19,
5,,Don't know/no answer,3,1,2,-,1,1,2,-,-,1,2,1,-,1,1,1,2,-
5,,,* ,* ,* ,- ,0.01,* ,* ,- ,- ,* ,0.01,0.01,- ,0.01,* ,0.01,* ,- 
6,How important will the issue of taxes be in your vote?,Very important,502,229,272,117,164,163,363,115,87,310,99,81,62,106,249,96,406,
6,,,0.67,0.64,0.7,0.54,0.8,0.66,0.65,0.75,0.68,0.68,0.65,0.81,0.69,0.66,0.66,0.72,0.66,
6,,Less important,239,125,115,100,41,84,197,37,40,143,53,19,26,54,128,38,201,
6,,,0.32,0.35,0.3,0.46,0.2,0.34,0.35,0.24,0.31,0.31,0.35,0.19,0.29,0.34,0.34,0.28,0.33,
6,,Don't know/no answer,4,3,2,*,1,2,3,*,*,3,1,-,2,-,1,-,4,
6,,,0.01,0.01,* ,* ,* ,0.01,* ,* ,* ,0.01,0.01,- ,0.02,- ,* ,- ,0.01,
7,how important will the issue of traffic and transportation be in your vote?,Very important,341,148,193,110,84,119,233,90,51,203,83,44,42,72,169,63,278,
7,,,0.46,0.42,0.5,0.51,0.41,0.48,0.41,0.59,0.4,0.45,0.54,0.44,0.47,0.45,0.45,0.47,0.45,
7,,Less important,399,206,193,106,118,129,325,62,76,248,69,57,47,87,205,71,328,
7,,,0.53,0.58,0.5,0.49,0.57,0.52,0.58,0.41,0.6,0.54,0.45,0.56,0.53,0.54,0.54,0.53,0.54,
7,,Don't know/no answer,6,3,3,-,3,2,5,-,-,4,1,-,-,1,4,*,5,
7,,,0.01,0.01,0.01,- ,0.01,0.01,0.01,- ,- ,0.01,0.01,- ,- ,0.01,0.01,* ,0.01,
8,How important will the issue of abortion be in your vote?,Very important,347,147,200,136,88,88,264,78,66,200,79,52,46,76,179,72,275,
8,,,0.47,0.41,0.51,0.63,0.43,0.35,0.47,0.51,0.52,0.44,0.52,0.51,0.51,0.47,0.47,0.54,0.45,
8,,Less important,384,201,183,77,113,158,288,73,58,250,70,48,42,82,192,59,325,
8,,,0.52,0.56,0.47,0.35,0.55,0.63,0.51,0.48,0.45,0.55,0.46,0.48,0.47,0.51,0.51,0.44,0.53,
8,,Don't know/no answer,15,8,6,4,3,3,11,2,4,6,4,1,2,3,6,3,11,
8,,,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.03,0.01,0.03,0.01,0.02,0.02,0.02,0.03,0.02,
9,How important will the issue of government spending be in your vote?,Very important,520,241,279,130,154,178,386,111,96,313,108,76,59,111,266,95,425,
9,,,0.7,0.68,0.72,0.6,0.75,0.71,0.69,0.73,0.75,0.69,0.7,0.75,0.66,0.7,0.7,0.71,0.7,
9,,Less important,220,112,109,87,50,70,173,42,32,139,45,25,29,48,111,39,181,
9,,,0.3,0.31,0.28,0.4,0.24,0.28,0.31,0.27,0.25,0.3,0.29,0.25,0.32,0.3,0.29,0.29,0.3,
9,,Don't know/no answer,5,4,1,-,1,2,3,-,-,4,1,-,2,-,1,-,5,
9,,,0.01,0.01,* ,- ,* ,0.01,* ,- ,- ,0.01,0.01,- ,0.02,- ,* ,- ,0.01,
