qnum,Question,Responses,Total,Male,Female,High School or less,Some college,College Graduate,Graduate Study,"Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other race,18-29,30-44,45-64,65+,Republican,Democrat,Independent
0,Which candidate have you voted for or are planning to vote for in Georgia's Democratic presidential primary election?,Joe Biden,532.00,196.00,335.00,196.00,91.00,151.00,91.00,55.00,98.00,99.00,59.00,85.00,61.00,157.00,358.00,16.00,31.00,94.00,244.00,152.00,9.00,499.00,19.00
0,,,0.66,0.65,0.66,0.75,0.57,0.63,0.65,0.68,0.70,0.62,0.66,0.68,0.62,0.58,0.71,0.53,0.34,0.51,0.77,0.78,0.36,0.69,0.43
0,,Bernie Sanders,174.00,78.00,96.00,34.00,50.00,54.00,35.00,15.00,26.00,45.00,14.00,33.00,25.00,86.00,79.00,9.00,53.00,69.00,29.00,19.00,9.00,154.00,9.00
0,,,0.22,0.26,0.19,0.13,0.31,0.22,0.25,0.19,0.19,0.28,0.16,0.26,0.25,0.32,0.16,0.30,0.58,0.38,0.09,0.10,0.36,0.21,0.21
0,,Tulsi Gabbard,7.00,3.00,4.00,3.00,1.00,3.00,1.00,0.00,0.00,3.00,2.00,1.00,1.00,6.00,1.00,0.00,0.00,1.00,5.00,1.00,3.00,1.00,3.00
0,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.02,0.02,0.01,0.01,0.02,0.00,0.00,0.00,0.01,0.02,0.01,0.12,0.00,0.07
0,,Other,2.00,1.00,1.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,2.00,0.00
0,,,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00
0,,Undecided,92.00,22.00,70.00,29.00,17.00,33.00,14.00,11.00,14.00,13.00,14.00,6.00,12.00,20.00,67.00,5.00,7.00,20.00,38.00,22.00,4.00,67.00,13.00
0,,,0.12,0.07,0.14,0.11,0.11,0.14,0.10,0.14,0.10,0.08,0.16,0.05,0.12,0.07,0.13,0.17,0.08,0.11,0.12,0.11,0.16,0.09,0.30
1,"The state Democratic primary election in May will decide which candidate will challenge Republican Senator David Perdue. If the election were held today, for whom would you vote? ",Teresa Tomlinson,120.00,39.00,81.00,38.00,29.00,28.00,25.00,7.00,33.00,25.00,13.00,20.00,12.00,36.00,80.00,3.00,10.00,43.00,41.00,24.00,3.00,110.00,7.00
1,,,0.15,0.14,0.17,0.16,0.19,0.12,0.18,0.09,0.26,0.17,0.15,0.16,0.13,0.14,0.17,0.10,0.14,0.25,0.13,0.13,0.17,0.16,0.16
1,,Jon Ossoff,236.00,92.00,144.00,54.00,46.00,85.00,50.00,18.00,33.00,52.00,24.00,42.00,46.00,107.00,120.00,8.00,24.00,50.00,105.00,54.00,6.00,216.00,9.00
1,,,0.29,0.33,0.30,0.23,0.31,0.37,0.36,0.22,0.26,0.36,0.27,0.34,0.49,0.42,0.26,0.28,0.34,0.29,0.34,0.28,0.33,0.32,0.21
1,,Sarah Riggs Amico,110.00,55.00,55.00,48.00,16.00,26.00,21.00,17.00,29.00,19.00,16.00,14.00,12.00,33.00,73.00,4.00,22.00,35.00,37.00,15.00,1.00,103.00,7.00
1,,,0.14,0.20,0.11,0.20,0.11,0.11,0.15,0.21,0.23,0.13,0.18,0.11,0.13,0.13,0.16,0.14,0.31,0.20,0.12,0.08,0.06,0.15,0.16
1,,Undecided,294.00,92.00,202.00,97.00,59.00,94.00,43.00,39.00,34.00,50.00,35.00,48.00,24.00,82.00,198.00,14.00,15.00,47.00,124.00,98.00,8.00,257.00,20.00
1,,,0.37,0.33,0.42,0.41,0.39,0.40,0.31,0.48,0.26,0.34,0.40,0.39,0.26,0.32,0.42,0.48,0.21,0.27,0.40,0.51,0.44,0.38,0.47
2,"Related to the Democratic presidential nominee, which is more important to you personally?",Strong chance of beating Trump,459.00,175.00,284.00,155.00,75.00,138.00,89.00,47.00,77.00,88.00,55.00,73.00,66.00,170.00,272.00,17.00,26.00,99.00,189.00,136.00,11.00,426.00,17.00
2,,,0.57,0.58,0.56,0.59,0.47,0.58,0.63,0.58,0.55,0.55,0.62,0.58,0.67,0.63,0.54,0.55,0.29,0.54,0.60,0.70,0.42,0.59,0.40
