qnum,Question,Responses,Total,Male,Female,High School or less,Some college,College graduate,"Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other race,18-29,30-44,45-64,65+,Liberal,Moderate,Conservative,Republican,Democrat,Independent
0,"Do you strongly approve, somewhat approve, somewhat disapprove, or strongly disapprove of the way the Joe Biden is handling his job as president?",Strongly approve,234.2059642,102,132,72,58,103,24,47,40,30,36,27,68,148,18,26,75,68,58,113,73,37,5,205,16
0,,        ,0.277495218,0.258883249,0.293986637,0.257142857,0.218045113,0.350340136,0.393442623,0.348148148,0.25477707,0.198675497,0.302521008,0.245454545,0.136820926,0.544117647,0.24,0.152046784,0.334821429,0.26459144,0.335260116,0.518348624,0.374358974,0.094147583,0.014792899,0.56010929,0.146788991
0,,Somewhat approve,196.1050052,82,114,55,75,66,10,38,39,43,20,22,81,90,25,79,69,34,13,82,57,49,25,133,34
0,,,0.232351902,0.208121827,0.25389755,0.196428571,0.281954887,0.224489796,0.163934426,0.281481481,0.248407643,0.284768212,0.168067227,0.2,0.162977867,0.330882353,0.333333333,0.461988304,0.308035714,0.13229572,0.075144509,0.376146789,0.292307692,0.124681934,0.073964497,0.363387978,0.311926606
0,,Somewhat disapprove,71.66959303,36,35,16,29,27,1,8,5,27,16,9,48,14,10,22,21,18,10,10,16,39,41,10,15
0,,,0.084916579,0.091370558,0.077951002,0.057142857,0.109022556,0.091836735,0.016393443,0.059259259,0.031847134,0.178807947,0.134453782,0.081818182,0.096579477,0.051470588,0.133333333,0.128654971,0.09375,0.070038911,0.057803468,0.04587156,0.082051282,0.099236641,0.121301775,0.027322404,0.137614679
0,,Strongly disapprove,310.0294397,159,151,129,93,85,24,35,65,49,44,50,286,9,15,38,46,130,89,7,33,260,263,8,30
0,,,0.367333459,0.403553299,0.336302895,0.460714286,0.34962406,0.289115646,0.393442623,0.259259259,0.414012739,0.324503311,0.369747899,0.454545455,0.575452716,0.033088235,0.2,0.222222222,0.205357143,0.505836576,0.514450867,0.032110092,0.169230769,0.661577608,0.778106509,0.021857923,0.275229358
0,,Don't know,31.98999788,15,17,8,11,13,2,7,8,2,3,2,14,11,7,6,13,7,3,6,16,8,4,10,14
0,,,0.037902841,0.038071066,0.037861915,0.028571429,0.041353383,0.044217687,0.032786885,0.051851852,0.050955414,0.013245033,0.025210084,0.018181818,0.028169014,0.040441176,0.093333333,0.035087719,0.058035714,0.027237354,0.01734104,0.027522936,0.082051282,0.020356234,0.01183432,0.027322404,0.128440367
1,Do you approve or disapprove of the way Joe Biden is handling the coronavirus pandemic?,Strongly approve,334.1503499,149,185,84,103,145,32,66,56,53,45,46,126,174,34,71,97,89,68,166,102,56,19,269,39
1,,        ,0.395912737,0.37721519,0.412026726,0.301075269,0.387218045,0.493197279,0.516129032,0.488888889,0.356687898,0.355704698,0.378151261,0.414414414,0.254545455,0.637362637,0.459459459,0.412790698,0.434977578,0.346303502,0.395348837,0.764976959,0.520408163,0.142857143,0.055882353,0.732970027,0.361111111
1,,Somewhat approve,179.7329764,78,102,78,45,56,13,26,25,40,25,22,98,61,20,50,59,45,24,39,46,84,73,77,25
1,,,0.212953763,0.197468354,0.227171492,0.279569892,0.169172932,0.19047619,0.209677419,0.192592593,0.159235669,0.268456376,0.210084034,0.198198198,0.197979798,0.223443223,0.27027027,0.290697674,0.264573991,0.175097276,0.139534884,0.179723502,0.234693878,0.214285714,0.214705882,0.209809264,0.231481481
1,,Somewhat disapprove,80.30497012,38,42,27,29,25,6,14,16,15,11,13,67,9,4,11,15,33,21,1,15,64,65,7,6
1,,,0.095148069,0.096202532,0.093541203,0.096774194,0.109022556,0.085034014,0.096774194,0.103703704,0.101910828,0.100671141,0.092436975,0.117117117,0.135353535,0.032967033,0.054054054,0.063953488,0.067264574,0.128404669,0.122093023,0.004608295,0.076530612,0.163265306,0.191176471,0.019073569,0.055555556
1,,Strongly disapprove,204.6535863,104,100,73,75,54,11,19,52,38,32,24,174,19,11,40,31,75,53,8,17,167,168,5,22
1,,,0.242480552,0.263291139,0.222717149,0.261648746,0.281954887,0.183673469,0.177419355,0.140740741,0.331210191,0.255033557,0.268907563,0.216216216,0.351515152,0.06959707,0.148648649,0.23255814,0.139013453,0.291828794,0.308139535,0.036866359,0.086734694,0.426020408,0.494117647,0.013623978,0.203703704
1,,Don't know,45.15811732,26,20,17,14,14,0,10,8,3,6,6,30,10,5,0,21,15,6,3,16,21,15,9,16
1,,,0.053504878,0.065822785,0.04454343,0.0609319,0.052631579,0.047619048,0,0.074074074,0.050955414,0.020134228,0.050420168,0.054054054,0.060606061,0.036630037,0.067567568,0,0.094170404,0.058365759,0.034883721,0.013824885,0.081632653,0.053571429,0.044117647,0.024523161,0.148148148
2,Do you approve or disapprove of the way Joe Biden is handling the economy?,Strongly approve,232.5451808,90,143,69,66,97,19,54,34,30,39,27,73,145,15,37,77,64,48,114,71,38,5,200,20
2,,        ,0.275527465,0.227848101,0.318485523,0.247311828,0.249056604,0.329931973,0.31147541,0.4,0.21656051,0.201342282,0.325,0.245454545,0.146881288,0.531135531,0.2,0.215116279,0.34375,0.249027237,0.279069767,0.52293578,0.364102564,0.096692112,0.014792899,0.546448087,0.181818182
2,,Somewhat approve,176.4879331,86,90,46,58,71,15,34,35,36,16,24,78,73,25,49,66,35,23,71,58,36,34,106,33
2,,,0.209108925,0.217721519,0.200445434,0.164874552,0.218867925,0.241496599,0.245901639,0.251851852,0.222929936,0.241610738,0.133333333,0.218181818,0.15694165,0.267399267,0.333333333,0.284883721,0.294642857,0.13618677,0.13372093,0.325688073,0.297435897,0.091603053,0.100591716,0.289617486,0.3
2,,Somewhat disapprove,95.48134382,47,48,36,29,30,1,9,22,29,14,6,61,25,10,36,22,26,11,9,21,65,46,32,11
2,,,0.113129554,0.118987342,0.106904232,0.129032258,0.109433962,0.102040816,0.016393443,0.066666667,0.140127389,0.194630872,0.116666667,0.054545455,0.122736419,0.091575092,0.133333333,0.209302326,0.098214286,0.101167315,0.063953488,0.041284404,0.107692308,0.165394402,0.136094675,0.087431694,0.1
2,,Strongly disapprove,302.5565231,157,146,122,93,84,24,31,61,52,44,49,269,15,19,38,46,127,85,10,33,250,248,13,32
2,,,0.358479293,0.397468354,0.325167038,0.437275986,0.350943396,0.285714286,0.393442623,0.22962963,0.388535032,0.348993289,0.366666667,0.445454545,0.541247485,0.054945055,0.253333333,0.220930233,0.205357143,0.494163424,0.494186047,0.04587156,0.169230769,0.636132316,0.733727811,0.035519126,0.290909091
2,,Don't know,36.92901927,15,22,6,19,12,2,7,5,2,7,4,16,15,6,12,13,5,5,14,12,4,5,15,14
2,,,0.043754762,0.037974684,0.048997773,0.021505376,0.071698113,0.040816327,0.032786885,0.051851852,0.031847134,0.013422819,0.058333333,0.036363636,0.032193159,0.054945055,0.08,0.069767442,0.058035714,0.019455253,0.029069767,0.064220183,0.061538462,0.010178117,0.014792899,0.040983607,0.127272727
3,Do you approve or disapprove of the way Joe Biden is handling immigration?,Strongly approve,122.7792153,59,64,36,39,47,3,24,23,18,23,14,35,77,10,28,48,30,14,55,29,33,4,100,13
3,,        ,0.145473004,0.149367089,0.142222222,0.129032258,0.146616541,0.159863946,0.048387097,0.177777778,0.14556962,0.120805369,0.194915254,0.126126126,0.070422535,0.283088235,0.133333333,0.162790698,0.214285714,0.116731518,0.080924855,0.252293578,0.148717949,0.084398977,0.01183432,0.273972603,0.119266055
