qnum,Question,Responses,Total,Male,Female,High School or less,Some college,Vocational/Tech. School,College Graduate,Graduate Study,"$Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other,18-29,30-44,45-64,65+,Republican,Independent,Democrat
0,"If the election for governor were being held today, and the candidates were Brian Kemp, the Republican, Stacy Abrams, the Democrat, and Ted Metz, the Libertarian, for whom would you vote? ",Brian Kemp,509,265,244,79,94,36,188,107,21,61,99,88,84,83,467,14,28,25,83,207,170,469,29,2
0,,,0.467,0.545,0.405,0.617,0.514,0.537,0.459,0.37,0.512,0.462,0.493,0.466,0.44,0.466,0.675,0.045,0.326,0.325,0.374,0.488,0.548,0.94,0.254,0.004
0,,Stacey Abrams,512,189,322,41,79,25,195,167,17,65,88,94,101,81,189,283,40,42,126,195,120,10,61,429
0,,,0.469,0.389,0.534,0.32,0.432,0.373,0.476,0.578,0.415,0.492,0.438,0.497,0.529,0.455,0.273,0.904,0.465,0.545,0.568,0.46,0.387,0.02,0.535,0.96
0,,Ted Metz,18,10,7,3,2,2,7,3,2,2,5,1,3,3,13,2,3,2,3,8,5,5,12,1
0,,,0.016,0.021,0.012,0.023,0.011,0.03,0.017,0.01,0.049,0.015,0.025,0.005,0.016,0.017,0.019,0.006,0.035,0.026,0.014,0.019,0.016,0.01,0.105,0.002
0,,Undecided,53,22,30,5,8,4,20,12,1,4,9,6,3,11,23,14,15,8,10,14,15,15,12,15
0,,,0.048,0.045,0.05,0.039,0.044,0.06,0.049,0.042,0.024,0.03,0.045,0.032,0.016,0.062,0.033,0.045,0.174,0.104,0.045,0.033,0.048,0.03,0.105,0.034
1,"If the election for lieutenant governor were being held today, and the candidates were Geoff Duncan, the Republican and Sarah Riggs Amico, the Democrat, for whom would you vote?",Geoff Duncan,512,264,248,75,94,38,189,112,23,58,104,89,83,82,467,16,29,28,79,208,174,460,39,6
1,,,0.469,0.542,0.411,0.591,0.514,0.567,0.461,0.388,0.575,0.439,0.52,0.468,0.435,0.463,0.674,0.051,0.341,0.368,0.357,0.492,0.561,0.922,0.342,0.013
1,,Sarah Riggs Amico,489,185,304,41,79,25,185,153,14,66,81,88,97,79,182,267,40,41,117,188,112,14,53,409
1,,,0.448,0.38,0.503,0.323,0.432,0.373,0.451,0.529,0.35,0.5,0.405,0.463,0.508,0.446,0.263,0.853,0.471,0.539,0.529,0.444,0.361,0.028,0.465,0.917
1,,Undecided,90,38,52,11,10,4,36,24,3,8,15,13,11,16,44,30,16,7,25,27,24,25,22,31
1,,,0.083,0.078,0.086,0.087,0.055,0.06,0.088,0.083,0.075,0.061,0.075,0.068,0.058,0.09,0.063,0.096,0.188,0.092,0.113,0.064,0.077,0.05,0.193,0.07
2,"If the election for secretary of state were being held today, and the candidates were Brad Raffensperger, the Republican, John Barrow, the Democrat, and Smythe Duval, the Libertarian, for whom would you vote?",Brad Raffensperger,449,238,211,69,79,31,174,94,19,52,90,76,78,71,411,16,23,26,65,179,160,419,20,5
2,,,0.412,0.489,0.349,0.543,0.429,0.463,0.424,0.324,0.463,0.391,0.448,0.4,0.408,0.401,0.593,0.051,0.271,0.342,0.294,0.423,0.518,0.841,0.175,0.011
2,,John Barrow,459,169,290,39,74,28,166,148,17,63,77,83,90,70,180,250,29,29,102,182,118,22,42,384
2,,,0.421,0.347,0.48,0.307,0.402,0.418,0.405,0.51,0.415,0.474,0.383,0.437,0.471,0.395,0.26,0.799,0.341,0.382,0.462,0.43,0.382,0.044,0.368,0.859
2,,Smythe Duval,59,28,31,4,13,3,26,12,3,9,11,8,11,9,29,18,12,10,16,20,10,11,25,20
2,,,0.054,0.057,0.051,0.031,0.071,0.045,0.063,0.041,0.073,0.068,0.055,0.042,0.058,0.051,0.042,0.058,0.141,0.132,0.072,0.047,0.032,0.022,0.219,0.045
2,,Undecided,123,52,72,15,18,5,44,36,2,9,23,23,12,27,73,29,21,11,38,42,21,46,27,38
2,,,0.113,0.107,0.119,0.118,0.098,0.075,0.107,0.124,0.049,0.068,0.114,0.121,0.063,0.153,0.105,0.093,0.247,0.145,0.172,0.099,0.068,0.092,0.237,0.085
3,Do you approve or disapprove of the way Donald Trump is handling his job as president?,Approve,501,269,232,78,94,40,178,105,22,55,102,79,81,82,450,21,30,27,68,206,176,456,30,5
3,,,0.459,0.551,0.384,0.614,0.514,0.597,0.434,0.365,0.537,0.417,0.507,0.418,0.424,0.463,0.649,0.067,0.349,0.351,0.306,0.486,0.568,0.914,0.263,0.011
3,,Disapprove,546,195,351,39,82,26,220,173,18,69,93,105,101,91,219,280,47,45,144,200,128,29,70,433
3,,,0.5,0.4,0.581,0.307,0.448,0.388,0.537,0.601,0.439,0.523,0.463,0.556,0.529,0.514,0.316,0.895,0.547,0.584,0.649,0.472,0.413,0.058,0.614,0.971
3,,Don't know ,45,24,21,10,7,1,12,10,1,8,6,5,9,4,24,12,9,5,10,18,6,14,14,8
3,,,0.041,0.049,0.035,0.079,0.038,0.015,0.029,0.035,0.024,0.061,0.03,0.026,0.047,0.023,0.035,0.038,0.105,0.065,0.045,0.042,0.019,0.028,0.123,0.018
4,"Compared to past midterm elections, how important is voting to you?",Much more important,458,192,266,53,78,12,167,145,12,53,78,85,88,82,286,143,29,30,75,188,141,195,35,223
4,,,0.42,0.395,0.44,0.417,0.424,0.179,0.406,0.502,0.293,0.402,0.388,0.45,0.461,0.463,0.413,0.457,0.341,0.395,0.339,0.444,0.455,0.391,0.307,0.499
4,,More important,300,135,165,40,61,30,112,56,18,42,53,48,44,43,188,85,27,17,54,116,92,144,31,113
4,,,0.275,0.278,0.273,0.315,0.332,0.448,0.273,0.194,0.439,0.318,0.264,0.254,0.23,0.243,0.272,0.272,0.318,0.224,0.244,0.274,0.297,0.289,0.272,0.253
4,,The same ,319,153,166,32,43,24,129,87,11,35,69,56,58,52,214,79,26,27,91,115,75,158,48,104
4,,,0.293,0.315,0.274,0.252,0.234,0.358,0.314,0.301,0.268,0.265,0.343,0.296,0.304,0.294,0.309,0.252,0.306,0.355,0.412,0.272,0.242,0.317,0.421,0.233
4,,Less important,7,2,5,1,2,1,2,0,0,0,0,0,1,0,2,5,0,2,1,3,0,0,0,5
