qnum,Question,Responses,Total,Male,Female,High School or less,Some college,Vocational/Tech. School,College Graduate,Graduate Study,"$Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other race,18-29,30-44,45-64,65+,Democrat,Independent,Republican,2016 presidential vote: Trump,2016 presidential vote: Clinton,2016 presidential vote: Johnson,2016 presidential vote: other,2016 presidential vote: Did not vote
0,"Do you strongly approve, somewhat approve, somewhat disapprove, or strongly disapprove of the way
Donald Trump is handling his job as president?",Strongly approve,299.7639599,165,134,57,77,26,94,44,15,35,63,51,56,48,265,17,17,30,54,120,88,5,21,259,277,5,0,3,11
0,,,0.291707689,0.347368421,0.243194192,0.438461538,0.392857143,0.419354839,0.258241758,0.164794007,0.25,0.194444444,0.333333333,0.314814815,0.32748538,0.252631579,0.422647528,0.055016181,0.188888889,0.185185185,0.196363636,0.332409972,0.41509434,0.011764706,0.173553719,0.624096386,0.647196262,0.011210762,0,0.0625,0.189655172
0,,Somewhat approve,156.8544708,82,74,16,26,10,71,34,4,39,27,16,32,31,125,15,17,33,48,52,23,6,22,117,118,19,9,2,6
0,,,0.152638947,0.172631579,0.13430127,0.123076923,0.132653061,0.161290323,0.195054945,0.127340824,0.066666667,0.216666667,0.142857143,0.098765432,0.187134503,0.163157895,0.199362041,0.048543689,0.188888889,0.203703704,0.174545455,0.144044321,0.108490566,0.014117647,0.181818182,0.281927711,0.275700935,0.042600897,0.428571429,0.041666667,0.103448276
0,,Somewhat disapprove,80.46000771,31,49,11,14,4,35,17,9,21,6,20,13,8,46,26,8,27,26,16,11,33,29,15,21,34,6,6,12
0,,,0.078297614,0.065263158,0.08892922,0.084615385,0.071428571,0.064516129,0.096153846,0.063670412,0.15,0.116666667,0.031746032,0.12345679,0.076023392,0.042105263,0.073365231,0.084142395,0.088888889,0.166666667,0.094545455,0.04432133,0.051886792,0.077647059,0.239669421,0.036144578,0.049065421,0.076233184,0.285714286,0.125,0.206896552
0,,Strongly disapprove,475.7506618,187,289,41,77,21,163,170,31,82,93,72,69,100,188,247,41,72,142,169,89,380,44,23,10,385,6,35,27
0,,,0.46296468,0.393684211,0.524500907,0.315384615,0.392857143,0.338709677,0.447802198,0.63670412,0.516666667,0.455555556,0.492063492,0.444444444,0.403508772,0.526315789,0.29984051,0.799352751,0.455555556,0.444444444,0.516363636,0.468144044,0.419811321,0.894117647,0.363636364,0.055421687,0.023364486,0.8632287,0.285714286,0.729166667,0.465517241
0,,Don't know,14.78851748,10,5,5,2,1,1,2,1,3,0,3,1,3,3,4,7,0,5,4,1,1,5,1,2,3,0,2,2
0,,,0.01439107,0.021052632,0.00907441,0.038461538,0.010204082,0.016129032,0.002747253,0.007490637,0.016666667,0.016666667,0,0.018518519,0.005847953,0.015789474,0.004784689,0.012944984,0.077777778,0,0.018181818,0.011080332,0.004716981,0.002352941,0.041322314,0.002409639,0.004672897,0.006726457,0,0.041666667,0.034482759
1,"Do you strongly approve, somewhat approve, somewhat disapprove, or strongly disapprove of the way Brian Kemp is handling his job as governor?",Strongly approve,270.7764964,145,126,52,57,20,91,49,14,41,50,44,53,42,224,28,19,39,43,103,79,13,21,225,226,16,1,9,13
1,,,0.263499274,0.305263158,0.22826087,0.4,0.290816327,0.322580645,0.25,0.182835821,0.237288136,0.229050279,0.263157895,0.271604938,0.30994152,0.221052632,0.357256778,0.090909091,0.211111111,0.240740741,0.155797101,0.28531856,0.374407583,0.030516432,0.172131148,0.542168675,0.529274005,0.035874439,0.047619048,0.191489362,0.224137931
1,,Somewhat approve,296.6983336,132,164,39,52,23,110,72,25,50,52,41,55,56,200,75,21,45,86,110,53,90,47,142,156,102,10,10,13
1,,,0.288724452,0.277894737,0.297101449,0.3,0.265306122,0.370967742,0.302197802,0.268656716,0.423728814,0.279329609,0.273684211,0.25308642,0.321637427,0.294736842,0.318979266,0.243506494,0.233333333,0.277777778,0.311594203,0.304709141,0.251184834,0.211267606,0.385245902,0.342168675,0.365339578,0.228699552,0.476190476,0.212765957,0.224137931
1,,Somewhat disapprove,182.9044859,85,98,10,36,2,68,68,5,34,31,37,30,36,75,87,20,36,59,56,32,140,20,12,7,144,8,12,7
1,,,0.177988858,0.178947368,0.177536232,0.076923077,0.183673469,0.032258065,0.186813187,0.253731343,0.084745763,0.189944134,0.163157895,0.228395062,0.175438596,0.189473684,0.119617225,0.282467532,0.222222222,0.222222222,0.213768116,0.155124654,0.151658768,0.328638498,0.163934426,0.028915663,0.016393443,0.322869955,0.380952381,0.255319149,0.120689655
1,,Strongly disapprove,172.9750793,70,103,13,34,12,60,53,13,34,38,21,17,43,75,81,16,33,49,55,33,142,14,10,7,142,0,11,8
1,,,0.168326308,0.147368421,0.186594203,0.1,0.173469388,0.193548387,0.164835165,0.197761194,0.220338983,0.189944134,0.2,0.12962963,0.099415205,0.226315789,0.119617225,0.262987013,0.177777778,0.203703704,0.177536232,0.152354571,0.156398104,0.333333333,0.114754098,0.024096386,0.016393443,0.31838565,0,0.234042553,0.137931034
1,,Don't know,104.2632224,43,61,16,17,5,35,26,2,20,19,19,16,13,53,37,14,9,39,37,14,41,20,26,31,42,2,5,17
1,,,0.101461108,0.090526316,0.110507246,0.123076923,0.086734694,0.080645161,0.096153846,0.097014925,0.033898305,0.111731844,0.1,0.117283951,0.093567251,0.068421053,0.084529506,0.12012987,0.155555556,0.055555556,0.141304348,0.102493075,0.066350711,0.096244131,0.163934426,0.062650602,0.072599532,0.094170404,0.095238095,0.106382979,0.293103448
2,"Do you strongly approve, somewhat approve, somewhat disapprove, or strongly disapprove of the way David Perdue is handling his job as U.S. Senator?",Strongly approve,189.9302922,108,82,35,37,21,63,32,9,34,33,35,34,28,150,29,11,27,28,67,63,17,18,152,154,15,1,7,11
2,,,0.184825843,0.226890756,0.148550725,0.269230769,0.190721649,0.35,0.173553719,0.119402985,0.155172414,0.189944134,0.173684211,0.217391304,0.198830409,0.147368421,0.238853503,0.093548387,0.120879121,0.166666667,0.101449275,0.185595568,0.298578199,0.039906103,0.147540984,0.365384615,0.358974359,0.033707865,0.05,0.145833333,0.189655172
2,,Somewhat approve,322.4696219,147,175,51,70,16,111,71,21,64,52,48,61,53,215,82,26,69,84,119,48,84,41,178,178,94,8,18,17
2,,,0.313803127,0.308823529,0.317028986,0.392307692,0.360824742,0.266666667,0.305785124,0.264925373,0.362068966,0.357541899,0.273684211,0.298136646,0.356725146,0.278947368,0.342356688,0.264516129,0.285714286,0.425925926,0.304347826,0.329639889,0.227488152,0.197183099,0.336065574,0.427884615,0.414918415,0.211235955,0.4,0.375,0.293103448
2,,Somewhat disapprove,138.9231986,53,86,6,22,9,61,41,8,26,30,25,16,29,58,70,11,24,43,45,25,104,18,14,12,106,7,1,9
2,,,0.135189584,0.111344538,0.155797101,0.046153846,0.113402062,0.15,0.168044077,0.152985075,0.137931034,0.145251397,0.157894737,0.155279503,0.093567251,0.152631579,0.092356688,0.225806452,0.120879121,0.148148148,0.155797101,0.12465374,0.118483412,0.244131455,0.147540984,0.033653846,0.027972028,0.238202247,0.35,0.020833333,0.155172414
2,,Strongly disapprove,188.4297353,86,103,18,34,6,50,80,13,22,39,27,28,50,91,86,12,12,53,79,44,147,14,11,8,155,1,15,3
2,,,0.183365614,0.180672269,0.186594203,0.138461538,0.175257732,0.1,0.137741047,0.298507463,0.224137931,0.122905028,0.205263158,0.167701863,0.16374269,0.263157895,0.144904459,0.277419355,0.131868132,0.074074074,0.192028986,0.218836565,0.208530806,0.345070423,0.114754098,0.026442308,0.018648019,0.348314607,0.05,0.3125,0.051724138
2,,Don't know,187.8647696,82,106,20,31,8,78,44,7,33,36,26,32,30,114,43,31,30,68,51,31,74,31,61,77,75,3,7,18
2,,,0.182815832,0.172268908,0.192028986,0.153846154,0.159793814,0.133333333,0.214876033,0.164179104,0.120689655,0.184357542,0.189473684,0.161490683,0.187134503,0.157894737,0.181528662,0.138709677,0.340659341,0.185185185,0.246376812,0.141274238,0.146919431,0.17370892,0.254098361,0.146634615,0.179487179,0.168539326,0.15,0.145833333,0.310344828
3,How satisfied are you with the way things are going in the U.S. today?,Very satisfied,118.3184073,66,52,23,30,6,39,19,6,15,18,27,19,26,98,14,6,15,25,46,30,3,12,97,98,3,1,2,12
3,,,0.115138555,0.138947368,0.094373866,0.176923077,0.154639175,0.098360656,0.107438017,0.070895522,0.101694915,0.083798883,0.094240838,0.166666667,0.111111111,0.137566138,0.156050955,0.045307443,0.065934066,0.092592593,0.09057971,0.127423823,0.142857143,0.007042254,0.098360656,0.23373494,0.228971963,0.006741573,0.05,0.042553191,0.206896552
3,,Somewhat satisfied,263.4019591,144,119,34,54,22,97,56,14,44,46,34,56,46,196,37,31,45,76,94,46,48,38,167,178,50,9,11,10
3,,,0.25632293,0.303157895,0.215970962,0.261538462,0.278350515,0.360655738,0.267217631,0.208955224,0.237288136,0.245810056,0.240837696,0.209876543,0.32748538,0.243386243,0.312101911,0.1197411,0.340659341,0.277777778,0.275362319,0.260387812,0.219047619,0.112676056,0.31147541,0.402409639,0.41588785,0.112359551,0.45,0.234042553,0.172413793
3,,Somewhat dissatisfied,288.9882703,133,156,38,44,13,108,83,17,50,50,47,53,54,167,99,23,57,83,95,50,151,35,90,88,158,7,14,17
3,,,0.2812216,0.28,0.283121597,0.292307692,0.226804124,0.213114754,0.297520661,0.309701493,0.288135593,0.279329609,0.261780105,0.290123457,0.30994152,0.285714286,0.265923567,0.32038835,0.252747253,0.351851852,0.300724638,0.263157895,0.238095238,0.354460094,0.286885246,0.21686747,0.205607477,0.35505618,0.35,0.29787234,0.293103448
3,,Very dissatisfied,336.6921248,123,213,31,65,18,115,105,21,67,75,49,42,60,155,156,26,45,89,118,80,222,35,51,53,232,3,18,19
3,,,0.327643395,0.258947368,0.386569873,0.238461538,0.335051546,0.295081967,0.316804408,0.391791045,0.355932203,0.374301676,0.392670157,0.302469136,0.245614035,0.317460317,0.246815287,0.504854369,0.285714286,0.277777778,0.322463768,0.326869806,0.380952381,0.521126761,0.286885246,0.122891566,0.123831776,0.521348315,0.15,0.382978723,0.327586207
3,,Don't know ,20.21685608,9,11,4,1,2,4,5,1,3,2,5,1,3,12,3,5,0,3,8,4,2,2,10,11,2,0,2,0
3,,,0.01967352,0.018947368,0.019963702,0.030769231,0.005154639,0.032786885,0.011019284,0.018656716,0.016949153,0.016759777,0.010471204,0.030864198,0.005847953,0.015873016,0.01910828,0.009708738,0.054945055,0,0.010869565,0.022160665,0.019047619,0.004694836,0.016393443,0.024096386,0.025700935,0.004494382,0,0.042553191,0
4,How satisfied are you with the way things are going in Georgia today?,Very satisfied,161.100984,100,61,30,34,10,57,30,7,23,27,31,30,31,137,16,8,18,36,60,46,10,13,129,128,12,3,4,10
4,,,0.156771333,0.210084034,0.110307414,0.230769231,0.174358974,0.163934426,0.156593407,0.112359551,0.118644068,0.12849162,0.142105263,0.192546584,0.175438596,0.163157895,0.217806041,0.051779935,0.088888889,0.111111111,0.130434783,0.166204986,0.219047619,0.023529412,0.107438017,0.311594203,0.299065421,0.026966292,0.15,0.083333333,0.172413793
4,,Somewhat satisfied,450.320664,216,235,58,82,30,178,100,31,83,71,62,89,77,286,120,44,78,120,158,88,136,65,236,243,153,13,16,19
4,,,0.438218123,0.453781513,0.424954792,0.446153846,0.420512821,0.491803279,0.489010989,0.374531835,0.525423729,0.463687151,0.373684211,0.385093168,0.520467836,0.405263158,0.454689984,0.388349515,0.488888889,0.481481481,0.434782609,0.43767313,0.419047619,0.32,0.537190083,0.570048309,0.567757009,0.343820225,0.65,0.333333333,0.327586207
4,,Somewhat dissatisfied,273.775541,104,170,25,50,15,79,103,9,56,64,41,35,57,145,110,19,45,86,94,47,186,24,38,41,187,3,18,16
4,,,0.266417718,0.218487395,0.307414105,0.192307692,0.256410256,0.245901639,0.217032967,0.38576779,0.152542373,0.312849162,0.336842105,0.254658385,0.204678363,0.3,0.230524642,0.355987055,0.211111111,0.277777778,0.311594203,0.260387812,0.223809524,0.437647059,0.198347107,0.09178744,0.095794393,0.420224719,0.15,0.375,0.275862069
4,,Very dissatisfied,120.8902158,47,74,14,27,5,44,29,12,16,25,21,16,23,51,58,12,21,28,45,24,88,15,8,10,86,1,9,10
4,,,0.117641245,0.098739496,0.133815552,0.107692308,0.138461538,0.081967213,0.120879121,0.108614232,0.203389831,0.089385475,0.131578947,0.130434783,0.093567251,0.121052632,0.081081081,0.187702265,0.133333333,0.12962963,0.101449275,0.12465374,0.114285714,0.207058824,0.123966942,0.019323671,0.023364486,0.193258427,0.05,0.1875,0.172413793
4,,Don't know ,21.53021275,9,13,3,2,1,6,5,0,1,3,6,1,2,10,5,7,0,6,4,5,5,4,3,6,7,0,1,3
4,,,0.02095158,0.018907563,0.023508137,0.023076923,0.01025641,0.016393443,0.016483516,0.018726592,0,0.005586592,0.015789474,0.037267081,0.005847953,0.010526316,0.015898251,0.01618123,0.077777778,0,0.02173913,0.011080332,0.023809524,0.011764706,0.033057851,0.007246377,0.014018692,0.015730337,0,0.020833333,0.051724138
5,How would you describe the state of the U.S. economy?,Excellent,227.6160578,144,83,38,44,12,84,48,8,21,39,39,51,49,194,19,15,27,43,86,68,14,24,180,190,16,3,6,9
5,,,0.221498789,0.303157895,0.150635209,0.292307692,0.224489796,0.196721311,0.232044199,0.179104478,0.133333333,0.117977528,0.204188482,0.24375,0.298245614,0.259259259,0.308917197,0.061290323,0.166666667,0.166666667,0.155234657,0.238227147,0.322274882,0.03286385,0.196721311,0.43373494,0.443925234,0.035955056,0.15,0.125,0.157894737
5,,Good,333.6033492,146,187,32,69,19,126,86,14,50,76,41,59,70,242,64,27,45,96,118,70,94,40,179,174,114,7,15,18
5,,,0.324637631,0.307368421,0.33938294,0.246153846,0.352040816,0.31147541,0.348066298,0.320895522,0.233333333,0.280898876,0.397905759,0.25625,0.34502924,0.37037037,0.385350318,0.206451613,0.3,0.277777778,0.346570397,0.326869806,0.331753555,0.220657277,0.327868852,0.431325301,0.406542056,0.256179775,0.35,0.3125,0.315789474
5,,Fair,330.4150093,140,190,38,50,22,108,109,20,74,62,54,46,53,156,145,30,69,102,109,49,227,36,48,56,223,10,18,17
5,,,0.321534979,0.294736842,0.344827586,0.292307692,0.255102041,0.360655738,0.298342541,0.406716418,0.333333333,0.415730337,0.32460733,0.3375,0.269005848,0.28042328,0.248407643,0.467741935,0.333333333,0.425925926,0.368231047,0.301939058,0.232227488,0.53286385,0.295081967,0.115662651,0.130841121,0.501123596,0.5,0.375,0.298245614
5,,Poor,126.1328111,39,87,20,32,8,43,24,17,33,12,23,15,17,33,80,14,21,33,47,22,89,21,7,7,89,0,8,13
5,,,0.122742943,0.082105263,0.157894737,0.153846154,0.163265306,0.131147541,0.11878453,0.089552239,0.283333333,0.185393258,0.062827225,0.14375,0.087719298,0.08994709,0.052547771,0.258064516,0.155555556,0.12962963,0.119133574,0.130193906,0.104265403,0.208920188,0.172131148,0.01686747,0.01635514,0.2,0,0.166666667,0.228070175
5,,Don't know ,9.850390218,6,4,2,1,0,1,1,1,0,2,3,0,0,3,2,4,0,3,1,2,2,1,1,1,3,0,1,0
5,,,0.009585657,0.012631579,0.007259528,0.015384615,0.005102041,0,0.002762431,0.003731343,0.016666667,0,0.010471204,0.01875,0,0,0.00477707,0.006451613,0.044444444,0,0.010830325,0.002770083,0.009478673,0.004694836,0.008196721,0.002409639,0.002336449,0.006741573,0,0.020833333,0
6,How would you describe the state of Georgia's economy?,Excellent,192.3796802,129,63,25,38,12,79,39,7,25,24,31,43,44,163,16,14,30,41,69,50,10,23,147,150,19,4,7,8
6,,,0.187209403,0.271578947,0.114130435,0.192307692,0.195876289,0.196721311,0.217032967,0.145522388,0.118644068,0.140449438,0.126315789,0.192546584,0.252941176,0.232804233,0.25955414,0.051779935,0.153846154,0.185185185,0.14801444,0.190607735,0.235849057,0.023474178,0.18852459,0.353365385,0.351288056,0.042696629,0.19047619,0.145833333,0.137931034
6,,Good,384.0279136,171,213,35,75,19,140,112,12,56,80,60,77,75,277,78,29,45,104,145,85,129,41,195,196,133,8,20,22
6,,,0.373707016,0.36,0.385869565,0.269230769,0.386597938,0.31147541,0.384615385,0.417910448,0.203389831,0.314606742,0.421052632,0.372670807,0.452941176,0.396825397,0.441082803,0.252427184,0.318681319,0.277777778,0.375451264,0.400552486,0.400943396,0.302816901,0.336065574,0.46875,0.459016393,0.298876404,0.380952381,0.416666667,0.379310345
6,,Fair,324.2498658,130,194,54,50,22,102,93,25,77,59,48,39,52,147,147,30,66,102,102,51,196,45,65,74,209,9,9,17
6,,,0.315535526,0.273684211,0.351449275,0.415384615,0.257731959,0.360655738,0.28021978,0.347014925,0.423728814,0.43258427,0.310526316,0.298136646,0.229411765,0.275132275,0.234076433,0.475728155,0.32967033,0.407407407,0.368231047,0.281767956,0.240566038,0.460093897,0.368852459,0.15625,0.173302108,0.469662921,0.428571429,0.1875,0.293103448
6,,Poor,99.37454636,29,70,15,26,8,31,19,15,18,24,17,11,11,24,65,10,15,21,43,20,76,11,6,5,69,0,10,9
6,,,0.096703817,0.061052632,0.126811594,0.115384615,0.134020619,0.131147541,0.085164835,0.070895522,0.254237288,0.101123596,0.126315789,0.105590062,0.064705882,0.058201058,0.038216561,0.210355987,0.10989011,0.092592593,0.075812274,0.11878453,0.094339623,0.178403756,0.090163934,0.014423077,0.011709602,0.15505618,0,0.208333333,0.155172414
6,,Don't know ,27.5856116,16,12,1,5,0,12,5,0,2,3,5,0,7,17,3,8,6,9,3,6,15,2,3,2,15,0,2,2
6,,,0.026844238,0.033684211,0.02173913,0.007692308,0.025773196,0,0.032967033,0.018656716,0,0.011235955,0.015789474,0.031055901,0,0.037037037,0.027070064,0.009708738,0.087912088,0.037037037,0.032490975,0.008287293,0.028301887,0.035211268,0.016393443,0.007211538,0.004683841,0.033707865,0,0.041666667,0.034482759
7,"How likely do you think it is that there will be an economic recession in the next year: very likely, somewhat likely, not so likely, or not likely at all?",Very likely,147.2576073,53,94,15,32,8,41,50,11,25,29,22,17,33,58,73,17,21,49,54,23,96,17,15,12,101,2,12,15
7,,,0.143300003,0.111814346,0.170598911,0.114503817,0.163265306,0.133333333,0.112328767,0.186567164,0.183333333,0.139664804,0.153439153,0.135802469,0.099415205,0.173684211,0.092209857,0.236245955,0.186813187,0.12962963,0.176895307,0.149584488,0.109004739,0.225882353,0.140495868,0.036144578,0.027972028,0.226966292,0.095238095,0.25,0.263157895
7,,Somewhat likely,410.6725296,174,236,41,80,27,140,121,27,83,73,60,65,76,226,151,34,75,113,142,78,232,54,103,110,253,5,20,15
7,,,0.399635548,0.367088608,0.42831216,0.312977099,0.408163265,0.45,0.383561644,0.451492537,0.45,0.463687151,0.386243386,0.37037037,0.380116959,0.4,0.359300477,0.488673139,0.373626374,0.462962963,0.407942238,0.393351801,0.369668246,0.545882353,0.446280992,0.248192771,0.256410256,0.568539326,0.238095238,0.416666667,0.263157895
7,,Not so likely,259.6014265,121,138,38,47,9,108,58,6,47,52,36,55,41,191,49,20,48,68,84,56,69,25,155,148,60,13,9,23
7,,,0.252624539,0.255274262,0.250453721,0.290076336,0.239795918,0.15,0.295890411,0.21641791,0.1,0.262569832,0.275132275,0.222222222,0.321637427,0.215789474,0.303656598,0.158576052,0.21978022,0.296296296,0.245487365,0.232686981,0.265402844,0.162352941,0.20661157,0.373493976,0.344988345,0.134831461,0.619047619,0.1875,0.403508772
7,,Not likely at all,177.5836814,112,65,32,35,13,68,29,13,20,31,39,31,33,136,30,11,15,38,73,48,20,20,130,146,22,1,3,3
7,,,0.172811052,0.23628692,0.117967332,0.244274809,0.178571429,0.216666667,0.18630137,0.108208955,0.216666667,0.111731844,0.164021164,0.240740741,0.18128655,0.173684211,0.216216216,0.097087379,0.120879121,0.092592593,0.137184116,0.202216066,0.227488152,0.047058824,0.165289256,0.313253012,0.34032634,0.049438202,0.047619048,0.0625,0.052631579
