qnum,Question,Responses,Total,Male,Female,High School or less,Some college,College graduate,"Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other race,18-29,30-44,45-64,65+,Liberal,Moderate,Conservative,Republican,Democrat,Independent
0,Who are you supporting in the Atlanta mayoral runoff election?,Felicia Moore,298.1433235,134,164,49,55,194,19,27,32,51,53,76,205,77,16,35,87,105,61,176,69,46,49,226,19
0,,,0.37174978,0.379603399,0.365256125,0.21875,0.339506173,0.469733656,0.296875,0.296703297,0.299065421,0.467889908,0.427419355,0.431818182,0.473441109,0.232628399,0.421052632,0.603448276,0.376623377,0.42,0.28372093,0.391982183,0.413173653,0.328571429,0.494949495,0.381112985,0.267605634
0,,Andre Dickens ,341.2742912,142,200,101,69,170,27,43,64,45,54,74,167,164,10,21,121,92,91,200,67,62,36,273,17
0,,,0.425529041,0.402266289,0.445434298,0.450892857,0.425925926,0.411622276,0.421875,0.472527473,0.598130841,0.412844037,0.435483871,0.420454545,0.385681293,0.495468278,0.263157895,0.362068966,0.523809524,0.368,0.423255814,0.445434298,0.401197605,0.442857143,0.363636364,0.460370995,0.23943662
0,,Don't know,162.5823853,77,85,74,38,49,18,21,11,13,17,26,61,90,12,2,23,53,63,73,31,32,14,94,35
0,,,0.202721179,0.218130312,0.189309577,0.330357143,0.234567901,0.118644068,0.28125,0.230769231,0.102803738,0.119266055,0.137096774,0.147727273,0.140877598,0.271903323,0.315789474,0.034482759,0.0995671,0.212,0.293023256,0.162583519,0.185628743,0.228571429,0.141414141,0.15851602,0.492957746
1,How closely have you been following the news about the Atlanta mayoral runoff election?,Very closely,237.5408803,114,124,76,44,117,32,21,28,24,25,53,98,126,14,8,45,80,90,117,48,58,30,173,14
1,,,0.296185636,0.322033898,0.276169265,0.336283186,0.271604938,0.282608696,0.5,0.230769231,0.261682243,0.220183486,0.201612903,0.302857143,0.226327945,0.380664653,0.358974359,0.140350877,0.194805195,0.32,0.414746544,0.260579065,0.285714286,0.417266187,0.303030303,0.291245791,0.2
1,,Somewhat closely,342.9373751,152,191,59,78,206,16,33,39,57,57,92,229,97,17,32,112,102,79,217,71,43,38,260,37
1,,,0.427602712,0.429378531,0.425389755,0.261061947,0.481481481,0.497584541,0.25,0.362637363,0.364485981,0.52293578,0.459677419,0.525714286,0.52886836,0.29305136,0.435897436,0.561403509,0.484848485,0.408,0.3640553,0.483296214,0.422619048,0.309352518,0.383838384,0.437710438,0.528571429
1,,Not very closely,172.934259,79,94,73,25,76,14,19,31,24,38,26,93,73,7,7,57,49,45,82,43,32,31,115,16
1,,,0.215628752,0.223163842,0.20935412,0.32300885,0.154320988,0.183574879,0.21875,0.208791209,0.289719626,0.220183486,0.306451613,0.148571429,0.2147806,0.220543807,0.179487179,0.122807018,0.246753247,0.196,0.207373272,0.182628062,0.255952381,0.230215827,0.313131313,0.193602694,0.228571429
1,,Not at all,43.64074862,9,35,13,15,15,2,13,9,4,4,4,13,30,1,10,17,14,3,28,6,6,0,41,3
1,,,0.054414899,0.025423729,0.077951002,0.057522124,0.092592593,0.036231884,0.03125,0.142857143,0.08411215,0.036697248,0.032258065,0.022857143,0.030023095,0.090634441,0.025641026,0.175438596,0.073593074,0.056,0.013824885,0.062360802,0.035714286,0.043165468,0,0.069023569,0.042857143
1,,Don't know,4.946737024,0,5,5,0,0,0,5,0,0,0,0,0,5,0,0,0,5,0,5,0,0,0,5,0
1,,,0.006168001,0,0.011135857,0.022123894,0,0,0,0.054945055,0,0,0,0,0,0.01510574,0,0,0,0.02,0,0.011135857,0,0,0,0.008417508,0
2,"In your opinion, which of the following is the most pressing issue currently facing the City of Atlanta? ",Crime,376.581609,174,202,115,77,184,28,31,53,46,55,106,221,144,11,13,94,125,128,185,91,94,72,253,32
2,,,0.469553128,0.494318182,0.450892857,0.511111111,0.47826087,0.444444444,0.430769231,0.344444444,0.495327103,0.425925926,0.44,0.602272727,0.50921659,0.435045317,0.289473684,0.228070175,0.408695652,0.498007968,0.592592593,0.412026726,0.54491018,0.666666667,0.72,0.425925926,0.457142857
2,,Affordable housing,169.8376455,68,101,37,27,105,11,30,27,29,30,26,88,71,11,27,63,45,24,122,27,9,2,149,12
2,,,0.211767638,0.193181818,0.225446429,0.164444444,0.167701863,0.253623188,0.169230769,0.333333333,0.252336449,0.268518519,0.24,0.147727273,0.202764977,0.214501511,0.289473684,0.473684211,0.273913043,0.179282869,0.111111111,0.271714922,0.161676647,0.063829787,0.02,0.250841751,0.171428571
2,,Corruption ,42.41585004,22,20,7,11,24,1,0,2,3,7,12,30,9,3,0,9,17,12,19,14,3,4,24,10
2,,,0.052887594,0.0625,0.044642857,0.031111111,0.068322981,0.057971014,0.015384615,0,0.018691589,0.027777778,0.056,0.068181818,0.069124424,0.027190332,0.078947368,0,0.039130435,0.067729084,0.055555556,0.042316258,0.083832335,0.021276596,0.04,0.04040404,0.142857143
2,,Income inequality ,65.49430569,30,36,7,15,43,6,7,9,14,10,8,40,25,1,14,26,14,8,54,6,6,3,57,5
