qnum,Question,Responses,Total,Male,Female,High School or less,Some college,College graduate,"Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other race,18-29,30-44,45-64,65+,Liberal,Moderate,Conservative,Republican,Democrat,Independent
0,"If the election were held today and the candidates for president were Democrat Joe Biden and Republican Donald Trump, for whom would you vote? ",Joe Biden,436.1674564,159,277,100,133,203,45,53,93,76,64,78,173,228,34,95,100,108,110,245,107,74,10,394,32
0,,,0.435296863,0.356502242,0.499099099,0.319488818,0.430420712,0.532808399,0.584415584,0.358108108,0.465,0.5,0.387878788,0.417112299,0.272012579,0.783505155,0.459459459,0.641891892,0.425531915,0.349514563,0.441767068,0.839041096,0.543147208,0.156448203,0.022573363,0.929245283,0.296296296
0,,Donald Trump,454.4571934,239,215,195,135,124,24,77,86,61,88,75,393,34,27,33,100,171,120,21,48,363,399,11,36
0,,,0.453550093,0.535874439,0.387387387,0.623003195,0.436893204,0.325459318,0.311688312,0.52027027,0.43,0.401315789,0.533333333,0.401069519,0.617924528,0.116838488,0.364864865,0.222972973,0.425531915,0.553398058,0.481927711,0.071917808,0.243654822,0.76744186,0.900677201,0.025943396,0.333333333
0,,Other,25.45287149,11,14,7,3,16,0,4,1,6,4,8,17,3,6,2,11,6,5,6,11,5,6,5,9
0,,,0.025402067,0.024663677,0.025225225,0.022364217,0.009708738,0.041994751,0,0.027027027,0.005,0.039473684,0.024242424,0.042780749,0.02672956,0.010309278,0.081081081,0.013513514,0.046808511,0.019417476,0.020080321,0.020547945,0.055837563,0.010570825,0.013544018,0.011792453,0.083333333
0,,Would not vote,21.95393053,11,11,0,11,11,0,0,5,4,7,6,17,4,1,0,9,9,3,5,7,9,9,3,9
0,,,0.02191011,0.024663677,0.01981982,0,0.035598706,0.028871391,0,0,0.025,0.026315789,0.042424242,0.032085561,0.02672956,0.013745704,0.013513514,0,0.038297872,0.029126214,0.012048193,0.017123288,0.035532995,0.019027484,0.020316027,0.007075472,0.083333333
0,,Don't know,21.95393053,26,38,11,27,27,8,14,15,5,2,20,36,22,6,18,15,15,11,15,24,22,19,11,22
0,,,0.02191011,0.058295964,0.068468468,0.03514377,0.087378641,0.070866142,0.103896104,0.094594595,0.075,0.032894737,0.012121212,0.106951872,0.056603774,0.075601375,0.081081081,0.121621622,0.063829787,0.048543689,0.044176707,0.051369863,0.121827411,0.046511628,0.042889391,0.025943396,0.203703704
1,"If the election were held today and the candidates for president were Democrat Joe Biden and Republican Ron DeSantis, for whom would you vote? ",Joe Biden,434.9284523,161,274,104,134,197,45,54,92,71,67,79,166,232,36,97,94,109,108,247,109,69,6,399,29
1,,,0.434060332,0.360986547,0.492805755,0.332268371,0.435064935,0.518421053,0.592105263,0.364864865,0.462311558,0.464052288,0.406060606,0.422459893,0.261417323,0.797250859,0.486486486,0.651006711,0.401709402,0.353896104,0.43373494,0.843003413,0.553299492,0.14556962,0.013574661,0.938823529,0.268518519
1,,Ron DeSantis,418.4877771,218,201,172,119,128,19,55,88,68,81,71,374,19,25,21,101,154,117,26,42,331,366,8,38
1,,,0.417652472,0.488789238,0.361510791,0.549520767,0.386363636,0.336842105,0.25,0.371621622,0.442211055,0.444444444,0.490909091,0.379679144,0.588976378,0.065292096,0.337837838,0.140939597,0.431623932,0.5,0.469879518,0.088737201,0.21319797,0.698312236,0.828054299,0.018823529,0.351851852
1,,Other,47.74915357,25,22,12,18,17,2,20,3,3,9,11,37,8,2,7,10,21,9,3,17,26,33,3,11
1,,,0.047653846,0.056053812,0.039568345,0.038338658,0.058441558,0.044736842,0.026315789,0.135135135,0.015075377,0.019607843,0.054545455,0.058823529,0.058267717,0.027491409,0.027027027,0.046979866,0.042735043,0.068181818,0.036144578,0.010238908,0.086294416,0.054852321,0.074660633,0.007058824,0.101851852
1,,Would not vote,19.25259922,14,5,5,8,6,0,1,3,2,3,8,14,3,2,0,8,7,3,1,2,11,8,2,4
1,,,0.019214171,0.031390135,0.008992806,0.015974441,0.025974026,0.015789474,0,0.006756757,0.015075377,0.013071895,0.018181818,0.042780749,0.022047244,0.010309278,0.027027027,0,0.034188034,0.022727273,0.012048193,0.003412969,0.010152284,0.023206751,0.018099548,0.004705882,0.037037037
1,,Don't know,81.58201779,28,54,20,29,32,10,18,13,9,5,18,44,29,9,24,21,17,12,16,27,37,29,13,26
1,,,0.081419179,0.062780269,0.097122302,0.063897764,0.094155844,0.084210526,0.131578947,0.121621622,0.065326633,0.058823529,0.03030303,0.096256684,0.069291339,0.099656357,0.121621622,0.161073826,0.08974359,0.055194805,0.048192771,0.054607509,0.137055838,0.078059072,0.06561086,0.030588235,0.240740741
2,"If the election were held today and the candidates for president were Democrat Joe Biden and Republican Nikki Haley, for whom would you vote? ",Joe Biden,409.4816086,154,255,108,118,183,45,58,87,64,60,71,159,220,30,88,91,104,103,233,99,66,8,376,24
2,,,0.40866428,0.34529148,0.459459459,0.346153846,0.383116883,0.480314961,0.592105263,0.394557823,0.43718593,0.418300654,0.361445783,0.38172043,0.25,0.753424658,0.405405405,0.594594595,0.388888889,0.336569579,0.413654618,0.800687285,0.5,0.139240506,0.018058691,0.884705882,0.222222222
2,,Nikki Haley,434.8029472,213,222,162,130,142,22,58,91,69,82,77,369,34,32,42,89,159,119,30,57,331,369,21,39
2,,,0.433935077,0.477578475,0.4,0.519230769,0.422077922,0.372703412,0.289473684,0.394557823,0.457286432,0.450980392,0.493975904,0.413978495,0.580188679,0.116438356,0.432432432,0.283783784,0.38034188,0.514563107,0.477911647,0.103092784,0.287878788,0.698312236,0.832957111,0.049411765,0.361111111
2,,Other,44.81089272,30,15,18,13,14,2,16,5,3,7,12,33,7,5,0,21,15,5,1,9,28,24,4,12
2,,,0.04472145,0.067264574,0.027027027,0.057692308,0.042207792,0.036745407,0.026315789,0.108843537,0.025125628,0.019607843,0.042168675,0.064516129,0.051886792,0.023972603,0.067567568,0,0.08974359,0.048543689,0.020080321,0.003436426,0.045454545,0.05907173,0.054176072,0.009411765,0.111111111
2,,Would not vote,18.61581228,12,6,4,7,8,0,0,5,2,5,4,16,2,1,0,9,5,3,1,5,13,9,1,8
2,,,0.018578655,0.02690583,0.010810811,0.012820513,0.022727273,0.020997375,0,0,0.025125628,0.013071895,0.030120482,0.021505376,0.025157233,0.006849315,0.013513514,0,0.038461538,0.01618123,0.012048193,0.003436426,0.025252525,0.02742616,0.020316027,0.002352941,0.074074074
2,,Don't know,94.28873917,37,57,20,40,34,7,15,11,15,12,22,59,29,6,18,24,26,19,26,28,36,33,23,25
2,,,0.094100538,0.082959641,0.102702703,0.064102564,0.12987013,0.089238845,0.092105263,0.102040816,0.055276382,0.098039216,0.072289157,0.11827957,0.092767296,0.099315068,0.081081081,0.121621622,0.102564103,0.084142395,0.076305221,0.089347079,0.141414141,0.075949367,0.074492099,0.054117647,0.231481481
3,"Do you think things in the nation are generally headed in the right direction, or do you think things are off on the wrong track?",Right direction,222.4327686,95,127,49,63,110,11,35,36,43,37,43,94,117,12,28,45,59,75,127,63,27,4,200,16
3,,,0.221988791,0.213004484,0.228417266,0.157051282,0.205211726,0.288713911,0.144736842,0.238095238,0.180904523,0.281045752,0.224242424,0.229946524,0.147798742,0.399317406,0.162162162,0.187919463,0.191489362,0.191558442,0.3,0.434931507,0.318181818,0.057082452,0.009009009,0.470588235,0.148148148
3,,Wrong track,698.6318556,328,371,255,208,235,57,108,140,98,118,124,505,139,55,95,170,231,159,127,107,435,432,181,77
3,,,0.697237381,0.735426009,0.667266187,0.817307692,0.67752443,0.6167979,0.75,0.734693878,0.703517588,0.640522876,0.715151515,0.663101604,0.794025157,0.47440273,0.743243243,0.637583893,0.723404255,0.75,0.636,0.434931507,0.54040404,0.919661734,0.972972973,0.425882353,0.712962963
3,,Mixed,57.66674891,10,48,8,26,23,8,4,19,6,5,13,22,30,6,26,10,10,11,30,19,7,3,32,11
3,,,0.057551646,0.022421525,0.086330935,0.025641026,0.084690554,0.060367454,0.105263158,0.027210884,0.095477387,0.039215686,0.03030303,0.069518717,0.034591195,0.102389078,0.081081081,0.174496644,0.042553191,0.032467532,0.044,0.102739726,0.095959596,0.014799154,0.006756757,0.075294118,0.101851852
3,,Don't know,23.26862689,13,10,0,10,13,0,0,4,6,5,7,15,7,1,0,10,8,5,8,9,4,5,12,4
3,,,0.023222183,0.029147982,0.017985612,0,0.03257329,0.034120735,0,0,0.020100503,0.039215686,0.03030303,0.037433155,0.023584906,0.023890785,0.013513514,0,0.042553191,0.025974026,0.02,0.02739726,0.045454545,0.00845666,0.011261261,0.028235294,0.037037037
4,Do you approve or disapprove of the way Joe Biden is handling his job as president? ,Strongly approve,159.7115969,62,97,49,37,75,11,24,24,24,23,32,59,95,5,10,20,47,69,89,46,18,4,147,8
4,,,0.159392811,0.139325843,0.174774775,0.157051282,0.12012987,0.196850394,0.142857143,0.164383562,0.12,0.156862745,0.139393939,0.172043011,0.092767296,0.325342466,0.068493151,0.067567568,0.085470085,0.152597403,0.276,0.305841924,0.233502538,0.038054968,0.009029345,0.346698113,0.073394495
4,,Somewhat approve,236.26689,83,153,51,73,112,33,30,42,46,34,42,110,110,17,59,72,56,40,130,52,48,7,199,28
4,,,0.235795299,0.186516854,0.275675676,0.163461538,0.237012987,0.293963255,0.428571429,0.205479452,0.21,0.300653595,0.206060606,0.225806452,0.172955975,0.376712329,0.232876712,0.398648649,0.307692308,0.181818182,0.16,0.446735395,0.263959391,0.101479915,0.015801354,0.469339623,0.256880734
4,,Somewhat disapprove,100.7505858,47,53,23,35,42,8,14,27,16,12,19,57,26,18,23,28,22,21,35,28,35,37,45,14
4,,,0.100549487,0.105617978,0.095495495,0.073717949,0.113636364,0.11023622,0.103896104,0.095890411,0.135,0.104575163,0.072727273,0.102150538,0.089622642,0.089041096,0.246575342,0.155405405,0.11965812,0.071428571,0.084,0.120274914,0.14213198,0.073995772,0.083521445,0.106132075,0.128440367
4,,Strongly disapprove,458.8914928,233,226,181,144,133,23,72,97,63,89,76,396,31,31,40,102,172,116,24,48,365,392,13,47
4,,,0.457975542,0.523595506,0.407207207,0.580128205,0.467532468,0.349081365,0.298701299,0.493150685,0.485,0.411764706,0.539393939,0.408602151,0.622641509,0.106164384,0.424657534,0.27027027,0.435897436,0.558441558,0.464,0.082474227,0.243654822,0.77167019,0.884875847,0.030660377,0.431192661
4,,Don't know,46.37943448,20,26,8,19,19,2,6,10,4,7,17,14,30,2,16,12,11,4,13,23,7,3,20,12
4,,,0.046286861,0.04494382,0.046846847,0.025641026,0.061688312,0.049868766,0.025974026,0.04109589,0.05,0.026143791,0.042424242,0.091397849,0.022012579,0.102739726,0.02739726,0.108108108,0.051282051,0.035714286,0.016,0.04467354,0.116751269,0.014799154,0.006772009,0.047169811,0.110091743
5,"Would you say that you are financially better off now than you were a year ago, about the same, or are you financially worse off now?",Better off,143.4156908,64,79,27,44,71,5,16,20,33,30,31,64,72,7,23,49,30,35,75,35,24,8,113,16
5,,,0.143129432,0.143497758,0.142342342,0.086538462,0.143322476,0.186842105,0.065789474,0.108843537,0.100502513,0.217105263,0.181818182,0.165775401,0.100470958,0.246575342,0.095890411,0.154362416,0.209401709,0.097087379,0.140562249,0.256849315,0.177664975,0.050847458,0.018058691,0.266509434,0.148148148
5,,About the same,359.8849486,148,212,87,114,159,19,37,78,57,56,83,196,128,36,58,60,124,98,138,97,115,95,208,42
5,,,0.359166615,0.331838565,0.381981982,0.278846154,0.371335505,0.418421053,0.25,0.25170068,0.391959799,0.375,0.339393939,0.443850267,0.307692308,0.438356164,0.493150685,0.389261745,0.256410256,0.401294498,0.393574297,0.47260274,0.492385787,0.243644068,0.214446953,0.490566038,0.388888889
5,,Worse off,488.8806256,230,259,198,147,143,52,94,101,60,79,67,372,87,30,64,123,153,115,73,63,331,337,97,50
5,,,0.487904816,0.515695067,0.466666667,0.634615385,0.478827362,0.376315789,0.684210526,0.639455782,0.507537688,0.394736842,0.478787879,0.35828877,0.583987441,0.297945205,0.410958904,0.429530201,0.525641026,0.495145631,0.46184739,0.25,0.319796954,0.701271186,0.760722348,0.228773585,0.462962963
5,,Don't know,9.818735071,4,5,0,2,7,0,0,0,2,0,6,5,5,0,4,2,2,1,6,2,2,3,6,0
5,,,0.009799137,0.00896861,0.009009009,0,0.006514658,0.018421053,0,0,0,0.013157895,0,0.032085561,0.007849294,0.017123288,0,0.026845638,0.008547009,0.006472492,0.004016064,0.020547945,0.010152284,0.004237288,0.006772009,0.014150943,0
6,How important is the issue of jobs and the economy  to you?,Very important,860.101424,377,483,282,260,317,73,121,174,131,146,150,540,261,59,112,203,278,209,228,164,430,402,351,90
6,,,0.858384655,0.84529148,0.868705036,0.903846154,0.844155844,0.834210526,0.960526316,0.823129252,0.874371859,0.867549669,0.884848485,0.806451613,0.847723705,0.896907216,0.808219178,0.751677852,0.867521368,0.899676375,0.836,0.780821918,0.836734694,0.909090909,0.905405405,0.829787234,0.841121495
6,,Somewhat important,122.3306112,56,66,24,39,59,3,19,19,20,18,34,88,28,6,32,24,27,38,56,26,39,34,65,15
6,,,0.122086438,0.125560538,0.118705036,0.076923077,0.126623377,0.155263158,0.039473684,0.129251701,0.095477387,0.132450331,0.109090909,0.182795699,0.138147567,0.096219931,0.082191781,0.214765101,0.102564103,0.087378641,0.152,0.191780822,0.132653061,0.082452431,0.076576577,0.153664303,0.140186916
6,,Not too important,9.296740077,3,6,0,7,2,0,0,6,0,0,1,2,2,5,5,1,2,1,8,0,1,1,7,0
6,,,0.009278184,0.006726457,0.010791367,0,0.022727273,0.005263158,0,0,0.030150754,0,0,0.005376344,0.003139717,0.006872852,0.068493151,0.033557047,0.004273504,0.006472492,0.004,0.02739726,0,0.002114165,0.002252252,0.016548463,0
6,,Not at all important,8.163057246,8,1,6,0,2,0,7,0,0,1,0,6,0,2,0,6,1,1,0,6,2,6,0,2
6,,,0.008146764,0.01793722,0.001798561,0.019230769,0,0.005263158,0,0.047619048,0,0,0.006060606,0,0.009419152,0,0.02739726,0,0.025641026,0.003236246,0.004,0,0.030612245,0.00422833,0.013513514,0,0.018691589
6,,Don't know,2.108167494,2,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0
6,,,0.00210396,0.004484305,0,0,0.006493506,0,0,0,0,0,0,0.005376344,0.001569859,0,0.01369863,0,0,0.003236246,0.004,0,0,0.002114165,0.002252252,0,0
7,How important is the issue of taxes and government spending  to you?,Very important,778.7721892,359,420,272,238,268,63,121,155,124,129,127,495,232,52,86,180,263,202,170,146,430,401,269,92
