qnum,Question,Response,Total,Male,Female,Democrat,Republican,Independent,White,Black,North Ga.,Atl. exurbs,Atl. metro,Southeast Ga.,Southwest Ga.
0,"If the 2014 Senate election in Georgia were being held today and the candidates were Michelle Nunn, the Democrat, David Perdue, the Republican and Amanda  Swafford, the Libertarian, for whom would you vote?  (Includes undecided voters who are leaning toward a candidate and people who have already voted)", Nunn,397,167,231,286,19,68,139,230,46,89,160,52,49
0,,,0.42,0.35,0.49,0.92,0.06,0.31,0.23,0.83,0.29,0.33,0.65,0.36,0.38
0,, Perdue,414,242,171,5,278,94,378,13,90,131,67,69,57
0,,,0.44,0.51,0.36,0.02,0.87,0.43,0.63,0.05,0.57,0.48,0.27,0.48,0.44
0,, Swafford,61,26,35,3,13,36,50,8,12,27,7,7,7
0,,,0.06,0.05,0.07,0.01,0.04,0.16,0.08,0.03,0.08,0.1,0.03,0.05,0.06
0,, Other candidate,1,1,-,1,-,-,*,1,-,-,1,*,-
0,,,* ,* ,- ,* ,- ,- ,* ,* ,- ,- ,* ,* ,- 
0,, Neither,12,8,4,3,2,3,6,5,1,2,3,1,6
0,,,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.04
0,, Would not vote,7,4,3,2,1,3,4,3,1,3,-,2,1
0,,,0.01,0.01,0.01,0.01,* ,0.01,0.01,0.01,* ,0.01,- ,0.02,* 
0,, Don't know/no answer,59,30,29,9,5,15,23,17,8,19,10,12,9
0,,,0.06,0.06,0.06,0.03,0.02,0.07,0.04,0.06,0.05,0.07,0.04,0.09,0.07
1,"If the 2014 Senate election in Georgia were being held today and the candidates were Michelle Nunn, the Democrat, David Perdue, the Republican and Amanda  Swafford, the Libertarian, for whom would you vote?  (Includes undecided voters who are leaning toward a candidate.)", Nunn,377,158,219,271,18,65,133,217,45,86,151,51,43
1,,,0.42,0.35,0.49,0.92,0.06,0.32,0.24,0.82,0.31,0.34,0.65,0.37,0.36
1,, Perdue,383,227,156,5,260,82,348,13,81,121,61,66,54
1,,,0.43,0.51,0.35,0.02,0.88,0.41,0.62,0.05,0.56,0.47,0.26,0.47,0.45
1,, Swafford,58,25,33,3,12,35,47,8,11,27,7,6,7
1,,,0.07,0.06,0.08,0.01,0.04,0.17,0.08,0.03,0.08,0.1,0.03,0.04,0.06
1,, Other candidate,1,1,-,1,-,-,*,1,-,-,1,*,-
1,,,* ,* ,- ,* ,- ,- ,* ,* ,- ,- ,* ,* ,- 
1,, Neither,12,8,4,3,2,3,6,5,1,2,3,1,6
1,,,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.05
1,, Would not vote,7,4,3,2,1,3,4,3,1,3,-,2,1
1,,,0.01,0.01,0.01,0.01,* ,0.01,0.01,0.01,0.01,0.01,- ,0.02,* 
1,, Don't know/no answer,53,25,28,9,3,13,19,16,5,17,10,12,9
1,,,0.06,0.06,0.06,0.03,0.01,0.07,0.03,0.06,0.03,0.07,0.04,0.09,0.07
2,How enthusiastic are you about supporting a Senate candidate?,   Very enthusiastic,331,149,183,153,107,50,189,122,55,85,103,40,48
2,,,0.38,0.34,0.42,0.52,0.34,0.25,0.33,0.49,0.37,0.34,0.44,0.31,0.42
2,,   Somewhat enthusiastic,445,235,210,123,169,117,306,109,78,144,106,71,46
2,,,0.51,0.54,0.48,0.42,0.55,0.59,0.54,0.43,0.52,0.58,0.45,0.55,0.41
2,,   Not so enthusiastic,51,31,20,6,24,16,45,3,8,13,10,8,12
2,,,0.06,0.07,0.05,0.02,0.08,0.08,0.08,0.01,0.05,0.05,0.04,0.06,0.11
2,,   Not enthusiastic at all,37,20,18,9,9,14,24,12,6,6,10,9,6
2,,,0.04,0.05,0.04,0.03,0.03,0.07,0.04,0.05,0.04,0.02,0.04,0.07,0.06
2,, Don't know/no answer,7,1,6,3,-,1,3,5,1,-,5,*,*
2,,,0.01,* ,0.01,0.01,- ,* ,* ,0.02,0.01,- ,0.02,* ,* 
3,"If you support Michelle Nunn, how enthusiastic are you about the candidate?",   Very enthusiastic,180,73,108,151,1,19,51,117,21,38,77,18,25
3,,,0.45,0.44,0.47,0.53,0.05,0.28,0.37,0.51,0.46,0.43,0.48,0.35,0.52
3,,   Somewhat enthusiastic,177,78,98,117,10,38,67,94,20,46,65,27,18
3,,,0.44,0.47,0.43,0.41,0.5,0.56,0.48,0.41,0.43,0.52,0.41,0.52,0.37
3,,   Not so enthusiastic,13,5,8,6,3,4,10,3,1,1,6,3,2
3,,,0.03,0.03,0.04,0.02,0.16,0.06,0.07,0.01,0.03,0.01,0.04,0.06,0.03
3,,   Not enthusiastic at all,22,10,12,8,5,6,11,10,4,4,7,4,4
3,,,0.06,0.06,0.05,0.03,0.28,0.09,0.08,0.04,0.08,0.04,0.04,0.07,0.08
3,, Don't know/no answer,5,*,5,3,-,*,1,5,-,-,5,-,-
