qnum,Question,Responses,Total likely voters,  Male,  Female,  Democrat,  Republican,  Independent,  White,  Black,  18-39,  40-64,  65+, White Protestant Evangelical,  Atlanta Exurbs,  Atlanta Metro,  North,  Southeast,  Southwest
0,"If the 2016 presidential election were being held today and the candidates were Hillary Clinton and Tim kaine, the Democrats, Donald Trump and Mike Pence, the Republicans, and Gary Johnson and Bill Weld of the Libertarian Party, for whom would you vote, lean toward or have voted for?",Hillary Clinton,308,125,183,208,9,70,89,184,98,152,56,17,61,118,29,52,47
0,,,0.42,0.35,0.48,0.91,0.04,0.38,0.2,0.88,0.41,0.44,0.37,0.12,0.34,0.63,0.23,0.44,0.38
0,,Donald Trump,322,178,144,8,189,76,289,5,91,149,82,104,89,44,66,55,68
0,,,0.44,0.5,0.37,0.04,0.85,0.41,0.65,0.03,0.38,0.43,0.54,0.74,0.49,0.23,0.52,0.46,0.55
0,,Gary Johnson,63,30,33,6,15,25,45,7,42,15,6,14,21,13,24,3,2
0,,,0.09,0.08,0.09,0.02,0.07,0.13,0.1,0.03,0.17,0.04,0.04,0.1,0.11,0.07,0.19,0.03,0.01
0,,Other candidate,8,6,1,1,3,4,4,1,3,2,3,1,3,4,-,-,1
0,,,0.01,0.02,* ,* ,0.01,0.02,0.01,* ,0.01,0.01,0.02,0.01,0.02,0.02,- ,- ,0.01
0,,Neither,8,3,4,-,1,4,3,3,-,7,1,*,2,5,1,*,-
0,,,0.01,0.01,0.01,- ,0.01,0.02,0.01,0.01,- ,0.02,0.01,* ,0.01,0.03,0.01,* ,- 
0,,No answer,30,12,19,6,7,7,14,10,7,19,4,5,4,5,7,9,6
0,,,0.04,0.03,0.05,0.03,0.03,0.04,0.03,0.05,0.03,0.05,0.03,0.04,0.02,0.03,0.05,0.07,0.05
1,"For Clinton supporters, would that be more a vote for Clinton or more a vote against Trump?",Vote for Clinton,192,78,113,143,*,36,50,119,43,108,40,10,36,76,16,35,28
1,,,0.62,0.63,0.62,0.69,0.05,0.51,0.56,0.64,0.44,0.71,0.71,0.57,0.59,0.64,0.56,0.67,0.61
1,,Vote against Trump,108,41,68,60,8,32,32,65,54,41,13,4,23,41,10,16,18
