qnum,Question,Responses,Total,Male,Female,High School or less,Some college,Vocational/Tech. School,College Graduate,Graduate Study,"$Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other,18-29,30-44,45-64,65+
0,"If the election for governor were being held today, and the candidates were Brian Kemp, the Republican, Stacy Abrams, the Democrat and Ted Metz, the Libertarian, for whom would you vote? ",Brian Kemp,588,292,296,80,124,40,230,106,20,66,112,100,114,80,550,7,30,21,87,240,214
0,,,0.477,0.531,0.433,0.537,0.571,0.597,0.47,0.362,0.408,0.437,0.496,0.513,0.518,0.408,0.703,0.02,0.309,0.241,0.348,0.498,0.611
0,,Stacey Abrams,570,226,344,56,79,21,243,162,26,67,111,83,97,102,191,325,55,58,134,221,126
0,,,0.463,0.411,0.504,0.376,0.364,0.313,0.497,0.553,0.531,0.444,0.491,0.426,0.441,0.520,0.244,0.918,0.567,0.667,0.536,0.459,0.36
0,,Ted Metz,29,8,21,2,4,1,9,13,0,8,1,9,3,7,20,5,5,4,14,9,2
0,,,0.023,0.015,0.031,0.013,0.018,0.015,0.018,0.044,0,0.053,0.004,0.046,0.014,0.036,0.026,0.014,0.052,0.046,0.056,0.019,0.006
0,,Don't know,45,24,22,11,10,5,7,12,3,10,2,3,6,7,21,17,7,4,15,12,8
0,,,0.037,0.044,0.032,0.074,0.046,0.075,0.014,0.041,0.061,0.066,0.009,0.015,0.027,0.036,0.027,0.048,0.072,0.046,0.060,0.025,0.023
1,"Is your opinion of Brian Kemp favorable, unfavorable, or do you have no opinion?",Favorable,537,269,268,72,116,35,205,100,17,67,97,91,109,69,501,12,24,23,70,223,197
1,,,0.436,0.490,0.392,0.483,0.535,0.530,0.420,0.340,0.354,0.444,0.429,0.469,0.491,0.350,0.640,0.034,0.250,0.264,0.281,0.463,0.564
1,,Unfavorable,408,167,241,30,36,17,180,140,14,38,70,70,71,89,179,192,37,19,96,165,101
1,,,0.332,0.304,0.353,0.201,0.166,0.258,0.369,0.476,0.292,0.252,0.31,0.361,0.320,0.452,0.229,0.544,0.385,0.218,0.386,0.342,0.289
1,,No opinion,272,107,165,45,63,12,96,53,17,44,59,30,41,35,93,145,34,43,79,91,49
1,,,0.220,0.195,0.242,0.302,0.290,0.182,0.197,0.180,0.354,0.291,0.261,0.155,0.185,0.178,0.119,0.411,0.354,0.494,0.317,0.189,0.140
1,,Don't know,15,6,9,2,2,2,7,1,0,2,0,3,1,4,10,4,1,2,4,3,2
1,,,0.012,0.011,0.013,0.013,0.009,0.03,0.014,0.003,0,0.013,0,0.015,0.005,0.020,0.013,0.011,0.010,0.023,0.016,0.006,0.006
