qnum,Question,Responses,Total,Male,Female,High School or less,Some college,BA or higher,"Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other race,18-29,30-44,45-64,65+,Republican,Independent,Democrat
0,"If the election for president were being held today, and the candidates were Republican Donald Trump, Democrat Joe Biden, Libertarian Jo Jorgenson, for whom would you vote?",Trump,529.158192,253,276,202,166,160,35,82,95,92,106,74,490,15,24,34,118,224,148,493,11,13
0,,,0.462146893,0.500990099,0.43125,0.469767442,0.52866242,0.40302267,0.416666667,0.431578947,0.47029703,0.489361702,0.507177033,0.47133758,0.65948856,0.044510386,0.369230769,0.220779221,0.450381679,0.50678733,0.540145985,0.924953096,0.094827586,0.028508772
0,,Biden,532.6966518,198,335,195,126,210,42,93,97,89,86,68,211,289,33,98,124,192,113,17,68,429
0,,,0.46523725,0.392079208,0.5234375,0.453488372,0.401273885,0.528967254,0.5,0.489473684,0.48019802,0.473404255,0.411483254,0.433121019,0.283983849,0.857566766,0.507692308,0.636363636,0.473282443,0.43438914,0.412408759,0.031894934,0.586206897,0.940789474
0,,Jorgenson,32.75172217,28,5,16,8,9,1,11,2,1,13,5,20,11,2,13,13,6,1,9,20,3
0,,,0.028604124,0.055445545,0.0078125,0.037209302,0.025477707,0.022670025,0.011904762,0.057894737,0.00990099,0.005319149,0.062200957,0.031847134,0.0269179,0.03264095,0.030769231,0.084415584,0.049618321,0.013574661,0.003649635,0.016885553,0.172413793,0.006578947
0,,Don't know,50.39343408,26,24,17,14,18,6,4,8,6,4,10,22,22,6,9,7,20,12,14,17,11
0,,,0.044011733,0.051485149,0.0375,0.039534884,0.044585987,0.04534005,0.071428571,0.021052632,0.03960396,0.031914894,0.019138756,0.063694268,0.02960969,0.065281899,0.092307692,0.058441558,0.026717557,0.045248869,0.04379562,0.026266417,0.146551724,0.024122807
1,"If the election for U.S. Senate were being held today, and the candidates were Republican David Perdue, Democrat Democrat John Ossoff, Libertarian Shane Hazel, for whom would you vote?",Perdue,517.6423385,250,268,188,166,162,41,67,86,92,106,80,478,15,25,34,120,216,142,479,16,14
1,,,0.452089379,0.495049505,0.41875,0.437209302,0.530351438,0.407035176,0.488095238,0.352631579,0.427860697,0.489361702,0.509615385,0.506329114,0.644204852,0.044510386,0.378787879,0.220779221,0.458015267,0.489795918,0.518248175,0.898686679,0.137931034,0.030837004
1,,Ossoff,530.295598,199,332,193,130,206,34,98,98,91,86,66,205,296,29,94,125,198,109,22,67,424
1,,,0.46314026,0.394059406,0.51875,0.448837209,0.415335463,0.51758794,0.404761905,0.515789474,0.487562189,0.484042553,0.413461538,0.417721519,0.276280323,0.878338279,0.439393939,0.61038961,0.477099237,0.448979592,0.397810219,0.041275797,0.577586207,0.933920705
1,,Hazel,43.63590173,35,8,29,5,10,3,11,5,1,11,7,25,15,4,18,11,11,3,7,27,5
1,,,0.038109958,0.069306931,0.0125,0.06744186,0.015974441,0.025125628,0.035714286,0.057894737,0.024875622,0.005319149,0.052884615,0.044303797,0.033692722,0.044510386,0.060606061,0.116883117,0.041984733,0.024943311,0.010948905,0.013133208,0.232758621,0.011013216
1,,Don't know,53.42616176,21,32,20,12,20,6,14,12,4,5,5,34,11,8,8,6,16,20,25,6,11
