qnum,Question,Responses,Total,Male,Female,High School or less,Some college,College graduate,"Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other race,18-29,30-44,45-64,65+,Liberal,Moderate,Conservative,Republican,Democrat,Independent
0,Who is your choice for Atlanta mayor? ,Antonio Brown,18.96633782,8,11,7,2,10,1,5,4,0,5,3,8,11,1,5,4,9,0,8,3,4,1,13,5
0,,,0.024347032,0.022727273,0.025821596,0.03196347,0.012738854,0.025125628,0.013513514,0.051546392,0.035714286,0,0.05,0.013636364,0.020100503,0.033742331,0.018181818,0.035714286,0.014869888,0.04368932,0,0.022346369,0.015,0.022222222,0.00877193,0.025948104,0.040983607
0,,Andre Dickens,48.39983138,15,33,8,15,25,5,4,7,8,11,9,22,24,2,2,16,11,15,28,16,3,2,45,2
0,,,0.062130721,0.042613636,0.077464789,0.03652968,0.095541401,0.06281407,0.067567568,0.041237113,0.0625,0.086021505,0.11,0.040909091,0.055276382,0.073619632,0.036363636,0.014285714,0.059479554,0.053398058,0.111111111,0.078212291,0.08,0.016666667,0.01754386,0.089820359,0.016393443
0,,Sharon Gay,33.51720582,24,10,3,10,21,0,1,2,0,4,22,26,6,2,10,8,11,6,10,8,15,12,14,7
0,,,0.043025938,0.068181818,0.023474178,0.01369863,0.063694268,0.052763819,0,0.010309278,0.017857143,0,0.04,0.1,0.065326633,0.018404908,0.036363636,0.071428571,0.029739777,0.053398058,0.044444444,0.027932961,0.04,0.083333333,0.105263158,0.027944112,0.057377049
0,,Felicia Moore,185.0986427,81,104,26,34,123,13,7,24,28,22,69,135,39,11,26,52,55,48,96,44,40,37,122,20
0,,,0.237610581,0.230113636,0.244131455,0.118721461,0.21656051,0.309045226,0.175675676,0.072164948,0.214285714,0.301075269,0.22,0.313636364,0.33919598,0.119631902,0.2,0.185714286,0.19330855,0.266990291,0.355555556,0.268156425,0.22,0.222222222,0.324561404,0.243512974,0.163934426
0,,Kasim Reed,158.742224,89,70,68,21,68,16,35,24,15,21,39,47,103,9,30,58,39,25,59,58,38,11,96,47
0,,,0.203776924,0.252840909,0.164319249,0.310502283,0.133757962,0.170854271,0.216216216,0.360824742,0.214285714,0.161290323,0.21,0.177272727,0.118090452,0.31595092,0.163636364,0.214285714,0.215613383,0.189320388,0.185185185,0.164804469,0.29,0.211111111,0.096491228,0.191616766,0.385245902
0,,Kirsten Dunn ,3.449375663,0,3,0,2,2,1,2,0,0,0,0,3,1,0,0,1,0,2,1,0,2,2,1,1
0,,,0.004427953,0,0.007042254,0,0.012738854,0.005025126,0.013513514,0.020618557,0,0,0,0,0.007537688,0.003067485,0,0,0.003717472,0,0.014814815,0.002793296,0,0.011111111,0.01754386,0.001996008,0.008196721
0,,Nolan English ,0.358207167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0.000459829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,,Mark Hammad ,3.837723996,4,0,0,4,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,4
0,,,0.004926475,0.011363636,0,0,0.025477707,0,0,0,0.035714286,0,0,0,0,0.012269939,0,0.028571429,0,0,0,0,0,0,0,0,0.032786885
0,,Kenny Hill ,1.030308704,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,,,0.001322604,0.002840909,0,0,0,0.002512563,0,0,0,0,0.01,0,0,0.003067485,0,0,0,0,0,0,0.005,0,0,0,0
0,,Rebecca King ,1.326347471,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
0,,,0.001702628,0,0.002347418,0,0,0.002512563,0,0,0,0.010752688,0,0,0,0,0.018181818,0.007142857,0,0,0,0.002793296,0,0,0,0.001996008,0
0,,Roosevelt Searles,0.474789209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0.000609486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,,Richard Wright ,1.644668535,0,1,0,0,2,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
0,,,0.002111256,0,0.002347418,0,0,0.005025126,0,0,0.008928571,0,0.01,0,0.002512563,0,0,0,0,0.004854369,0,0.002793296,0,0,0,0.001996008,0
0,,Don't know,322.1543376,130,193,107,69,145,38,43,46,41,35,78,156,137,29,62,130,80,39,154,70,78,49,208,36
0,,,0.413548572,0.369318182,0.453051643,0.488584475,0.439490446,0.364321608,0.513513514,0.443298969,0.410714286,0.440860215,0.35,0.354545455,0.391959799,0.420245399,0.527272727,0.442857143,0.483271375,0.388349515,0.288888889,0.430167598,0.35,0.433333333,0.429824561,0.415169661,0.295081967
1,How closely have you been following news about the Atlanta mayor’s race?,Very closely,190.1296366,75,115,70,28,90,28,26,18,17,24,55,78,100,12,20,50,61,47,63,71,44,27,116,40
1,,,0.244068853,0.213068182,0.269320843,0.321100917,0.17721519,0.226130653,0.373333333,0.268041237,0.160714286,0.180851064,0.237623762,0.25,0.195488722,0.307692308,0.218181818,0.142857143,0.185185185,0.297560976,0.345588235,0.176470588,0.355,0.243093923,0.234782609,0.232,0.325203252
1,,Somewhat closely,276.1789811,112,164,72,51,151,20,29,49,24,44,85,148,110,18,34,101,80,53,132,62,65,29,188,46
1,,,0.354530143,0.318181818,0.384074941,0.330275229,0.32278481,0.379396985,0.266666667,0.298969072,0.4375,0.255319149,0.435643564,0.386363636,0.370927318,0.338461538,0.327272727,0.242857143,0.374074074,0.390243902,0.389705882,0.369747899,0.31,0.359116022,0.252173913,0.376,0.37398374
1,,Not very closely,203.4318888,102,101,52,39,112,13,31,28,24,20,62,105,83,15,46,82,41,29,102,47,44,41,129,23
1,,,0.261144915,0.289772727,0.236533958,0.23853211,0.246835443,0.281407035,0.173333333,0.319587629,0.25,0.255319149,0.198019802,0.281818182,0.263157895,0.255384615,0.272727273,0.328571429,0.303703704,0.2,0.213235294,0.285714286,0.235,0.243093923,0.356521739,0.258,0.18699187
1,,Not at all,108.4968784,63,46,24,40,45,14,11,17,29,13,18,68,32,9,40,37,23,7,60,20,28,18,67,14
1,,,0.139277123,0.178977273,0.107728337,0.110091743,0.253164557,0.113065327,0.186666667,0.113402062,0.151785714,0.308510638,0.128712871,0.081818182,0.170426065,0.098461538,0.163636364,0.285714286,0.137037037,0.112195122,0.051470588,0.168067227,0.1,0.154696133,0.156521739,0.134,0.113821138
1,,Don't know,0.762614952,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,0.000978967,0,0.00234192,0,0,0,0,0,0,0,0,0,0,0,0.018181818,0,0,0,0,0,0,0,0,0,0
2,Do you remember seeing or hearing any political advertising for Kasim Reed?,Yes,662.7894205,293,370,189,136,332,62,86,91,79,91,197,341,285,37,106,237,180,115,301,183,146,95,438,104
2,,,0.850820822,0.832386364,0.868544601,0.866972477,0.866242038,0.83627204,0.837837838,0.886597938,0.8125,0.840425532,0.900990099,0.895454545,0.85678392,0.876923077,0.660714286,0.757142857,0.877777778,0.873786408,0.851851852,0.840782123,0.915,0.806629834,0.826086957,0.876,0.845528455
2,,No ,108.4907464,56,52,29,19,60,12,11,21,13,10,22,51,39,18,32,33,24,18,54,16,32,18,60,19
2,,,0.139269251,0.159090909,0.122065728,0.133027523,0.121019108,0.151133501,0.162162162,0.113402062,0.1875,0.138297872,0.099009901,0.1,0.128140704,0.12,0.321428571,0.228571429,0.122222222,0.116504854,0.133333333,0.150837989,0.08,0.17679558,0.156521739,0.12,0.154471545
2,,Don't know,7.719833082,3,4,0,2,5,0,0,0,2,0,1,6,1,1,2,0,2,2,3,1,3,2,2,0
2,,,0.009909927,0.008522727,0.009389671,0,0.012738854,0.012594458,0,0,0,0.021276596,0,0.004545455,0.015075377,0.003076923,0.017857143,0.014285714,0,0.009708738,0.014814815,0.008379888,0.005,0.016574586,0.017391304,0.004,0
3,Do you remember seeing or hearing any political advertising for Felicia Moore?,Yes,547.2566331,228,319,160,102,281,64,48,78,58,78,167,276,241,31,68,193,153,112,245,137,134,76,374,76
3,,,0.702511724,0.647727273,0.748826291,0.733944954,0.64556962,0.706030151,0.864864865,0.494845361,0.690265487,0.610526316,0.772277228,0.759090909,0.693467337,0.741538462,0.563636364,0.485714286,0.717472119,0.742718447,0.817518248,0.68627451,0.685,0.740331492,0.655172414,0.748,0.617886179
3,,No ,217.3363307,116,101,53,56,108,10,49,33,35,22,51,117,77,23,68,74,49,22,105,59,46,40,118,46
3,,,0.278994006,0.329545455,0.237089202,0.243119266,0.35443038,0.271356784,0.135135135,0.505154639,0.292035398,0.368421053,0.217821782,0.231818182,0.293969849,0.236923077,0.418181818,0.485714286,0.275092937,0.237864078,0.160583942,0.294117647,0.295,0.254143646,0.344827586,0.236,0.37398374
3,,Don't know,14.40703624,8,6,5,0,9,0,0,2,2,1,2,5,7,1,4,2,4,3,7,4,1,0,8,1
3,,,0.01849427,0.022727273,0.014084507,0.02293578,0,0.022613065,0,0,0.017699115,0.021052632,0.00990099,0.009090909,0.012562814,0.021538462,0.018181818,0.028571429,0.007434944,0.019417476,0.02189781,0.019607843,0.02,0.005524862,0,0.016,0.008130081
4,Do you remember seeing or hearing any political advertising for Andre Dickens?,Yes,405.765492,163,243,132,76,194,52,48,60,41,64,95,181,202,23,34,141,119,92,176,112,95,47,288,52
4,,,0.520879964,0.461756374,0.569086651,0.608294931,0.481012658,0.487437186,0.702702703,0.494845361,0.535714286,0.436170213,0.633663366,0.431818182,0.453634085,0.621538462,0.418181818,0.242857143,0.522222222,0.574879227,0.676470588,0.491620112,0.55721393,0.527777778,0.408695652,0.576,0.419354839
4,,No ,351.1490287,183,169,79,77,194,17,48,50,49,36,123,208,114,29,103,126,80,38,169,86,83,66,199,71
4,,,0.450768971,0.518413598,0.395784543,0.3640553,0.487341772,0.487437186,0.22972973,0.494845361,0.446428571,0.521276596,0.356435644,0.559090909,0.521303258,0.350769231,0.527272727,0.735714286,0.466666667,0.38647343,0.279411765,0.472067039,0.427860697,0.461111111,0.573913043,0.398,0.572580645
4,,Don't know,22.08547936,7,15,6,5,10,5,1,2,4,1,2,10,9,3,3,3,8,6,13,3,2,2,13,1
4,,,0.028351065,0.019830028,0.035128806,0.02764977,0.03164557,0.025125628,0.067567568,0.010309278,0.017857143,0.042553191,0.00990099,0.009090909,0.025062657,0.027692308,0.054545455,0.021428571,0.011111111,0.038647343,0.044117647,0.036312849,0.014925373,0.011111111,0.017391304,0.026,0.008064516
5,Do you remember seeing or hearing any political advertising for Antonio Brown?,Yes,331.7814799,145,187,128,52,149,41,50,51,35,44,82,150,161,21,45,118,103,52,131,96,80,46,214,52
5,,,0.425906906,0.411931818,0.438967136,0.587155963,0.331210191,0.373433584,0.554054054,0.520833333,0.451327434,0.368421053,0.44,0.372727273,0.37593985,0.495384615,0.375,0.319148936,0.43866171,0.5,0.382352941,0.365921788,0.48,0.44198895,0.4,0.428,0.422764228
