qnum,Question,Responses,Total,Male,Female,High School or less,Some college,College graduate,"Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other race,18-29,30-44,45-64,65+,Liberal,Moderate,Conservative,Republican,Democrat,Independent
0,"If the election for governor were being held today, and the candidates were Republican Brian Kemp, Democrat Stacey Abrams, Libertarian Shane Hazel and Independent Al Bartel, for whom would you vote?",Brian Kemp,522.451384,277,246,224,144,152,27,61,66,92,96,93,470,24,28,47,107,196,161,31,75,394,480,7,30
0,,,0.511204877,0.60745614,0.433862434,0.653061224,0.444444444,0.435530086,0.613636364,0.37654321,0.397590361,0.571428571,0.564705882,0.52247191,0.725308642,0.080808081,0.368421053,0.311258278,0.445833333,0.550561798,0.633858268,0.102990033,0.367647059,0.827731092,0.961923848,0.017114914,0.315789474
0,,Stacey Abrams,453.1430293,149,304,117,156,177,17,95,93,63,65,74,150,259,44,93,115,149,87,262,107,69,2,394,51
0,,,0.443388483,0.326754386,0.536155203,0.341107872,0.481481481,0.507163324,0.386363636,0.586419753,0.560240964,0.391304348,0.382352941,0.415730337,0.231481481,0.872053872,0.578947368,0.61589404,0.479166667,0.418539326,0.342519685,0.870431894,0.524509804,0.144957983,0.004008016,0.963325183,0.536842105
0,,Shane Hazel,20.79495113,12,9,0,14,7,0,4,3,3,5,6,18,2,1,6,11,3,1,7,10,4,5,3,9
0,,,0.02034731,0.026315789,0.015873016,0,0.043209877,0.020057307,0,0.024691358,0.018072289,0.01863354,0.029411765,0.033707865,0.027777778,0.006734007,0.013157895,0.039735099,0.045833333,0.008426966,0.003937008,0.023255814,0.049019608,0.008403361,0.01002004,0.007334963,0.094736842
0,,Don't know,25.61063551,18,8,2,10,13,0,2,4,3,4,5,10,12,3,5,7,8,5,1,12,9,12,5,5
0,,,0.02505933,0.039473684,0.014109347,0.005830904,0.030864198,0.037249284,0,0.012345679,0.024096386,0.01863354,0.023529412,0.028089888,0.015432099,0.04040404,0.039473684,0.033112583,0.029166667,0.02247191,0.019685039,0.003322259,0.058823529,0.018907563,0.024048096,0.012224939,0.052631579
1,"If the election for U.S. Senate were being held today, and the candidates were Republican Herschel Walker, Democrat Raphael Warnock and Libertarian Chase Oliver, for whom would you vote?",Herschel Walker,464.8853426,258,207,199,129,136,23,56,67,85,86,81,418,20,27,44,98,174,140,22,60,362,428,5,27
1,,,0.455,0.565789474,0.365079365,0.580174927,0.398148148,0.390804598,0.522727273,0.345679012,0.408536585,0.53125,0.505882353,0.45505618,0.645061728,0.066889632,0.36,0.291390728,0.410041841,0.487394958,0.549019608,0.073089701,0.292682927,0.760504202,0.857715431,0.012195122,0.284210526
1,,Raphael Warnock,461.5620767,163,299,113,155,190,17,79,88,69,67,82,164,255,43,81,116,158,96,251,116,81,23,381,49
1,,,0.451626298,0.35745614,0.527336861,0.329446064,0.478395062,0.545977011,0.386363636,0.487654321,0.536585366,0.43125,0.394117647,0.460674157,0.25308642,0.852842809,0.573333333,0.536423841,0.485355649,0.442577031,0.376470588,0.833887043,0.565853659,0.170168067,0.046092184,0.929268293,0.515789474
1,,Chase Oliver ,49.0547342,18,31,10,27,12,4,11,3,5,12,10,42,4,3,13,12,17,8,18,17,14,27,6,14
1,,,0.047998761,0.039473684,0.054673721,0.029154519,0.083333333,0.034482759,0.090909091,0.067901235,0.018292683,0.03125,0.070588235,0.056179775,0.064814815,0.013377926,0.04,0.086092715,0.050209205,0.047619048,0.031372549,0.059800664,0.082926829,0.029411765,0.054108216,0.014634146,0.147368421
1,,Don't know,46.49784646,17,30,21,13,10,0,16,6,1,5,5,24,20,2,13,13,8,11,10,12,19,21,18,5
1,,,0.045496914,0.037280702,0.052910053,0.06122449,0.040123457,0.028735632,0,0.098765432,0.036585366,0.00625,0.029411765,0.028089888,0.037037037,0.066889632,0.026666667,0.086092715,0.054393305,0.022408964,0.043137255,0.033222591,0.058536585,0.039915966,0.042084168,0.043902439,0.052631579
2,"If the election for Lt. Governor were being held today, and the candidates were Republican Burt Jones, Democrat Charlie Bailey and Libertarian Ryan Graham, for whom would you vote?",Burt Jones,476.2935983,253,223,203,134,138,27,61,59,85,89,81,435,18,23,43,98,175,151,24,61,372,442,7,22
2,,,0.466040703,0.554824561,0.393992933,0.591836735,0.412307692,0.396551724,0.627906977,0.378881988,0.357575758,0.53125,0.520467836,0.452513966,0.671296296,0.060402685,0.306666667,0.282894737,0.410041841,0.491573034,0.594488189,0.079734219,0.297560976,0.781512605,0.885771543,0.017073171,0.234042553
2,,Charlie Bailey,393.9767351,132,262,88,140,163,13,68,75,61,57,73,136,218,41,61,102,140,82,220,98,62,7,334,48
2,,,0.385495827,0.289473684,0.462897527,0.256559767,0.430769231,0.468390805,0.302325581,0.422360248,0.454545455,0.38125,0.333333333,0.407821229,0.209876543,0.731543624,0.546666667,0.401315789,0.426778243,0.393258427,0.322834646,0.73089701,0.47804878,0.130252101,0.014028056,0.814634146,0.510638298
