qnum,Question,Responses,Registered Voters,  Male,  Female,  Democrat,  Republican,  Independent,  White,  Black,  18-39,  40-64,  65+, White Protestant Evangelical,  North,  Atlanta Exurbs,  Atlanta Metro,  Southeast,  Southwest,
0,Do you think things in this country are generally going in the right direction or have gotten pretty seriously off on the wrong track?,Right direction,208,94,114,107,14,64,86,99,63,117,27,17,29,40,76,38,25,
0,,,0.27,0.26,0.28,0.48,0.07,0.27,0.18,0.42,0.25,0.32,0.18,0.12,0.22,0.21,0.39,0.31,0.2,
0,,Wrong track,512,243,269,95,183,151,360,116,170,230,111,115,94,143,105,79,91,
0,,,0.67,0.67,0.66,0.43,0.9,0.65,0.77,0.49,0.68,0.63,0.74,0.83,0.71,0.74,0.53,0.65,0.72,
0,,No answer,47,25,22,20,6,17,20,21,15,20,11,6,9,9,16,4,10,
0,,,0.06,0.07,0.05,0.09,0.03,0.08,0.04,0.09,0.06,0.06,0.08,0.05,0.07,0.04,0.08,0.03,0.08,
1,"If the 2016 presidential election were being held today and the candidates were Hillary Clinton and Tim Kaine, the Democrats and Donald Trump and Mike Pence, the Republicans for whom would you vote/lean toward?",Hillary Clinton ,368,152,216,211,10,111,121,209,133,180,55,21,41,69,143,60,55,
1,,,0.48,0.42,0.53,0.95,0.05,0.48,0.26,0.89,0.54,0.49,0.37,0.15,0.31,0.36,0.73,0.49,0.44,
1,,Donald Trump ,337,178,159,5,175,106,306,12,88,163,84,109,80,108,45,48,56,
1,,,0.44,0.49,0.39,0.02,0.86,0.46,0.66,0.05,0.36,0.44,0.56,0.79,0.61,0.56,0.23,0.39,0.45,
1,,Other candidate,11,9,2,*,7,1,8,-,8,2,1,-,1,5,-,2,3,
1,,,0.01,0.03,* ,* ,0.03,* ,0.02,- ,0.03,* ,0.01,- ,0.01,0.03,- ,0.02,0.03,
1,,Neither,35,15,20,4,6,9,22,9,18,12,5,5,7,8,6,8,6,
1,,,0.05,0.04,0.05,0.02,0.03,0.04,0.05,0.04,0.07,0.03,0.04,0.03,0.06,0.04,0.03,0.07,0.05,
1,,Would not vote,2,1,1,-,*,2,1,1,1,1,1,1,-,*,1,*,1,
1,,,* ,* ,* ,- ,* ,0.01,* ,0.01,* ,* ,* ,0.01,- ,* ,0.01,* ,* ,
1,,No Answer,14,7,7,1,5,4,8,5,-,10,3,2,2,2,1,3,5,
1,,,0.02,0.02,0.02,* ,0.02,0.02,0.02,0.02,- ,0.03,0.02,0.01,0.02,0.01,0.01,0.03,0.04,
2,"For Clinton supporters, would that be more a vote for Hillary Clinton or more a vote against Donald Trump?",Vote for Clinton,179,73,105,120,6,36,49,110,44,100,35,9,17,25,75,31,30,
2,,,0.49,0.48,0.49,0.57,0.56,0.33,0.41,0.53,0.33,0.55,0.63,0.43,0.43,0.37,0.53,0.51,0.54,
2,,Vote against Trump,167,67,100,79,4,65,58,91,81,70,16,10,16,39,60,28,24,
2,,,0.45,0.44,0.46,0.37,0.44,0.58,0.48,0.43,0.61,0.39,0.29,0.5,0.4,0.57,0.42,0.46,0.43,
2,,Some other reason,12,5,7,6,-,5,7,5,3,5,4,2,3,1,5,2,1,
2,,,0.03,0.03,0.03,0.03,- ,0.05,0.06,0.02,0.02,0.03,0.07,0.08,0.07,0.02,0.04,0.03,0.02,
2,,No answer,11,7,4,6,-,5,7,3,5,5,1,-,4,3,3,-,*,
2,,,0.03,0.05,0.02,0.03,- ,0.04,0.06,0.02,0.04,0.03,0.01,- ,0.11,0.04,0.02,- ,* ,
3,"For Trump supporters, would that be more a vote for Donald Trump or more a vote against Hillary Clinton?",Vote for Trump,129,74,55,1,67,46,111,9,31,64,34,42,33,41,18,19,17,
3,,,0.38,0.42,0.35,0.13,0.38,0.44,0.36,0.79,0.35,0.39,0.4,0.39,0.42,0.38,0.4,0.41,0.31,
3,,Vote against Clinton,174,83,92,4,91,51,166,2,51,84,40,59,42,57,23,24,29,
3,,,0.52,0.47,0.58,0.7,0.52,0.48,0.54,0.15,0.58,0.51,0.48,0.54,0.52,0.53,0.5,0.49,0.53,
3,,Some other reason,25,16,9,-,13,6,22,-,7,12,5,6,2,9,2,4,7,
3,,,0.07,0.09,0.06,- ,0.08,0.06,0.07,- ,0.08,0.08,0.06,0.05,0.03,0.08,0.05,0.08,0.13,
3,,No answer,8,5,3,1,4,3,7,1,-,3,5,2,3,1,2,1,2,
3,,,0.03,0.03,0.02,0.18,0.02,0.03,0.02,0.05,- ,0.02,0.06,0.02,0.04,0.01,0.04,0.01,0.04,
4,"If the 2016 presidential election were being held today and the candidates were Hillary Clinton and Tim Kaine, the Democrats, Donald Trump and Mike Pence, the Republicans, Gary Johnson and Bill Weld of the Libertarian Party and Jill Stein and Ajamu Baraka of the Green party, for whom would you vote/lean toward?",Hillary Clinton,329,133,196,203,9,85,96,205,108,169,52,18,27,64,124,63,51,
4,,,0.43,0.37,0.48,0.92,0.04,0.36,0.21,0.87,0.44,0.46,0.35,0.13,0.21,0.33,0.63,0.52,0.41,
4,,Donald Trump,299,158,142,6,165,83,277,6,71,145,82,100,79,97,34,42,47,
4,,,0.39,0.44,0.35,0.03,0.81,0.36,0.59,0.02,0.29,0.39,0.55,0.73,0.6,0.5,0.17,0.35,0.38,
4,,Gary Johnson,90,53,37,7,19,43,64,13,53,32,4,14,18,27,16,11,17,
4,,,0.12,0.15,0.09,0.03,0.09,0.19,0.14,0.05,0.21,0.09,0.03,0.1,0.14,0.14,0.08,0.09,0.14,
4,,Jill Stein,16,8,8,1,1,13,9,1,10,4,1,3,2,-,14,1,-,
4,,,0.02,0.02,0.02,0.01,* ,0.05,0.02,* ,0.04,0.01,0.01,0.02,0.01,- ,0.07,* ,- ,
4,,Neither,14,4,10,2,2,5,5,8,5,3,6,1,1,1,6,1,5,
4,,,0.02,0.01,0.03,0.01,0.01,0.02,0.01,0.04,0.02,0.01,0.04,0.01,0.01,0.01,0.03,0.01,0.04,
4,,Would Not Vote,3,1,3,1,1,1,3,1,-,2,1,1,1,1,*,*,1,
4,,,* ,* ,0.01,* ,0.01,* ,0.01,* ,- ,0.01,0.01,0.01,* ,* ,* ,* ,0.01,
4,,No answser,15,6,9,1,6,4,11,3,-,12,2,2,4,2,1,3,4,
4,,,0.02,0.02,0.02,0.01,0.03,0.02,0.02,0.01,- ,0.03,0.02,0.01,0.03,0.01,0.01,0.03,0.03,
5,"For Clinton supporters, how important is it that your candidate has the best positions on the issues?",Major reason,288,115,173,171,7,87,104,164,99,143,46,18,27,54,116,45,46,
5,,,0.78,0.75,0.8,0.81,0.73,0.78,0.86,0.78,0.74,0.8,0.83,0.86,0.67,0.78,0.81,0.75,0.83,
5,,Minor reason,45,26,19,25,2,15,14,22,18,24,3,2,8,11,12,7,7,
5,,,0.12,0.17,0.09,0.12,0.17,0.13,0.11,0.11,0.14,0.13,0.06,0.11,0.2,0.16,0.09,0.12,0.12,
5,,Not a reason at all,29,10,19,11,1,9,3,18,15,11,3,1,5,4,12,6,1,
5,,,0.08,0.06,0.09,0.05,0.1,0.08,0.03,0.08,0.11,0.06,0.05,0.03,0.13,0.06,0.08,0.11,0.02,
5,,No answer,6,1,5,5,-,1,1,6,1,1,4,-,-,-,3,1,2,
5,,,0.02,0.01,0.02,0.02,- ,0.01,* ,0.03,0.01,0.01,0.06,- ,- ,- ,0.02,0.02,0.04,
6,"For Trump supporters, how important is it that your candidate has the best positions on the issues?",Major reason,253,129,124,2,131,79,233,7,67,124,61,83,64,81,34,34,41,
6,,,0.75,0.73,0.78,0.46,0.75,0.75,0.76,0.61,0.76,0.76,0.72,0.76,0.79,0.75,0.76,0.71,0.73,
6,,Minor reason,50,30,20,1,22,20,42,5,12,24,13,12,13,16,7,7,7,
6,,,0.15,0.17,0.12,0.12,0.13,0.19,0.14,0.39,0.14,0.15,0.16,0.11,0.16,0.15,0.15,0.15,0.12,
6,,Not a reason at all,30,16,14,2,19,6,28,-,6,14,10,13,4,8,4,5,8,
6,,,0.09,0.09,0.09,0.42,0.11,0.06,0.09,- ,0.07,0.08,0.12,0.12,0.05,0.08,0.09,0.11,0.15,
6,,No answer,4,2,2,-,3,*,4,-,2,1,1,*,-,2,-,2,-,
6,,,0.01,0.01,0.01,- ,0.02,* ,0.01,- ,0.03,0.01,0.01,* ,- ,0.02,- ,0.04,- ,
7,"For Clinton supporters, how important is it that your candidate is the strongest leader?",Major reason,259,97,162,164,6,67,86,152,69,145,46,16,30,48,102,41,38,
7,,,0.7,0.64,0.75,0.78,0.66,0.6,0.71,0.73,0.52,0.8,0.83,0.77,0.75,0.69,0.71,0.68,0.7,
7,,Minor reason,59,29,30,24,2,28,24,26,37,18,4,5,5,10,25,7,12,
7,,,0.16,0.19,0.14,0.11,0.23,0.25,0.2,0.13,0.28,0.1,0.07,0.23,0.12,0.15,0.18,0.11,0.22,
7,,Not a reason at all,50,27,23,23,1,16,11,31,27,17,5,-,5,11,16,12,5,
7,,,0.14,0.18,0.11,0.11,0.1,0.14,0.09,0.15,0.2,0.1,0.1,- ,0.13,0.16,0.11,0.2,0.09,
8,"For Trump supporters, how important is it that your candidate is the strongest leader?",Major reason,261,139,121,2,143,76,242,5,71,124,65,88,67,87,32,33,41,
8,,,0.77,0.78,0.76,0.44,0.82,0.71,0.79,0.41,0.8,0.76,0.77,0.8,0.83,0.81,0.71,0.7,0.73,
8,,Minor reason,53,29,24,1,20,26,44,7,12,29,12,14,10,15,9,11,8,
8,,,0.16,0.16,0.15,0.25,0.12,0.24,0.14,0.59,0.13,0.18,0.14,0.13,0.12,0.13,0.2,0.23,0.15,
8,,Not a reason at all,19,6,13,2,11,4,18,-,6,7,6,7,2,4,4,2,7,
8,,,0.06,0.03,0.08,0.31,0.06,0.04,0.06,- ,0.07,0.05,0.07,0.07,0.03,0.03,0.09,0.05,0.12,
8,,No answer,4,3,1,-,1,*,3,-,-,2,2,*,1,2,-,1,-,
8,,,0.01,0.02,0.01,- ,* ,* ,0.01,- ,- ,0.01,0.02,* ,0.01,0.02,- ,0.02,- ,
9,"For Clinton supporters, how important is it that your candidate is most qualified to be president?
",Major reason,309,129,181,192,9,87,108,179,101,160,48,20,32,54,125,55,45,
9,,,0.84,0.84,0.84,0.91,0.89,0.78,0.89,0.85,0.76,0.89,0.88,0.94,0.78,0.78,0.87,0.91,0.81,
9,,Minor reason,34,16,18,12,1,16,7,18,19,11,3,1,3,10,10,2,9,
9,,,0.09,0.1,0.08,0.05,0.11,0.14,0.06,0.08,0.15,0.06,0.06,0.03,0.08,0.14,0.07,0.03,0.16,
9,,Not a reason at all,24,8,16,7,-,8,5,13,12,8,4,-,5,6,8,4,2,
9,,,0.07,0.05,0.08,0.03,- ,0.08,0.04,0.06,0.09,0.05,0.06,- ,0.12,0.08,0.06,0.06,0.03,
