qnum,Question,Responses,Total,Male,Female,High School or less,Some college,Vocational/Tech. School,College Graduate,Graduate Study,"$Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other (race),18-29,30-44,45-64,65+,Democrat,Independent,Republican
0,"If the election for governor were being held today, and the candidates were Brian Kemp, the Republican, Stacy Abrams, the Democrat and Ted Metz, the Libertarian, for whom would you vote? ",Brian Kemp,462,243,219,65,84,40,178,89,15,51,84,77,78,90,424,11,27,25,60,195,156,7,35,395
0,,,0.5,0.532894737,0.388297872,0.528455285,0.5,0.655737705,0.461139896,0.330855019,0.283018868,0.411290323,0.444444444,0.487341772,0.461538462,0.505617978,0.654320988,0.037671233,0.3375,0.347222222,0.288461538,0.488721805,0.537931034,0.01703163,0.307017544,0.910138249
0,,Stacey Abrams,458,178,280,45,69,17,177,149,27,64,89,66,78,71,172,250,36,32,127,168,114,370,52,15
0,,,0.4,0.390350877,0.496453901,0.365853659,0.410714286,0.278688525,0.458549223,0.553903346,0.509433962,0.516129032,0.470899471,0.417721519,0.461538462,0.398876404,0.265432099,0.856164384,0.45,0.444444444,0.610576923,0.421052632,0.393103448,0.900243309,0.456140351,0.034562212
0,,Ted Metz,21,10,12,2,0,2,6,10,0,1,5,4,4,5,13,4,5,4,3,10,4,5,11,5
0,,,0.0,0.021929825,0.021276596,0.016260163,0,0.032786885,0.015544041,0.037174721,0,0.008064516,0.026455026,0.025316456,0.023668639,0.028089888,0.020061728,0.01369863,0.0625,0.055555556,0.014423077,0.025062657,0.013793103,0.01216545,0.096491228,0.011520737
0,,Don't know,78,25,53,11,15,2,25,21,11,8,11,11,9,12,39,27,12,11,18,26,16,29,16,19
0,,,0.1,0.054824561,0.093971631,0.089430894,0.089285714,0.032786885,0.064766839,0.078066914,0.20754717,0.064516129,0.058201058,0.069620253,0.053254438,0.06741573,0.060185185,0.092465753,0.15,0.152777778,0.086538462,0.065162907,0.055172414,0.070559611,0.140350877,0.043778802
1,"Is your opinion of Brian Kemp favorable, unfavorable, or do you have no opinion?",Favorable,408,208,200,57,66,35,163,82,14,42,70,73,68,79,371,15,22,15,54,175,137,15,30,338
1,,,0.4,0.457142857,0.354609929,0.459677419,0.390532544,0.573770492,0.423376623,0.304832714,0.269230769,0.336,0.37037037,0.467948718,0.404761905,0.441340782,0.572530864,0.051194539,0.275,0.211267606,0.260869565,0.438596491,0.474048443,0.036585366,0.263157895,0.780600462
