qnum,Question,Responses,Total,Male,Female,High School or less,Some college,Vocational/Tech. School,College Graduate,Graduate Study,"$Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other (race),18-29,30-44,45-64,65+,Democrat,Independent,Republican
0,"If the election for governor were being held today, and the candidates were Brian Kemp, the Republican, Stacy Abrams, the Democrat and Ted Metz, the Libertarian, for whom would you vote? ",Brian Kemp,462,243,219,65,84,40,178,89,15,51,84,77,78,90,424,11,27,25,60,195,156,7,35,395
0,,,0.453,0.533,0.388,0.528,0.500,0.656,0.461,0.331,0.283,0.411,0.444,0.487,0.462,0.506,0.654,0.038,0.338,0.347,0.288,0.489,0.538,0.017,0.307,0.910
0,,Stacey Abrams,458,178,280,45,69,17,177,149,27,64,89,66,78,71,172,250,36,32,127,168,114,370,52,15
0,,,0.449,0.390,0.496,0.366,0.411,0.279,0.459,0.554,0.509,0.516,0.471,0.418,0.462,0.399,0.265,0.856,0.450,0.444,0.611,0.421,0.393,0.900,0.456,0.035
0,,Ted Metz,21,10,12,2,0,2,6,10,0,1,5,4,4,5,13,4,5,4,3,10,4,5,11,5
0,,,0.021,0.022,0.021,0.016,0.000,0.033,0.016,0.037,0.000,0.008,0.026,0.025,0.024,0.028,0.020,0.014,0.063,0.056,0.014,0.025,0.014,0.012,0.096,0.012
0,,Don't know,78,25,53,11,15,2,25,21,11,8,11,11,9,12,39,27,12,11,18,26,16,29,16,19
0,,,0.076,0.055,0.094,0.089,0.089,0.033,0.065,0.078,0.208,0.065,0.058,0.070,0.053,0.067,0.060,0.092,0.150,0.153,0.087,0.065,0.055,0.071,0.140,0.044
1,"Is your opinion of Brian Kemp favorable, unfavorable, or do you have no opinion?",Favorable,408,208,200,57,66,35,163,82,14,42,70,73,68,79,371,15,22,15,54,175,137,15,30,338
1,,,0.400,0.457,0.355,0.460,0.391,0.574,0.423,0.305,0.269,0.336,0.370,0.468,0.405,0.441,0.573,0.051,0.275,0.211,0.261,0.439,0.474,0.037,0.263,0.781
1,,Unfavorable,327,129,197,24,43,9,125,123,14,38,59,48,56,64,166,134,26,20,84,130,82,242,47,22
1,,,0.320,0.284,0.349,0.194,0.254,0.148,0.325,0.457,0.269,0.304,0.312,0.308,0.333,0.358,0.256,0.457,0.325,0.282,0.406,0.326,0.284,0.590,0.412,0.051
1,,No opinion,269,113,155,43,56,16,90,62,24,44,59,33,42,33,101,142,26,36,65,86,69,151,35,67
1,,,0.263,0.248,0.275,0.347,0.331,0.262,0.234,0.230,0.462,0.352,0.312,0.212,0.250,0.184,0.156,0.485,0.325,0.507,0.314,0.216,0.239,0.368,0.307,0.155
1,,Don't know,17,5,12,0,4,1,7,2,0,1,1,2,2,3,10,2,6,0,4,8,1,2,2,6
1,,,0.017,0.011,0.021,0.000,0.024,0.016,0.018,0.007,0.000,0.008,0.005,0.013,0.012,0.017,0.015,0.007,0.075,0.000,0.019,0.020,0.003,0.005,0.018,0.014
2,"Is your opinion of Stacey Abrams favorable, unfavorable, or do you have no opinion?",Favorable,344,136,207,30,55,9,126,123,16,53,70,50,55,56,135,180,29,22,96,122,92,267,44,21
2,,,0.429,0.374,0.474,0.313,0.430,0.209,0.404,0.580,0.421,0.500,0.483,0.400,0.437,0.384,0.268,0.773,0.446,0.386,0.561,0.394,0.409,0.814,0.484,0.063
2,,Unfavorable,209,113,96,24,33,14,87,49,6,22,32,37,39,47,199,0,10,8,32,91,66,6,10,181
2,,,0.26,0.31,0.22,0.25,0.26,0.33,0.28,0.23,0.16,0.21,0.22,0.30,0.31,0.32,0.39,0.00,0.15,0.14,0.19,0.29,0.29,0.02,0.11,0.54
2,,No opinion,232,109,123,41,37,19,93,38,16,30,42,36,29,39,161,50,21,27,41,90,63,53,33,126
2,,,0.29,0.30,0.28,0.43,0.29,0.44,0.30,0.18,0.42,0.28,0.29,0.29,0.23,0.27,0.32,0.21,0.32,0.47,0.24,0.29,0.28,0.16,0.36,0.38
2,,Don't know,17,6,11,1,3,1,6,2,0,1,1,2,3,4,9,3,5,0,2,7,4,2,4,6
2,,,0.02,0.02,0.03,0.01,0.02,0.02,0.02,0.01,0.00,0.01,0.01,0.02,0.02,0.03,0.02,0.01,0.08,0.00,0.01,0.02,0.02,0.01,0.04,0.02
3,Do you approve or disapprove of the way Donald Trump is handling his job as president?,Approve,430,230,200,59,82,37,167,78,15,48,72,72,70,87,392,13,26,25,60,176,142,9,28,369
3,,,0.42,0.51,0.35,0.48,0.49,0.60,0.43,0.29,0.29,0.39,0.38,0.46,0.42,0.49,0.60,0.04,0.33,0.35,0.29,0.44,0.49,0.02,0.25,0.85
3,,Disapprove,521,198,323,56,78,21,197,167,32,69,106,74,83,83,218,261,42,43,136,194,129,387,72,39
3,,,0.51,0.44,0.57,0.46,0.46,0.34,0.51,0.62,0.62,0.56,0.56,0.47,0.49,0.47,0.34,0.89,0.53,0.61,0.66,0.49,0.44,0.94,0.63,0.09
3,,Don't know,69,27,42,8,8,4,20,25,5,7,11,11,15,7,38,19,12,3,11,29,19,16,14,25
3,,,0.07,0.06,0.07,0.07,0.05,0.06,0.05,0.09,0.10,0.06,0.06,0.07,0.09,0.04,0.06,0.06,0.15,0.04,0.05,0.07,0.07,0.04,0.12,0.06
4,Do you approve or disapprove of the way Nathan Deal is handling his job as governor?,Approve,647,308,339,86,106,36,241,172,25,74,122,100,109,124,463,147,36,33,116,271,198,187,72,359
4,,,0.63,0.68,0.60,0.70,0.63,0.59,0.63,0.64,0.48,0.59,0.65,0.63,0.65,0.70,0.72,0.50,0.46,0.46,0.56,0.68,0.68,0.45,0.64,0.83
4,,Disapprove,217,92,126,17,40,14,84,59,15,32,43,34,35,33,100,94,23,19,57,83,51,147,26,29
4,,,0.21,0.20,0.22,0.14,0.24,0.23,0.22,0.22,0.29,0.26,0.23,0.22,0.21,0.19,0.15,0.32,0.29,0.27,0.28,0.21,0.18,0.36,0.23,0.07
4,,Don't know,156,56,101,20,22,11,60,38,12,19,24,24,24,21,84,52,20,19,34,46,41,77,15,46
4,,,0.15,0.12,0.18,0.16,0.13,0.18,0.16,0.14,0.23,0.15,0.13,0.15,0.14,0.12,0.13,0.18,0.25,0.27,0.16,0.12,0.14,0.19,0.13,0.11
5,"In general, how satisfied are you with the way things are going in Georgia today?",Very satisfied,150,98,52,16,29,5,68,31,2,12,26,28,27,38,129,11,10,9,18,78,42,10,18,119
5,,,0.15,0.22,0.09,0.13,0.17,0.08,0.18,0.11,0.04,0.10,0.14,0.18,0.16,0.21,0.20,0.04,0.13,0.13,0.09,0.20,0.15,0.02,0.16,0.27
5,,Somewhat satisfied,584,266,318,71,97,37,216,162,24,78,100,99,99,98,384,163,37,35,117,224,179,218,65,271
5,,,0.57,0.58,0.56,0.57,0.57,0.60,0.56,0.60,0.45,0.63,0.53,0.63,0.59,0.55,0.59,0.56,0.46,0.49,0.56,0.56,0.62,0.53,0.58,0.62
5,,Somewhat dissatisfied,204,64,140,33,31,8,74,58,18,21,51,21,32,35,94,91,19,22,53,74,47,137,22,31
5,,,0.20,0.14,0.25,0.27,0.18,0.13,0.19,0.21,0.34,0.17,0.27,0.13,0.19,0.20,0.15,0.31,0.24,0.31,0.25,0.19,0.16,0.33,0.19,0.07
5,,Very dissatisfied,52,16,36,3,10,6,18,14,8,9,8,7,9,3,26,21,6,4,12,18,13,38,5,5
5,,,0.05,0.04,0.06,0.02,0.06,0.10,0.05,0.05,0.15,0.07,0.04,0.04,0.05,0.02,0.04,0.07,0.08,0.06,0.06,0.05,0.04,0.09,0.04,0.01
5,,Don't know,29,11,18,1,2,6,10,5,1,4,3,2,1,3,15,6,8,1,8,5,8,9,3,8
5,,,0.03,0.02,0.03,0.01,0.01,0.10,0.03,0.02,0.02,0.03,0.02,0.01,0.01,0.02,0.02,0.02,0.10,0.01,0.04,0.01,0.03,0.02,0.03,0.02
6,How would you describe the state of Georgia 's economy?,Excellent,138,96,42,18,16,4,60,40,5,5,17,24,24,43,118,13,7,12,21,63,35,18,16,99
6,,,0.14,0.21,0.07,0.15,0.10,0.07,0.16,0.15,0.10,0.04,0.09,0.15,0.14,0.24,0.18,0.04,0.09,0.17,0.10,0.16,0.12,0.04,0.14,0.23
6,,Good,513,232,281,47,93,29,202,138,10,60,81,89,105,95,367,114,33,20,97,218,160,183,51,253
6,,,0.50,0.51,0.50,0.38,0.55,0.48,0.52,0.51,0.20,0.48,0.43,0.57,0.62,0.53,0.57,0.39,0.42,0.28,0.47,0.55,0.55,0.45,0.45,0.58
6,,Fair ,275,97,178,43,47,18,89,75,26,44,67,34,32,34,131,118,26,27,65,90,76,153,41,68
6,,,0.27,0.21,0.32,0.35,0.28,0.30,0.23,0.28,0.51,0.35,0.36,0.22,0.19,0.19,0.20,0.40,0.33,0.38,0.31,0.23,0.26,0.37,0.36,0.16
6,,Poor ,66,18,48,15,12,8,22,8,9,12,19,6,4,4,17,41,8,11,18,24,8,47,1,10
6,,,0.06,0.04,0.08,0.12,0.07,0.13,0.06,0.03,0.18,0.10,0.10,0.04,0.02,0.02,0.03,0.14,0.10,0.15,0.09,0.06,0.03,0.11,0.01,0.02
6,,Don't know,28,12,16,1,0,2,12,8,1,3,4,4,4,2,15,7,5,1,6,4,10,10,5,3
6,,,0.03,0.03,0.03,0.01,0.00,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.02,0.01,0.02,0.02,0.06,0.01,0.03,0.01,0.03,0.02,0.04,0.01
7,What is the single most important issue in determining your vote in November? ,Taxes,52,30,22,4,13,1,26,9,3,8,10,6,8,8,35,14,3,4,12,23,10,12,8,30
7,,,0.05,0.07,0.04,0.03,0.08,0.02,0.07,0.03,0.06,0.06,0.05,0.04,0.05,0.04,0.05,0.05,0.04,0.06,0.06,0.06,0.03,0.03,0.07,0.07
7,,Gun laws,79,31,48,9,12,13,30,14,5,12,16,15,13,10,56,17,6,6,15,33,25,37,6,33
7,,,0.08,0.07,0.08,0.07,0.07,0.21,0.08,0.05,0.09,0.10,0.09,0.10,0.08,0.06,0.09,0.06,0.07,0.09,0.07,0.08,0.09,0.09,0.05,0.08
7,,Religious Liberty,39,22,17,7,6,3,14,9,0,5,7,6,9,2,36,2,1,2,5,19,12,3,0,32
7,,,0.04,0.05,0.03,0.06,0.04,0.05,0.04,0.03,0.00,0.04,0.04,0.04,0.05,0.01,0.06,0.01,0.01,0.03,0.02,0.05,0.04,0.01,0.00,0.07
7,,Traffic/Transportation,51,31,20,3,8,3,16,20,2,2,11,8,8,13,33,15,3,1,8,20,22,16,9,24
7,,,0.05,0.07,0.04,0.02,0.05,0.05,0.04,0.07,0.04,0.02,0.06,0.05,0.05,0.07,0.05,0.05,0.04,0.01,0.04,0.05,0.08,0.04,0.08,0.06
7,,Healthcare,167,60,107,26,23,9,59,49,14,20,30,20,26,34,85,74,8,7,32,80,41,106,18,33
7,,,0.16,0.13,0.19,0.21,0.14,0.15,0.15,0.18,0.26,0.16,0.16,0.13,0.15,0.19,0.13,0.25,0.10,0.10,0.15,0.20,0.14,0.26,0.16,0.08
7,,Economy/Jobs,252,132,120,23,40,13,119,55,7,19,44,42,53,55,169,61,22,23,53,110,53,82,21,137
7,,,0.25,0.29,0.21,0.19,0.24,0.21,0.31,0.20,0.13,0.15,0.23,0.27,0.32,0.31,0.26,0.21,0.27,0.33,0.26,0.27,0.18,0.20,0.18,0.32
7,,Immigration,106,52,54,16,26,10,30,23,4,19,20,18,11,19,89,8,10,6,10,31,52,23,8,76
7,,,0.10,0.11,0.10,0.13,0.15,0.16,0.08,0.09,0.08,0.15,0.11,0.11,0.07,0.11,0.14,0.03,0.12,0.09,0.05,0.08,0.18,0.06,0.07,0.18
7,,Public schools,164,49,114,20,27,2,46,68,9,30,30,25,28,25,81,71,12,17,52,49,39,93,28,34
7,,,0.16,0.11,0.20,0.16,0.16,0.03,0.12,0.25,0.17,0.24,0.16,0.16,0.17,0.14,0.13,0.24,0.15,0.24,0.25,0.12,0.13,0.23,0.25,0.08
7,,Other,53,27,26,7,2,5,24,14,6,5,9,11,8,5,28,17,8,1,13,18,18,21,11,16
7,,,0.05,0.06,0.05,0.06,0.01,0.08,0.06,0.05,0.11,0.04,0.05,0.07,0.05,0.03,0.04,0.06,0.10,0.01,0.06,0.04,0.06,0.05,0.10,0.04
7,,Don 't know,57,21,37,8,12,2,21,8,3,5,11,6,4,7,36,13,9,3,7,18,19,19,5,19
7,,,0.06,0.05,0.07,0.07,0.07,0.03,0.05,0.03,0.06,0.04,0.06,0.04,0.02,0.04,0.06,0.04,0.11,0.04,0.03,0.04,0.07,0.05,0.04,0.04
8,In the 2016 presidential election which candidate did you vote for?,Donald Trump,449,231,218,63,82,40,170,90,18,48,78,75,77,91,418,6,25,20,55,190,159,3,30,394
8,,,0.44,0.51,0.39,0.51,0.49,0.66,0.44,0.33,0.35,0.38,0.41,0.48,0.46,0.51,0.65,0.02,0.31,0.28,0.27,0.48,0.55,0.01,0.26,0.91
8,,Hillary Clinton,427,155,273,45,68,16,158,140,24,59,84,62,75,66,153,236,38,30,122,155,108,356,41,11
8,,,0.42,0.34,0.48,0.36,0.40,0.26,0.41,0.52,0.46,0.47,0.45,0.39,0.44,0.37,0.24,0.81,0.48,0.42,0.59,0.39,0.37,0.86,0.36,0.03
8,,Gary Johnson,23,18,6,0,2,1,15,5,1,4,6,2,5,3,15,7,1,3,8,9,2,7,13,2
8,,,0.02,0.04,0.01,0.00,0.01,0.02,0.04,0.02,0.02,0.03,0.03,0.01,0.03,0.02,0.02,0.02,0.01,0.04,0.04,0.02,0.01,0.02,0.11,0.00
8,,Other candidate,28,9,18,0,1,0,15,11,3,1,4,4,4,6,22,5,1,3,3,14,6,7,10,10
8,,,0.03,0.02,0.03,0.00,0.01,0.00,0.04,0.04,0.06,0.01,0.02,0.03,0.02,0.03,0.03,0.02,0.01,0.04,0.01,0.04,0.02,0.02,0.09,0.02
8,,Did not vote,37,23,15,6,9,3,15,4,5,7,9,8,3,4,14,18,5,13,8,10,5,19,8,7
8,,,0.04,0.05,0.03,0.05,0.05,0.05,0.04,0.01,0.10,0.06,0.05,0.05,0.02,0.02,0.02,0.06,0.06,0.18,0.04,0.03,0.02,0.05,0.07,0.02
8,,Don't know,56,20,36,10,6,1,12,19,1,7,7,6,5,8,26,20,10,2,10,22,11,20,12,9
8,,,0.05,0.04,0.06,0.08,0.04,0.02,0.03,0.07,0.02,0.06,0.04,0.04,0.03,0.04,0.04,0.07,0.13,0.03,0.05,0.06,0.04,0.05,0.11,0.02
9,"Since President Trump's election, have you become more politically active, less politically active, or has your level of political activity stayed the same? ",More active,341,135,205,35,49,21,128,106,12,41,64,59,60,62,201,106,33,29,65,131,101,189,33,102
9,,,0.33,0.30,0.36,0.28,0.29,0.34,0.33,0.39,0.23,0.33,0.34,0.37,0.36,0.35,0.31,0.36,0.41,0.41,0.31,0.33,0.35,0.46,0.29,0.24
9,,Less active,53,25,28,7,8,5,21,13,7,9,15,2,9,6,28,23,3,2,10,18,23,26,8,17
9,,,0.05,0.05,0.05,0.06,0.05,0.08,0.05,0.05,0.13,0.07,0.08,0.01,0.05,0.03,0.04,0.08,0.04,0.03,0.05,0.05,0.08,0.06,0.07,0.04
9,,The same,614,291,323,79,111,35,235,151,32,74,109,96,100,109,415,161,38,40,131,248,163,195,72,312
9,,,0.60,0.64,0.57,0.63,0.66,0.57,0.61,0.56,0.62,0.59,0.58,0.61,0.59,0.61,0.64,0.55,0.48,0.56,0.63,0.62,0.56,0.47,0.63,0.72
9,,Don 't know,12,4,8,4,1,0,2,0,1,1,0,1,0,1,4,3,6,0,1,2,3,1,1,3
9,,,0.01,0.01,0.01,0.03,0.01,0.00,0.01,0.00,0.02,0.01,0.00,0.01,0.00,0.01,0.01,0.01,0.08,0.00,0.00,0.01,0.01,0.00,0.01,0.01
10,"If a candidate for any office strongly embraces President Trump and his view on issues, does that make you more likely to vote for that candidate, less likely to vote for that candidate, or would it have no effect either way?",More likely,227,123,103,28,45,23,83,46,9,28,36,37,39,42,208,7,12,9,23,89,93,8,12,200
10,,,0.22,0.27,0.18,0.23,0.27,0.38,0.22,0.17,0.17,0.22,0.19,0.23,0.23,0.24,0.32,0.02,0.15,0.13,0.11,0.22,0.32,0.02,0.11,0.46
10,,Less likely,433,154,279,33,62,13,174,149,20,56,83,66,78,72,192,210,32,28,124,159,108,345,50,19
10,,,0.42,0.34,0.49,0.27,0.37,0.21,0.45,0.56,0.38,0.45,0.44,0.42,0.46,0.40,0.30,0.72,0.40,0.39,0.60,0.40,0.37,0.84,0.44,0.04
10,,No effect,338,169,169,59,60,24,124,69,22,39,67,53,49,64,242,69,27,33,56,146,84,51,50,209
10,,,0.33,0.37,0.30,0.48,0.36,0.39,0.32,0.26,0.42,0.31,0.36,0.34,0.29,0.36,0.37,0.24,0.34,0.46,0.27,0.37,0.29,0.12,0.44,0.48
10,,Don 't know,22,9,13,4,1,1,5,4,1,2,2,2,2,0,6,7,9,1,5,5,5,7,2,5
10,,,0.02,0.02,0.02,0.03,0.01,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.00,0.01,0.02,0.11,0.01,0.02,0.01,0.02,0.02,0.02,0.01
