qnum,Question,Responses,Total,Male,Female,High School or less,Some college,College graduate,"Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other race,18-29,30-44,45-64,65+,Liberal,Moderate,Conservative,Republican,Democrat,Independent
0,"If the election for mayor were being held today, and the candidates were [read candidate names], for whom would you vote? ",Antonio Brown,29.20972364,17,13,21,3,6,6,3,2,2,13,2,12,12,5,14,11,3,1,16,5,1,4,24,0
0,,,0.034690883,0.044619423,0.028077754,0.088983051,0.01744186,0.013824885,0.068965517,0.033707865,0.017241379,0.02173913,0.12037037,0.008368201,0.027777778,0.034285714,0.081967213,0.092715232,0.037671233,0.013392857,0.006802721,0.039900249,0.021186441,0.00621118,0.039215686,0.0384,0
0,,Andre Dickens,43.78596345,22,22,5,8,31,0,2,6,5,5,16,17,20,6,10,15,13,3,23,14,6,1,35,7
0,,,0.052002332,0.057742782,0.047516199,0.021186441,0.046511628,0.071428571,0,0.02247191,0.051724138,0.054347826,0.046296296,0.066945607,0.039351852,0.057142857,0.098360656,0.066225166,0.051369863,0.058035714,0.020408163,0.057356608,0.059322034,0.037267081,0.009803922,0.056,0.084337349
0,,Sharon Gay,47.82294697,26,22,5,4,39,0,11,3,4,5,19,35,11,2,0,15,20,13,25,13,10,11,29,5
0,,,0.056796849,0.06824147,0.047516199,0.021186441,0.023255814,0.089861751,0,0.123595506,0.025862069,0.043478261,0.046296296,0.079497908,0.081018519,0.031428571,0.032786885,0,0.051369863,0.089285714,0.088435374,0.06234414,0.055084746,0.062111801,0.107843137,0.0464,0.060240964
0,,Felicia Moore,171.3971451,69,102,37,24,109,18,11,19,20,27,61,112,53,7,26,49,56,36,80,58,30,30,115,24
0,,,0.203559555,0.181102362,0.220302376,0.156779661,0.139534884,0.251152074,0.206896552,0.123595506,0.163793103,0.217391304,0.25,0.255230126,0.259259259,0.151428571,0.114754098,0.17218543,0.167808219,0.25,0.244897959,0.199501247,0.245762712,0.186335404,0.294117647,0.184,0.289156627
0,,Kasim Reed,197.8610729,98,100,93,41,64,43,27,29,20,21,41,60,126,12,30,78,52,29,65,61,57,20,160,9
0,,,0.234989398,0.257217848,0.215982721,0.394067797,0.238372093,0.147465438,0.494252874,0.303370787,0.25,0.217391304,0.194444444,0.171548117,0.138888889,0.36,0.196721311,0.198675497,0.267123288,0.232142857,0.197278912,0.162094763,0.258474576,0.354037267,0.196078431,0.256,0.108433735
