qnum,Question,Responses,Total,Male,Female,High School or less,Some college,College graduate,"Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other race,18-29,30-44,45-64,65+,Liberal,Moderate,Conservative,Republican,Democrat,Independent
0,"If the election for governor were being held today, and the candidates were Republican Brian Kemp, Democrat Stacey Abrams, Libertarian Shane Hazel and Independent Al Bartel, for whom would you vote?",Brian Kemp,431.9015319,206,226,190,133,108,36,58,74,73,72,64,387,24,20,45,86,161,125,30,46,331,388,12,16
0,,,0.501627795,0.536458333,0.472803347,0.657439446,0.487179487,0.363636364,0.6,0.475409836,0.486842105,0.536764706,0.464516129,0.47761194,0.708791209,0.09561753,0.3125,0.354330709,0.427860697,0.568904594,0.58411215,0.117647059,0.278787879,0.817283951,0.923809524,0.034782609,0.285714286
0,,Stacey Abrams,363.2587137,148,215,97,107,158,22,56,65,57,72,58,129,199,36,68,97,106,77,205,101,50,14,317,21
0,,,0.421903268,0.385416667,0.449790795,0.335640138,0.391941392,0.531986532,0.366666667,0.459016393,0.427631579,0.419117647,0.464516129,0.432835821,0.236263736,0.792828685,0.5625,0.535433071,0.482587065,0.374558304,0.359813084,0.803921569,0.612121212,0.12345679,0.033333333,0.91884058,0.375
0,,Shane Hazel,4.565170784,3,2,0,0,5,0,1,1,0,1,2,3,1,1,1,1,1,0,1,1,3,2,0,2
0,,,0.005302173,0.0078125,0.0041841,0,0,0.016835017,0,0.008196721,0.006578947,0,0.006451613,0.014925373,0.005494505,0.003984064,0.015625,0.007874016,0.004975124,0.003533569,0,0.003921569,0.006060606,0.007407407,0.004761905,0,0.035714286
0,,Al Bartel ,8.846831348,5,4,0,5,4,0,2,3,2,0,0,5,3,1,3,3,2,2,5,1,3,3,0,5
0,,,0.010275065,0.013020833,0.008368201,0,0.018315018,0.013468013,0,0.016393443,0.019736842,0.014705882,0,0,0.009157509,0.011952191,0.015625,0.023622047,0.014925373,0.007067138,0.009345794,0.019607843,0.006060606,0.007407407,0.007142857,0,0.089285714
0,,Don't know,52.42775227,22,31,2,28,22,2,5,9,4,10,10,22,24,6,10,14,13,10,14,16,18,13,16,12
0,,,0.060891698,0.057291667,0.064853556,0.006920415,0.102564103,0.074074074,0.033333333,0.040983607,0.059210526,0.029411765,0.064516129,0.074626866,0.04029304,0.09561753,0.09375,0.078740157,0.069651741,0.045936396,0.046728972,0.054901961,0.096969697,0.044444444,0.030952381,0.046376812,0.214285714
1,"If the election for U.S. Senate were being held today, and the candidates were Republican Herschel Walker, Democrat Raphael Warnock and Libertarian Chase Oliver, for whom would you vote?",Herschel Walker,394.0927541,189,205,163,134,96,34,46,74,65,68,61,352,23,19,38,92,141,107,31,39,300,355,15,14
